"","Name1","Name2"
"1","Betty Draper","Henry Francis"
"2","Betty Draper","Random guy"
"3","Don Draper","Allison"
"4","Don Draper","Bethany Van Nuys"
"5","Don Draper","Betty Draper"
"6","Don Draper","Bobbie Barrett"
"7","Don Draper","Candace"
"8","Don Draper","Doris"
"9","Don Draper","Faye Miller"
"10","Don Draper","Joy"
"11","Don Draper","Megan Calvet"
"12","Don Draper","Midge Daniels"
"13","Don Draper","Rachel Menken"
"14","Don Draper","Shelly"
"15","Don Draper","Suzanne Farrell"
"16","Don Draper","Woman at the Clios party"
"17","Harry Crane","Hildy"
"18","Harry Crane","Jennifer Crane"
"19","Joan Holloway","Franklin"
"20","Joan Holloway","Greg Harris"
"21","Joan Holloway","Roger Sterling"
"22","Lane Pryce","Janine"
"23","Lane Pryce","Rebecca Pryce"
"24","Lane Pryce","Toni"
"25","Peggy Olson","Abe Drexler"
"26","Peggy Olson","Brooklyn College Student"
"27","Peggy Olson","Duck Phillips"
"28","Peggy Olson","Mark"
"29","Peggy Olson","Pete Campbell"
"30","Pete Campbell","Gudrun"
"31","Pete Campbell","Playtex bra model"
"32","Pete Campbell","Trudy Campbell"
"33","Roger Sterling","Ida Blankenship"
"34","Roger Sterling","Jane Siegel"
"35","Roger Sterling","Mirabelle Ames"
"36","Roger Sterling","Mona Sterling"
"37","Roger Sterling","Vicky"
"38","Sal Romano","Bellhop in Baltimore"
"39","Sal Romano","Kitty Romano"
