"","Name","Code","Year","GDP","laborrate","healthexp","infmortality"
"1","Afghanistan","AFG",1960,55.6069955526,NA,NA,NA
"2","Afghanistan","AFG",1961,55.6686513915,NA,NA,NA
"3","Afghanistan","AFG",1962,54.3596445321,NA,NA,NA
"4","Afghanistan","AFG",1963,73.1987718807,NA,NA,NA
"5","Afghanistan","AFG",1964,76.3730266057,NA,NA,NA
"6","Afghanistan","AFG",1965,94.0987322771,NA,NA,NA
"7","Afghanistan","AFG",1966,128.1145063571,NA,NA,NA
"8","Afghanistan","AFG",1967,149.8911663586,NA,NA,NA
"9","Afghanistan","AFG",1968,120.3514783747,NA,NA,NA
"10","Afghanistan","AFG",1969,120.6551451206,NA,NA,NA
"11","Afghanistan","AFG",1970,146.1680180577,NA,NA,NA
"12","Afghanistan","AFG",1971,149.1969284771,NA,NA,NA
"13","Afghanistan","AFG",1972,126.6948550664,NA,NA,NA
"14","Afghanistan","AFG",1973,134.205675295,NA,NA,NA
"15","Afghanistan","AFG",1974,163.0041768729,NA,NA,NA
"16","Afghanistan","AFG",1975,175.2366743218,NA,NA,NA
"17","Afghanistan","AFG",1976,184.5522190717,NA,NA,NA
"18","Afghanistan","AFG",1977,208.013943778,NA,NA,NA
"19","Afghanistan","AFG",1978,226.6939592364,NA,NA,NA
"20","Afghanistan","AFG",1979,247.7604148386,NA,NA,NA
"21","Afghanistan","AFG",1980,237.971531829,59.6,NA,NA
"22","Afghanistan","AFG",1981,222.1750652749,59.6,NA,NA
"23","Afghanistan","AFG",1982,NA,59.5,NA,NA
"24","Afghanistan","AFG",1983,NA,59.5,NA,NA
"25","Afghanistan","AFG",1984,NA,59.4,NA,NA
"26","Afghanistan","AFG",1985,NA,59.4,NA,NA
"27","Afghanistan","AFG",1986,NA,59.4,NA,NA
"28","Afghanistan","AFG",1987,NA,59.3,NA,NA
"29","Afghanistan","AFG",1988,NA,59.3,NA,NA
"30","Afghanistan","AFG",1989,NA,59.3,NA,NA
"31","Afghanistan","AFG",1990,NA,59.2,NA,NA
"32","Afghanistan","AFG",1991,NA,59.1,NA,NA
"33","Afghanistan","AFG",1992,NA,59.1,NA,NA
"34","Afghanistan","AFG",1993,NA,59,NA,NA
"35","Afghanistan","AFG",1994,NA,59,NA,NA
"36","Afghanistan","AFG",1995,NA,58.9,0,109
"37","Afghanistan","AFG",1996,NA,58.9,0,105.6
"38","Afghanistan","AFG",1997,NA,58.9,0,105
"39","Afghanistan","AFG",1998,NA,58.9,13.8853027468,104.4
"40","Afghanistan","AFG",1999,NA,58.9,14.6176289274,104
"41","Afghanistan","AFG",2000,NA,58.9,11.0090643274,104.2
