"","Name1","Name2"
"1","Abe Drexler","Peggy Olson"
"2","Allison","Don Draper"
"3","Arthur Case","Betty Draper"
"4","Bellhop in Baltimore","Sal Romano"
"5","Bethany Van Nuys","Don Draper"
"6","Betty Draper","Don Draper"
"7","Betty Draper","Henry Francis"
"8","Betty Draper","Random guy"
"9","Bobbie Barrett","Don Draper"
"10","Brooklyn College Student","Peggy Olson"
"11","Candace","Don Draper"
"12","Don Draper","Allison"
"13","Don Draper","Bethany Van Nuys"
"14","Don Draper","Betty Draper"
"15","Don Draper","Bobbie Barrett"
"16","Don Draper","Candace"
"17","Don Draper","Doris"
"18","Don Draper","Faye Miller"
"19","Don Draper","Joy"
"20","Don Draper","Megan Calvet"
"21","Don Draper","Midge Daniels"
"22","Don Draper","Rachel Menken"
"23","Don Draper","Shelly"
"24","Don Draper","Suzanne Farrell"
"25","Don Draper","Woman at the Clios party"
"26","Doris","Don Draper"
"27","Duck Phillips","Peggy Olson"
"28","Elliot","Sal Romano"
"29","Faye Miller","Don Draper"
"30","Franklin","Joan Holloway"
"31","Greg Harris","Joan Holloway"
"32","Gudrun","Pete Campbell"
"33","Harry Crane","Hildy"
"34","Harry Crane","Jennifer Crane"
"35","Henry Francis","Betty Draper"
"36","Hildy","Harry Crane"
"37","Ida Blankenship","Roger Sterling"
"38","Jane Siegel","Roger Sterling"
"39","Janine","Lane Pryce"
"40","Jennifer Crane","Harry Crane"
"41","Joan Holloway","Franklin"
"42","Joan Holloway","Greg Harris"
"43","Joan Holloway","Roger Sterling"
"44","Joy","Don Draper"
"45","Joyce Ramsay","Peggy Olson"
"46","Kitty Romano","Sal Romano"
"47","Lane Pryce","Janine"
"48","Lane Pryce","Rebecca Pryce"
"49","Lane Pryce","Toni"
"50","Lee Garner Jr.","Sal Romano"
"51","Mark","Peggy Olson"
"52","Megan Calvet","Don Draper"
"53","Midge Daniels","Don Draper"
"54","Mirabelle Ames","Roger Sterling"
"55","Mona Sterling","Roger Sterling"
"56","Paul Kinsey","Peggy Olson"
"57","Peggy Olson","Abe Drexler"
"58","Peggy Olson","Brooklyn College Student"
"59","Peggy Olson","Don Draper"
"60","Peggy Olson","Duck Phillips"
"61","Peggy Olson","Mark"
"62","Peggy Olson","Pete Campbell"
"63","Pete Campbell","Gudrun"
"64","Pete Campbell","Peggy Olson"
"65","Pete Campbell","Playtex bra model"
"66","Pete Campbell","Trudy Campbell"
"67","Playtex bra model","Pete Campbell"
"68","Rachel Menken","Don Draper"
"69","Random guy","Betty Draper"
"70","Rebecca Pryce","Lane Pryce"
"71","Roger Sterling","Betty Draper"
"72","Roger Sterling","Ida Blankenship"
"73","Roger Sterling","Jane Siegel"
"74","Roger Sterling","Joan Holloway"
"75","Roger Sterling","Mirabelle Ames"
"76","Roger Sterling","Mona Sterling"
"77","Roger Sterling","Vicky"
"78","Sal Romano","Bellhop in Baltimore"
"79","Sal Romano","Kitty Romano"
"80","Shelly","Don Draper"
"81","Stan Rizzo","Peggy Olson"
"82","Suzanne Farrell","Don Draper"
"83","Toni","Lane Pryce"
"84","Trudy Campbell","Pete Campbell"
"85","Vicky","Roger Sterling"
"86","Waitress","Don Draper"
"87","Woman at the Clios party","Don Draper"
