"","date","adj_price"
"1",1984-09-07,3.01
"2",1984-09-14,3.17
"3",1984-09-21,3.05
"4",1984-09-28,2.85
"5",1984-10-05,2.83
"6",1984-10-12,2.58
"7",1984-10-19,2.91
"8",1984-10-26,2.8
"9",1984-11-02,2.83
"10",1984-11-09,2.64
"11",1984-11-16,2.64
"12",1984-11-23,2.7
"13",1984-11-30,2.81
"14",1984-12-07,3.1
"15",1984-12-14,3
"16",1984-12-21,3.07
"17",1984-12-28,3.27
"18",1985-01-04,3.22
"19",1985-01-11,3.38
"20",1985-01-18,3.25
"21",1985-01-25,3.37
"22",1985-02-01,3.25
"23",1985-02-08,3.39
"24",1985-02-15,3.18
"25",1985-02-22,3.14
"26",1985-03-01,2.83
"27",1985-03-08,2.44
"28",1985-03-15,2.57
"29",1985-03-22,2.53
"30",1985-03-29,2.51
"31",1985-04-04,2.37
"32",1985-04-12,2.37
"33",1985-04-19,2.56
"34",1985-04-26,2.48
"35",1985-05-03,2.27
"36",1985-05-10,2.3
"37",1985-05-17,2.47
"38",1985-05-24,2.06
"39",1985-05-31,1.97
"40",1985-06-07,1.86
"41",1985-06-14,1.68
"42",1985-06-21,1.83
"43",1985-06-28,2.05
"44",1985-07-05,2
"45",1985-07-12,2.03
"46",1985-07-19,1.97
"47",1985-07-26,1.89
"48",1985-08-02,1.79
"49",1985-08-09,1.73
"50",1985-08-16,1.66
"51",1985-08-23,1.68
"52",1985-08-30,1.7
"53",1985-09-06,1.7
"54",1985-09-13,1.79
"55",1985-09-20,1.9
"56",1985-09-27,1.8
"57",1985-10-04,1.7
"58",1985-10-11,1.82
"59",1985-10-18,2.02
"60",1985-10-25,2.05
"61",1985-11-01,2.12
"62",1985-11-08,2.33
"63",1985-11-15,2.26
"64",1985-11-22,2.16
"65",1985-11-29,2.29
"66",1985-12-06,2.24
"67",1985-12-13,2.27
"68",1985-12-20,2.54
"69",1985-12-27,2.54
"70",1986-01-03,2.54
"71",1986-01-10,2.58
"72",1986-01-17,2.73
"73",1986-01-24,2.57
"74",1986-01-31,2.63
"75",1986-02-07,2.73
"76",1986-02-14,2.7
"77",1986-02-21,2.87
"78",1986-02-28,2.84
"79",1986-03-07,2.81
"80",1986-03-14,2.97
"81",1986-03-21,3.14
"82",1986-03-27,3.21
"83",1986-04-04,3.04
"84",1986-04-11,3.07
"85",1986-04-18,3.38
"86",1986-04-25,3.66
"87",1986-05-02,3.47
"88",1986-05-09,3.79
"89",1986-05-16,4.09
"90",1986-05-23,4.2
"91",1986-05-30,4.2
"92",1986-06-06,4.29
"93",1986-06-13,4.13
"94",1986-06-20,4.09
"95",1986-06-27,4.08
"96",1986-07-03,4.28
"97",1986-07-11,4.22
"98",1986-07-18,3.61
"99",1986-07-25,3.86
"100",1986-08-01,3.56
"101",1986-08-08,3.59
"102",1986-08-15,4.06
"103",1986-08-22,4.12
"104",1986-08-29,4.2
"105",1986-09-05,3.99
"106",1986-09-12,3.61
"107",1986-09-19,3.82
"108",1986-09-26,3.89
"109",1986-10-03,3.83
"110",1986-10-10,3.78
"111",1986-10-17,3.82
"112",1986-10-24,3.75
"113",1986-10-31,3.93
"114",1986-11-07,4.06
"115",1986-11-14,4.01
"116",1986-11-21,4.09
"117",1986-11-28,4.54
"118",1986-12-05,4.97
"119",1986-12-12,4.69
"120",1986-12-19,4.79
"121",1986-12-26,4.66
"122",1987-01-02,4.64
"123",1987-01-09,5.16
"124",1987-01-16,5.54
"125",1987-01-23,5.71
"126",1987-01-30,6.31
"127",1987-02-06,6.14
"128",1987-02-13,7.06
"129",1987-02-20,6.96
"130",1987-02-27,7.95
"131",1987-03-06,7.64
"132",1987-03-13,7.21
"133",1987-03-20,7.75
"134",1987-03-27,7.39
"135",1987-04-03,8.15
"136",1987-04-10,7.98
"137",1987-04-16,8.12
"138",1987-04-24,8.49
"139",1987-05-01,9.09
"140",1987-05-08,8.98
"141",1987-05-15,8.9
"142",1987-05-22,8.43
"143",1987-05-29,8.99
"144",1987-06-05,8.85
"145",1987-06-12,8.99
"146",1987-06-19,9.33
"147",1987-06-26,9.22
"148",1987-07-02,9.25
"149",1987-07-10,8.65
"150",1987-07-17,9.84
"151",1987-07-24,9.67
"152",1987-07-31,9.39
"153",1987-08-07,10.58
"154",1987-08-14,11.17
"155",1987-08-21,12.08
"156",1987-08-28,11.85
"157",1987-09-04,11.51
"158",1987-09-11,12.42
"159",1987-09-18,11.79
"160",1987-09-25,13.1
"161",1987-10-02,13.33
"162",1987-10-09,12.33
"163",1987-10-16,11
"164",1987-10-23,8.09
"165",1987-10-30,8.8
"166",1987-11-06,8.6
"167",1987-11-13,8.49
"168",1987-11-20,8.11
"169",1987-11-27,7.99
"170",1987-12-04,7.02
"171",1987-12-11,7.76
"172",1987-12-18,9.25
"173",1987-12-24,9.74
"174",1987-12-31,9.59
"175",1988-01-08,9.13
"176",1988-01-15,9.79
"177",1988-01-22,8.96
"178",1988-01-29,9.48
"179",1988-02-05,8.82
"180",1988-02-12,9.38
"181",1988-02-19,9.55
"182",1988-02-26,9.55
"183",1988-03-04,10.73
"184",1988-03-11,10.47
"185",1988-03-18,10.24
"186",1988-03-25,9.18
"187",1988-03-31,9.15
"188",1988-04-08,9.38
"189",1988-04-15,9.04
"190",1988-04-22,9.18
"191",1988-04-29,9.38
"192",1988-05-06,9.44
"193",1988-05-13,9.27
"194",1988-05-20,8.88
"195",1988-05-27,9.11
"196",1988-06-03,9.86
"197",1988-06-10,10.2
"198",1988-06-17,10.26
"199",1988-06-24,10.32
"200",1988-07-01,10.66
"201",1988-07-08,10.37
"202",1988-07-15,10.32
"203",1988-07-22,9.74
"204",1988-07-29,10.18
"205",1988-08-05,10.15
"206",1988-08-12,9.74
"207",1988-08-19,9.36
"208",1988-08-26,9.25
"209",1988-09-02,9.13
"210",1988-09-09,9.3
"211",1988-09-16,9.71
"212",1988-09-23,10.05
"213",1988-09-30,9.93
"214",1988-10-07,9.13
"215",1988-10-14,8.9
"216",1988-10-21,9.42
"217",1988-10-28,8.84
"218",1988-11-04,8.67
"219",1988-11-11,8.84
"220",1988-11-18,8.73
"221",1988-11-25,8.41
"222",1988-12-02,9.04
"223",1988-12-09,9.01
"224",1988-12-16,9.24
"225",1988-12-23,9.47
"226",1988-12-30,9.27
"227",1989-01-06,9.82
"228",1989-01-13,9.96
"229",1989-01-20,9.44
"230",1989-01-27,8.67
"231",1989-02-03,9.04
"232",1989-02-10,8.58
"233",1989-02-17,8.49
"234",1989-02-24,8.31
"235",1989-03-03,8.03
"236",1989-03-10,8.08
"237",1989-03-17,8.06
"238",1989-03-23,7.94
"239",1989-03-31,8.23
"240",1989-04-07,8.63
"241",1989-04-14,8.95
"242",1989-04-21,9.27
"243",1989-04-28,9.01
"244",1989-05-05,9.58
"245",1989-05-12,10.39
"246",1989-05-19,10.57
"247",1989-05-26,11.23
"248",1989-06-02,11.34
"249",1989-06-09,10.88
"250",1989-06-16,10.3
"251",1989-06-23,10.16
"252",1989-06-30,9.55
"253",1989-07-07,9.55
"254",1989-07-14,9.43
"255",1989-07-21,9.26
"256",1989-07-28,9.11
"257",1989-08-04,9.89
"258",1989-08-11,9.69
"259",1989-08-18,9.78
"260",1989-08-25,10.38
"261",1989-09-01,10.35
"262",1989-09-08,10.44
"263",1989-09-15,10.44
"264",1989-09-22,10.41
"265",1989-09-29,10.32
"266",1989-10-06,11.17
"267",1989-10-13,10.61
"268",1989-10-20,11.14
"269",1989-10-27,10.5
"270",1989-11-03,10.03
"271",1989-11-10,10.85
"272",1989-11-17,10.41
"273",1989-11-24,10.41
"274",1989-12-01,10.23
"275",1989-12-08,9.71
"276",1989-12-15,7.85
"277",1989-12-22,8.49
"278",1989-12-29,8.2
"279",1990-01-05,8.78
"280",1990-01-12,8.02
"281",1990-01-19,7.97
"282",1990-01-26,7.62
"283",1990-02-02,7.97
"284",1990-02-09,7.97
"285",1990-02-16,7.87
"286",1990-02-23,7.76
"287",1990-03-02,7.87
"288",1990-03-09,8.61
"289",1990-03-16,9.39
"290",1990-03-23,9.86
"291",1990-03-30,9.39
"292",1990-04-06,9.31
"293",1990-04-12,10.09
"294",1990-04-20,9.39
"295",1990-04-27,9.13
"296",1990-05-04,9.33
"297",1990-05-11,9.95
"298",1990-05-18,9.27
"299",1990-05-25,9.36
"300",1990-06-01,9.53
"301",1990-06-08,8.95
"302",1990-06-15,9.24
"303",1990-06-22,9.71
"304",1990-06-29,10.47
"305",1990-07-06,10.47
"306",1990-07-13,10.94
"307",1990-07-20,9.59
"308",1990-07-27,9.68
