"","city","min.temp","latitude","longitude"
"1","Mobile, AL",44,31.2,88.5
"2","Montgomery, AL",38,32.9,86.8
"3","Phoenix, AZ",35,33.6,112.5
"4","Little Rock, AR",31,35.4,92.8
"5","Los Angeles, CA",47,34.3,118.7
"6","San Francisco, CA",42,38.4,123
"7","Denver, CO",15,40.7,105.3
"8","New Haven, CT",22,41.7,73.4
"9","Wilmington, DE",26,40.5,76.3
"10","Washington, DC",30,39.7,77.5
"11","Jacksonville, FL",45,31,82.3
"12","Key West, FL",65,25,82
"13","Miami, FL",58,26.3,80.7
"14","Atlanta, GA",37,33.9,85
"15","Boise, ID",22,43.7,117.1
"16","Chicago, IL",19,42.3,88
"17","Indianapolis, IN",21,39.8,86.9
"18","Des Moines, IA",11,41.8,93.6
"19","Wichita, KS",22,38.1,97.6
"20","Louisville, KY",27,39,86.5
"21","New Orleans, LA",45,30.8,90.2
"22","Portland, ME",12,44.2,70.5
"23","Baltimore, MD",25,39.7,77.3
"24","Boston, MA",23,42.7,71.4
"25","Detroit, MI",21,43.1,83.9
"26","Minneapolis, MN",2,45.9,93.9
"27","St. Louis, MO",24,39.3,90.5
"28","Helena, MT",8,47.1,112.4
"29","Omaha, NE",13,41.9,96.1
"30","Concord, NH",11,43.5,71.9
"31","Atlantic City, NJ",27,39.8,75.3
"32","Albuquerque, NM",24,35.1,106.7
"33","Albany, NY",14,42.6,73.7
"34","New York, NY",27,40.8,74.6
"35","Charlotte, NC",34,35.9,81.5
"36","Raleigh, NC",31,36.4,78.9
"37","Bismarck, ND",0,47.1,101
"38","Cincinnati, OH",26,39.2,85
"39","Cleveland, OH",21,42.3,82.5
"40","Oklahoma City, OK",28,35.9,97.5
"41","Portland, OR",33,45.6,123.2
"42","Harrisburg, PA",24,40.9,77.8
"43","Philadelphia, PA",24,40.9,75.5
"44","Charleston, SC",38,33.3,80.8
"45","Nashville, TN",31,36.7,87.6
"46","Amarillo, TX",24,35.6,101.9
"47","Galveston, TX",49,29.4,95.5
"48","Houston, TX",44,30.1,95.9
"49","Salt Lake City, UT",18,41.1,112.3
"50","Burlington, VT",7,45,73.9
"51","Norfolk, VA",32,37,76.6
"52","Seattle, WA",33,48.1,122.5
"53","Spokane, WA",19,48.1,117.9
"54","Madison, WI",9,43.4,90.2
"55","Milwaukee, WI",13,43.3,88.1
"56","Cheyenne, WY",14,41.2,104.9
