"","years.educ","south","female","years.experience","union.member","wage","age","race","occupation","sector","married"
"1",8,0,1,21,0,5.1,35,2,6,1,1
"2",9,0,1,42,0,4.95,57,3,6,1,1
"3",12,0,0,1,0,6.67,19,3,6,1,0
"4",12,0,0,4,0,4,22,3,6,0,0
"5",12,0,0,17,0,7.5,35,3,6,0,1
"6",13,0,0,9,1,13.07,28,3,6,0,0
"7",10,1,0,27,0,4.45,43,3,6,0,0
"8",12,0,0,9,0,19.47,27,3,6,0,0
"9",16,0,0,11,0,13.28,33,3,6,1,1
"10",12,0,0,9,0,8.75,27,3,6,0,0
"11",12,0,0,17,1,11.35,35,3,6,0,1
"12",12,0,0,19,1,11.5,37,3,6,1,0
"13",8,1,0,27,0,6.5,41,3,6,0,1
"14",9,1,0,30,1,6.25,45,3,6,0,0
"15",9,1,0,29,0,19.98,44,3,6,0,1
"16",12,0,0,37,0,7.3,55,3,6,2,1
"17",7,1,0,44,0,8,57,3,6,0,1
"18",12,0,0,26,1,22.2,44,3,6,1,1
"19",11,0,0,16,0,3.65,33,3,6,0,0
"20",12,0,0,33,0,20.55,51,3,6,0,1
"21",12,0,1,16,1,5.71,34,3,6,1,1
"22",7,0,0,42,1,7,55,1,6,1,1
"23",12,0,0,9,0,3.75,27,3,6,0,0
"24",11,1,0,14,0,4.5,31,1,6,0,1
"25",12,0,0,23,0,9.56,41,3,6,0,1
"26",6,1,0,45,0,5.75,57,3,6,1,1
"27",12,0,0,8,0,9.36,26,3,6,1,1
"28",10,0,0,30,0,6.5,46,3,6,0,1
"29",12,0,1,8,0,3.35,26,3,6,1,1
"30",12,0,0,8,0,4.75,26,3,6,0,1
"31",14,0,0,13,0,8.9,33,3,6,0,0
"32",12,1,1,46,0,4,64,3,6,0,0
"33",8,0,0,19,0,4.7,33,3,6,0,1
"34",17,1,1,1,0,5,24,3,6,0,0
"35",12,0,0,19,0,9.25,37,3,6,1,0
"36",12,0,0,36,0,10.67,54,1,6,0,0
"37",12,1,0,20,0,7.61,38,1,6,2,1
"38",12,0,0,35,1,10,53,1,6,2,1
"39",12,0,0,3,0,7.5,21,3,6,0,0
"40",14,1,0,10,0,12.2,30,3,6,1,1
"41",12,0,0,0,0,3.35,18,3,6,0,0
"42",14,1,0,14,1,11,34,3,6,1,1
"43",12,0,0,14,0,12,32,3,6,1,1
"44",9,0,1,16,0,4.85,31,3,6,1,1
"45",13,1,0,8,0,4.3,27,3,6,2,0
"46",7,1,1,15,0,6,28,3,6,1,1
"47",16,0,0,12,0,15,34,3,6,1,1
"48",10,1,0,13,0,4.85,29,3,6,0,0
"49",8,0,0,33,1,9,47,3,6,0,1
"50",12,0,0,9,0,6.36,27,3,6,1,1
"51",12,0,0,7,0,9.15,25,3,6,0,1
"52",16,0,0,13,1,11,35,3,6,1,1
"53",12,0,1,7,0,4.5,25,3,6,1,1
"54",12,0,1,16,0,4.8,34,3,6,1,1
"55",13,0,0,0,0,4,19,3,6,0,0
"56",12,0,1,11,0,5.5,29,3,6,1,0
"57",13,0,0,17,0,8.4,36,3,6,1,0
"58",10,0,0,13,0,6.75,29,3,6,1,1
