"","time.to.maturity","price"
"1",0.126,99.393
"2",0.6219,96.924
"3",1.126,94.511
"4",1.6219,92.07
"5",2.126,89.644
"6",2.6219,87.295
"7",3.126,84.949
"8",3.6219,82.698
"9",4.126,80.427
"10",4.6219,78.293
"11",5.126,76.121
"12",5.6219,73.99
"13",6.126,71.905
"14",6.6219,69.984
"15",7.126,67.769
"16",7.6219,65.733
"17",8.126,63.645
"18",8.6219,61.707
"19",9.126,59.828
"20",9.6219,58.074
"21",10.126,56.246
"22",10.6219,54.528
"23",11.126,52.793
"24",11.6219,51.142
"25",12.126,49.495
"26",12.6219,47.932
"27",13.126,46.378
"28",13.6219,44.862
"29",14.126,43.299
"30",14.6219,41.856
"31",15.126,40.449
"32",15.6219,39.125
"33",16.126,37.831
"34",16.6219,36.589
"35",17.126,35.37
"36",17.6219,34.195
"37",18.126,33.036
"38",18.6219,31.926
"39",19.126,30.864
"40",0.3699,98.155
"41",0.874,95.717
"42",1.3699,93.215
"43",1.874,90.852
"44",2.3699,88.481
"45",2.874,86.14
"46",3.3699,83.797
"47",3.874,81.549
"48",4.3699,79.377
"49",4.874,77.251
"50",5.3699,75.033
"51",5.874,72.927
"52",6.3699,71.036
"53",6.874,68.868
"54",7.3699,66.735
"55",7.874,64.715
"56",8.3699,62.633
"57",8.874,60.776
"58",9.3699,58.932
"59",9.874,57.22
"60",10.3699,55.373
"61",10.874,53.675
"62",11.3699,51.976
"63",11.874,50.338
"64",12.3699,48.698
"65",12.874,47.155
"66",13.3699,45.619
"67",13.874,44.121
"68",19.6219,29.816
"69",14.3699,42.576
"70",15.3699,39.78
"71",15.874,38.486
"72",16.3699,37.209
"73",16.874,35.984
"74",17.3699,34.781
"75",17.874,33.623
"76",18.3699,32.48
"77",18.874,31.403
"78",19.3699,30.339
"79",19.874,29.317
"80",20.126,28.809
"81",20.3699,28.314
"82",20.6219,27.821
"83",20.874,27.356
"84",21.126,26.905
"85",21.3699,26.476
"86",21.6219,26.054
"87",21.874,25.654
"88",22.3699,24.841
"89",22.874,24.08
"90",14.874,41.151
"91",23.126,23.69
"92",23.3699,23.326
"93",23.6219,22.964
"94",23.874,22.611
"95",24.126,22.275
"96",24.3699,21.933
"97",22.126,25.229
"98",22.6219,24.456
"99",24.6219,21.592
"100",25.126,20.992
"101",24.874,21.271
"102",25.3699,20.695
"103",25.6219,20.415
"104",25.874,20.164
"105",26.126,19.943
"106",26.6219,19.462
"107",26.874,19.217
"108",27.126,19.082
"109",26.3699,19.69
"110",27.6219,18.583
"111",27.3699,18.86
"112",27.874,18.368
"113",28.3699,17.941
"114",28.874,17.455
"115",29.126,17.264
"116",28.126,18.164
"117",28.6219,17.694
