"","ozone.level","daggett.pressure.gradient","inversion.base.height","inversion.base.temp"
"1",3,-15,5000,30.56
"2",3,-25,2693,47.66
"3",5,-24,590,55.04
"4",5,25,1450,57.02
"5",6,15,1568,53.78
"6",4,-33,2631,54.14
"7",4,-28,554,64.76
"8",6,23,2083,52.52
"9",7,-2,2654,48.38
"10",4,-19,5000,48.56
"11",6,9,111,63.14
"12",5,-44,492,64.58
"13",4,-44,5000,56.3
"14",4,-53,1249,75.74
"15",7,-67,5000,65.48
"16",5,-40,5000,63.32
"17",9,1,639,66.02
"18",4,-68,393,69.8
"19",3,-66,5000,54.68
"20",4,-58,5000,51.98
"21",4,-26,5000,51.98
"22",5,18,3044,52.88
"23",6,23,3641,47.66
"24",9,-10,111,59.54
"25",5,-25,692,67.1
"26",6,-52,597,70.52
"27",6,-15,1791,64.76
"28",11,-15,793,65.84
"29",10,-38,531,75.92
"30",7,-29,419,75.74
"31",12,-7,816,66.2
"32",9,62,3651,49.1
"33",2,70,5000,37.94
"34",3,28,5000,32.36
"35",3,18,1341,45.86
"36",2,0,5000,38.66
"37",3,-18,3799,45.86
"38",3,32,5000,38.12
"39",4,-1,5000,37.58
"40",6,-30,5000,45.86
"41",8,-8,5000,45.5
"42",6,21,2398,53.78
"43",4,51,5000,36.32
"44",3,42,4281,41.36
"45",7,27,1161,52.88
"46",11,2,2778,55.76
"47",13,26,442,58.28
"48",6,-30,5000,42.26
"49",5,-53,5000,43.88
"50",4,-43,5000,49.1
"51",4,7,5000,49.1
"52",6,24,5000,42.08
"53",10,19,1341,59.18
"54",15,2,1318,64.58
"55",23,-4,885,67.1
"56",17,3,360,67.1
"57",7,73,3497,49.46
"58",2,73,5000,40.1
"59",3,44,5000,29.3
"60",3,39,5000,27.5
"61",5,15,5000,30.02
"62",4,-12,5000,33.62
"63",6,-2,5000,39.02
"64",7,30,5000,42.08
"65",7,24,3608,39.38
"66",6,38,5000,32.9
"67",3,56,5000,35.6
"68",2,66,5000,34.34
"69",8,-27,613,59.72
"70",12,-9,334,64.4
"71",12,13,567,61.88
"72",16,-20,488,64.94
"73",9,-15,531,71.06
"74",24,7,508,66.56
"75",13,68,1571,56.3
"76",8,28,721,55.4
"77",10,-49,505,67.28
"78",8,-27,377,73.22
"79",9,-9,442,75.74
"80",10,54,902,60.44
"81",13,53,3188,58.64
"82",14,4,1381,56.3
"83",9,-16,5000,50
"84",11,38,5000,46.94
"85",7,40,1302,52.7
"86",9,-5,1292,53.6
"87",12,-14,5000,52.7
"88",12,34,472,62.96
"89",8,42,1404,54.5
"90",9,35,944,55.76
"91",5,75,5000,35.24
"92",4,41,5000,30.92
"93",4,62,5000,33.44
"94",9,44,5000,42.08
"95",13,31,2014,53.42
"96",5,56,5000,37.22
"97",10,27,5000,47.66
"98",10,57,524,54.68
"99",7,55,5000,38.48
"100",5,59,5000,35.24
"101",4,24,5000,32.54
"102",7,29,2490,47.48
"103",3,107,5000,31.28
"104",4,36,5000,33.44
"105",7,28,5000,39.38
"106",11,30,1144,53.6
"107",15,1,547,66.92
"108",22,10,413,69.62
"109",17,46,610,63.68
"110",7,81,3638,51.26
"111",10,45,3848,56.84
"112",19,40,1479,68
"113",18,55,1108,65.48
"114",12,0,869,58.1
"115",6,43,5000,38.3
"116",9,49,5000,37.94
"117",19,31,1148,60.8
"118",21,4,856,75.38
"119",29,16,807,73.04
"120",16,46,2040,63.5
"121",5,63,5000,42.62
"122",11,60,314,59
"123",2,77,5000,42.62
"124",2,75,5000,40.82
"125",12,20,1410,55.22
"126",16,23,360,62.42
"127",22,32,1568,67.64
"128",20,40,1184,68.72
"129",27,24,898,73.4
"130",33,0,436,86.36
"131",25,6,774,86
"132",31,50,1181,79.88
"133",18,47,1991,69.62
"134",16,71,2057,67.28
"135",24,56,1597,68
"136",16,52,1184,69.44
"137",12,58,3005,59.18
"138",9,53,2880,57.38
"139",16,64,2125,59
"140",8,74,3720,50.9
"141",9,66,4337,59.36
"142",29,31,2053,72.86
"143",20,70,1958,70.52
"144",5,86,3644,59.36
"145",5,75,1368,58.46
"146",11,73,3539,53.6
"147",12,49,2785,63.32
"148",19,26,984,69.26
"149",17,56,1804,68
"150",19,77,3234,62.78
"151",16,67,3441,60.98
"152",14,61,1578,60.8
"153",10,76,1850,60.8
"154",9,80,2962,59.36
"155",7,54,2670,55.4
"156",5,76,5000,42.08
"157",2,57,5000,40.82
"158",12,46,5000,51.26
"159",22,28,987,63.86
"160",17,43,1148,66.92
"161",26,-24,898,77.9
"162",27,-1,777,82.58
"163",14,75,1279,71.6
"164",11,69,1046,68.72
"165",23,50,1167,74.3
"166",26,45,987,75.74
"167",21,57,1144,71.24
"168",15,60,977,70.7
"169",20,26,770,75.56
"170",15,-11,629,86.36
"171",18,-14,337,89.78
"172",26,26,590,85.1
"173",19,19,400,83.3
"174",13,9,580,87.26
"175",30,25,646,89.24
"176",26,41,826,84.38
"177",15,52,823,74.48
"178",16,47,2116,70.34
"179",16,52,2972,64.4
"180",19,41,2752,69.98
"181",23,37,1377,78.44
"182",28,33,1486,79.88
"183",34,22,990,85.1
"184",33,29,508,85.28
"185",24,56,1204,79.88
"186",17,63,2414,76.46
"187",10,67,2385,70.34
"188",14,64,2326,71.24
"189",13,56,3389,68.72
"190",17,58,2818,71.78
"191",15,75,3083,72.32
"192",22,54,2394,69.62
"193",19,61,2746,69.44
"194",20,55,2493,72.5
"195",25,42,1528,73.94
"196",28,40,111,78.08
"197",29,45,1899,76.46
"198",23,32,1289,75.2
"199",26,35,984,78.8
"200",14,28,836,81.5
"201",13,27,826,79.34
"202",26,39,1105,74.12
"203",22,46,1023,77.18
"204",11,68,1453,70.16
"205",15,52,2375,66.2
"206",14,46,2956,67.28
"207",13,56,2988,65.66
"208",9,60,4291,62.24
"209",12,59,3330,58.64
"210",14,30,1233,70.52
"211",22,36,1450,69.8
"212",24,28,1069,74.3
"213",19,57,984,73.4
"214",16,71,1653,68.72
"215",7,68,3930,59.18
"216",2,73,5000,51.62
"217",4,45,5000,51.26
"218",6,46,4212,56.84
"219",12,52,5000,49.82
"220",9,31,5000,57.38
"221",15,43,1545,65.66
"222",17,44,994,69.62
"223",13,55,1125,68
"224",20,16,636,73.94
"225",22,32,748,77
"226",24,44,692,77.72
"227",26,39,807,78.8
"228",32,19,869,78.98
"229",33,24,800,85.64
"230",27,6,393,91.76
"231",38,0,557,90.68
"232",23,27,620,85.64
"233",19,33,1404,84.74
"234",19,21,898,80.6
"235",15,-2,377,83.3
"236",28,17,528,78.8
"237",10,26,2818,72.68
"238",14,10,3247,67.28
"239",26,0,895,78.08
"240",17,0,721,80.24
"241",3,-27,774,75.56
"242",2,0,134,77.18
"243",3,39,5000,51.8
"244",14,13,1965,60.98
"245",29,10,1853,70.88
"246",18,7,2342,71.42
"247",3,56,5000,51.62
"248",7,37,5000,47.48
"249",9,35,4028,55.04
"250",19,26,2716,63.68
"251",8,31,3671,65.84
"252",23,31,3795,66.92
"253",13,35,3120,66.92
"254",7,17,2667,63.5
"255",3,39,5000,52.7
"256",5,36,5000,48.92
"257",11,25,308,68.72
"258",12,18,2982,59.9
"259",5,30,5000,52.7
"260",4,25,5000,51.26
"261",5,38,5000,47.66
"262",4,35,5000,47.84
"263",10,13,3070,60.08
"264",17,0,830,72.14
"265",26,-9,711,75.56
"266",30,-10,1049,78.98
"267",18,-39,511,83.84
"268",12,-40,5000,67.64
"269",7,-34,5000,69.44
"270",15,-3,377,78.8
"271",12,27,862,73.58
"272",7,-17,337,81.14
"273",28,-2,492,82.22
"274",22,13,1394,75.02
"275",18,27,3146,64.04
"276",14,11,2234,66.74
"277",24,21,2109,69.62
"278",10,23,5000,54.5
"279",14,-7,2270,68.9
"280",9,-13,2191,68.72
"281",12,12,3448,58.64
"282",7,13,5000,48.92
"283",7,11,5000,49.46
"284",6,25,2719,56.84
"285",13,21,1899,62.06
"286",5,-41,5000,52.52
"287",3,-21,5000,50.9
"288",7,-19,5000,54.32
"289",8,10,2385,60.44
"290",10,0,1938,62.6
"291",12,-11,590,69.98
"292",6,-40,328,80.6
"293",5,-29,5000,61.7
"294",20,-22,597,73.58
"295",14,-4,469,71.78
"296",16,18,1541,63.14
"297",5,24,5000,41.9
"298",3,15,5000,41.72
"299",5,27,5000,44.6
"300",1,54,5000,42.8
"301",5,-28,5000,53.6
"302",4,-38,5000,63.5
"303",11,-36,5000,60.08
"304",6,-20,2014,69.98
"305",8,1,436,70.34
"306",14,3,830,66.02
"307",18,-8,1112,66.38
"308",12,-17,1210,67.82
"309",9,-22,501,70.88
"310",7,-15,875,68.9
"311",14,7,1601,62.06
"312",4,59,5000,41.9
"313",3,-63,5000,37.04
"314",3,-52,5000,41
"315",3,-54,2280,55.76
"316",3,-43,2047,63.5
"317",3,-69,5000,56.48
"318",3,-50,3720,61.34
"319",3,-24,311,69.98
"320",6,28,2536,56.48
"321",6,-22,1154,61.52
"322",5,-40,2933,59.9
