"","type","calories","sodium"
"1","beef",186,495
"2","beef",181,477
"3","beef",176,425
"4","beef",149,322
"5","beef",184,482
"6","beef",190,587
"7","beef",158,370
"8","beef",139,322
"9","beef",175,479
"10","beef",148,375
"11","beef",152,330
"12","beef",111,300
"13","beef",141,386
"14","beef",153,401
"15","beef",190,645
"16","beef",157,440
"17","beef",131,317
"18","beef",149,319
"19","beef",135,298
"20","beef",132,253
"21","pork",173,458
"22","pork",191,506
"23","pork",182,473
"24","pork",190,545
"25","pork",172,496
"26","pork",147,360
"27","pork",146,387
"28","pork",139,386
"29","pork",175,507
"30","pork",136,393
"31","pork",179,405
"32","pork",153,372
"33","pork",107,144
"34","pork",195,511
"35","pork",135,405
"36","pork",140,428
"37","pork",138,339
"38","poultry",129,430
"39","poultry",132,375
"40","poultry",102,396
"41","poultry",106,383
"42","poultry",94,387
"43","poultry",102,542
"44","poultry",87,359
"45","poultry",99,357
"46","poultry",107,528
"47","poultry",113,513
"48","poultry",135,426
"49","poultry",142,513
"50","poultry",86,358
"51","poultry",143,581
"52","poultry",152,588
"53","poultry",146,522
"54","poultry",144,545
