"","day.num","day.of.week","holiday","mean.temp","rel.humid","tot.mort","resp.mort","SO2","TSP"
"1",1,2,1,5.6,30,45,2,267.33,109.56
"2",2,3,0,4.1,26,32,5,374.98,152.68
"3",3,4,0,4.6,29.7,37,0,276.25,162.16
"4",4,5,0,2.9,32.7,33,1,440.5,197.52
"5",5,6,0,2.2,71.3,36,1,354.25,234.59
"6",6,7,0,0.7,80.7,45,6,334.5,167.34
"7",7,1,0,-0.6,82,46,2,619.5,216.49
"8",8,2,0,-0.5,82.7,38,4,560.61,236.1
"9",9,3,0,0.2,79.3,29,1,535.09,251.85
"10",10,4,0,1.7,69.3,39,4,524.92,269.95
"11",11,5,0,2.7,49.7,36,2,512.25,278.65
"12",12,6,0,0.8,62.3,35,4,474.75,286.65
"13",13,7,0,1.7,72,34,3,437.5,290.53
"14",14,1,0,0.6,64.3,48,5,733.75,293.57
"15",15,2,0,0.5,84,36,5,508.75,282.07
"16",16,3,0,3.8,80.7,43,3,494.12,278.7
"17",17,4,0,5.6,64,39,3,492.02,286.93
"18",18,5,0,4.9,54.7,48,3,443.28,290.27
"19",19,6,0,5.8,71,40,3,639.81,292.75
"20",20,7,0,6.4,64,48,5,461.48,250.98
"21",21,1,0,5,77.7,51,1,374.96,333.76
"22",22,2,0,3,82.7,43,4,288.75,180.27
"23",23,3,0,4.4,82.3,38,4,396,219.07
"24",24,4,0,6,83,47,3,476.75,304.44
"25",25,5,0,5.5,86.3,32,5,827.75,450.17
"26",26,6,0,5.5,72.3,38,4,582.75,353.59
"27",27,7,0,3.6,64.3,46,6,336.25,177.68
"28",28,1,0,4.7,39.3,37,3,499,269.95
"29",29,2,0,5.3,55.3,41,4,483.25,269.95
"30",30,3,0,6,59.3,39,3,480.25,286.33
"31",31,4,0,4.4,83.3,38,5,369.25,219.94
"32",32,5,0,4.6,77.3,33,7,280,128.53
"33",33,6,0,6.6,45,35,1,362,202.69
"34",34,7,0,8.1,55.7,44,1,282.75,175.96
"35",35,1,0,9.2,52,35,3,445.25,231.15
"36",36,2,0,7.3,75,53,5,429.25,306.16
"37",37,3,0,5.2,77.7,40,1,593.75,319.1
"38",38,4,0,5.4,85.7,33,2,481.19,289.72
"39",39,5,0,5.9,82.7,47,6,588,291.51
"40",40,6,0,5.3,84.3,27,3,616,282.02
"41",41,7,0,5.5,84,46,6,563.75,232.01
"42",42,1,0,5.5,79.7,43,5,452,339.79
"43",43,2,0,5.4,73,34,6,579.25,324.27
"44",44,3,0,4.7,68,38,5,539,318.24
"45",45,4,0,5.9,65.7,29,2,458.74,300.18
"46",46,5,0,6.7,62.3,36,4,439.28,287.52
"47",47,6,0,7.6,52.3,43,3,350.75,256.15
"48",48,7,0,8.2,58,37,3,348,252.7
"49",49,1,0,7.5,62.7,58,9,386,311.34
"50",50,2,0,5.8,44.7,36,2,188,154.4
"51",51,3,0,6.4,41,43,7,223.25,198.38
"52",52,4,0,5.9,48,47,1,327.75,238.04
"53",53,5,0,6.5,46,37,5,429.5,312.2
"54",54,6,0,7.1,43.3,44,7,481.25,344.97
"55",55,7,0,7.4,43.7,42,5,271.5,305.19
"56",56,1,0,8.6,46.7,36,2,514.5,279.13
"57",57,2,0,10.1,40,46,5,555.5,255.96
"58",58,3,0,9.7,36.3,56,8,387,236.24
"59",59,4,0,8.5,41.7,40,5,360,189.7
"60",60,5,0,8.5,46.3,44,7,358.75,253
"61",61,6,0,8.3,49.3,51,4,320.5,211.5
"62",62,7,0,9.9,60.3,48,4,315.1,208.67
"63",63,1,0,11.8,53,49,6,265.5,161.66
"64",64,2,0,7.6,47.7,46,3,170.25,121.99
"65",65,3,0,7,45.7,41,9,183,110.78
"66",66,4,0,7.4,61.7,43,12,231.93,144.71
"67",67,5,0,5.4,76.7,59,10,264.95,166.52
