"","contrib","group","turnover","eligible","vest","failsafe","match","salary","estimate","susan"
"1",36675,1,14,69,1,0,25,26296.3,75432,0
"2",63733,0,10,33,1,0,50,14133.7,50000,0
"3",25560,1,8,21,1,0,50,24000,45000,0
"4",177970,0,10,67,1,0,25,36833.3,235000,0
"5",86873,1,10,47,1,0,50,41140.1,146965,0
"6",39051,0,10,12,1,0,0,66463.8,95000,0
"7",131449,1,12,85,1,0,25,25929.3,155045,0
"8",30711,0,10,40,1,0,50,17198.7,54392,1
"9",13691,0,10,30,1,1,0,28788.6,50000,0
"10",49587,1,10,63,1,0,25,32124.4,100000,0
"11",37898,0,10,25,1,1,100,35288.1,86000,0
"12",41686,1,0.1,30,0,0,100,23266.7,56000,0
"13",107657,0,14,21,1,0,50,54798,115650,0
"14",39811,0,14,29,1,0,50,18617.9,50000,0
"15",148274,0,14,99,1,0,0,25516.6,252316,0
"16",91496,0,10.8,21,1,1,25,41250,113152,1
"17",126988,0,10,28,1,0,0,21599.3,77280,0
"18",158941,0,7.5,283,1,0,25,20405.2,321750,0
"19",13691,0,12,50,0,0,100,23778.9,35772,0
"20",118396,0,14,250,1,0,0,28626.9,243750,0
"21",102670,0,7,30,1,0,0,37906.4,101431,0
"22",21012,0,12,28,1,0,100,33941.2,78330,0
"23",58448,0,14,36,1,0,25,23492,60304,0
"24",39787,0,12,23,1,0,50,28222.1,41458,0
"25",73614,0,14,66,0,0,0,35874.8,144316,0
"26",218158,0,12,150,0,0,100,21626.1,200000,1
"27",41335,0,12,121,1,0,20,57182.2,141481,0
"28",19120,1,14,69,1,0,0,21503.3,103171,0
"29",73053,1,11,175,1,0,0,25102.2,152646,0
"30",166110,1,14,146,1,0,25,37219.7,267268,0
"31",141009,1,14,70,1,0,0,20380.5,154135,0
"32",98052,0,13,176,1,0,0,34764,276222,0
"33",42293,1,14,38,0,0,0,34182.8,90074,0
"34",169983,0,12,144,1,0,25,26809.3,255126,0
"35",71849,0,14,69,0,0,0,67391.1,119856,0
"36",28429,1,12,110,1,0,0,30397,144000,0
"37",24154,1,14,21,1,0,75,33374.8,50088,0
"38",12038,1,14,49,1,0,0,21133.9,51592,0
"39",289886,1,11.8,391,1,0,0,27309.8,432562,0
"40",150329,1,11,80,0,1,0,37927.6,173846,0
"41",69020,0,14,32,1,0,0,43603.4,90000,1
"42",25749,1,18,281,1,0,0,18943.7,120000,0
"43",32147,1,14,63,1,0,0,30144.4,103320,0
"44",101665,1,11.8,45,0,0,25,35661.8,126625,0
"45",224721,0,8.21,437,1,0,25,24986.9,679972,0
"46",249063,1,14,400,1,0,25,20511.8,425040,0
"47",17865,0,12,9,1,0,100,59528.6,40500,0
"48",28912,0,14,31,1,0,50,27289.5,59271,0
"49",42703,0,14,25,1,0,0,34137.7,51026,0
"50",120940,0,14,50,1,0,50,35888.3,106000,0
"51",149654,0,14,230,1,0,40,26807.3,200000,0
"52",277688,0,12,244,1,0,0,36729.4,263676,1
"53",25214,1,12,54,1,0,10,18039.7,73031,0
"54",141359,0,12,234,0,0,0,29970.1,217420,0
"55",57282,1,12,23,1,0,100,26647.8,50000,0
"56",76269,0,12,23,1,0,25,37104.9,64488,0
"57",75572,0,12,63,1,0,10,42790.9,175000,0
"58",71330,1,13,85,1,0,50,25932.4,192000,0
"59",28748,1,14,69,1,0,100,21250.7,123084,0
"60",151405,1,14,141,1,0,25,30506.1,262005,0
"61",24285,0,14,49,1,1,10,15423.5,46104,1
"62",58131,1,14,130,0,0,0,38793.3,140576,0
"63",44323,1,14,41,1,0,0,37380.2,97680,0
"64",318022,0,14,154,0,0,100,51865.4,524000,0
"65",34052,0,14,17,0,0,100,30398.9,61222,0
"66",82837,0,12,28,1,0,25,41309.2,70275,0
"67",86394,0,14,100,1,0,0,30265.6,264075,1
"68",26810,1,14,126,1,0,0,29346,281954,0
"69",37516,1,12,62,1,0,50,24814.9,65052,0
"70",44228,1,14,135,1,0,25,19549.9,165102,0
"71",24541,1,12,60,1,0,0,39189.3,121135,0
"72",80602,1,14,96,1,0,50,26440.6,165240,0
"73",56209,1,14,64,1,0,0,45428.3,170928,0
"74",187159,1,12.5,350,1,0,0,23659.6,394980,0
"75",34878,1,14,60,1,0,25,32408.3,135936,0
"76",126924,1,14,86,1,0,0,37579.8,150000,0
"77",197015,0,14,27,1,0,50,55804.3,123405,1
"78",228169,0,14,84,0,0,20,51481.8,399431,1
"79",147450,1,13,176,1,0,25,25424.2,251064,0
"80",39691,1,14,68,0,0,25,27399.6,134133,0
"81",52618,0,14,37,1,0,20,36806.7,113010,0
"82",25530,1,14,37,1,0,0,43253.4,87000,0
"83",39311,1,15,70,1,0,0,22034.8,72680,0
"84",45969,1,14,75,1,0,25,18465.4,82320,0
"85",13604,1,14,36,1,0,0,30352.5,50930,0
"86",304864,0,14,141,1,1,25,42847.9,271153,0
"87",66685,0,12,29,1,0,0,47012.6,118145,0
"88",26192,1,20,49,1,0,25,2234.4,67340,0
"89",67353,0,14,52,1,0,100,37295,220153,1
"90",22954,0,14,150,1,0,25,18352.1,147000,0
"91",109116,1,14,246,0,0,0,31887.7,506530,0
"92",18022,0,14,51,1,0,25,71320,98076,0
