"","ragweed","year","day.in.seas","temperature","rain","wind.speed"
"1",7,1991,1,72.4118,1,10.4
"2",7,1991,2,67.1111,0,9.4
"3",2,1991,3,68.5294,1,8.2
"4",5,1991,4,73.4,1,11.8
"5",4,1991,5,80.4737,1,7.2
"6",0,1991,6,80.9375,1,7.8
"7",0,1991,7,74.4444,1,5.4
"8",0,1991,8,70.0588,1,10.2
"9",13,1991,9,67.7273,1,5.3
"10",62,1991,10,71.875,1,8.8
"11",25,1991,11,73.5882,1,7.6
"12",15,1991,12,64.6471,0,8.4
"13",57,1991,13,69.6667,1,9.4
"14",40,1991,14,72.1765,1,8.8
"15",25,1991,15,73.875,1,5.8
"16",27,1991,16,74.875,1,2.8
"17",64,1991,17,76.5294,1,4.8
"18",44,1991,18,75.3333,1,4.8
"19",34,1991,19,76.5294,1,9.2
"20",103,1991,20,77.5,1,9.6
"21",165,1991,21,75.5882,1,10
"22",142,1991,22,73.125,1,7.8
"23",9,1991,23,64.6667,0,7.6
"24",92,1991,24,69.0625,1,10.2
"25",80,1991,25,71.0588,1,7.2
"26",186,1991,26,75.9444,1,7.2
"27",239,1991,27,72.8889,1,8.4
"28",115,1991,28,75.0625,1,10
"29",323,1991,29,76.1111,1,3.4
"30",377,1991,30,80.5556,1,6.4
"31",236,1991,31,80.5882,1,6.8
"32",147,1991,32,84.3333,1,1
"33",200,1991,33,80.3125,1,5.4
"34",72,1991,34,80.2778,1,1.8
"35",239,1991,35,75.6875,1,12
"36",87,1991,36,67.625,1,10
"37",93,1991,37,70,1,4.8
"38",93,1991,38,73.8125,1,8.8
"39",40,1991,39,70.5556,1,8.6
"40",9,1991,40,68.7647,1,2.6
"41",32,1991,41,73.3333,1,6.2
"42",43,1991,42,76.5556,1,8
"43",38,1991,43,78.0714,1,10.6
"44",50,1991,44,78.3889,0,11.4
"45",32,1991,45,76.7857,1,10.8
"46",13,1991,46,66.3333,1,8.4
"47",8,1991,47,65.2143,1,8.2
"48",20,1991,48,69.6471,1,5.4
"49",4,1991,49,71.0625,1,5.4
"50",27,1991,50,81.2353,1,13.4
"51",34,1991,51,75.4,1,12.2
"52",4,1991,52,66.1111,1,9.4
"53",5,1991,53,59.3846,1,13
"54",9,1991,54,51.7692,1,10.7
"55",0,1991,55,50.5625,1,9.4
"56",8,1991,56,51,1,4.8
"57",8,1991,57,55.4706,1,12
"58",5,1991,58,55.9375,1,15.2
"59",0,1991,59,50,1,4.7
"60",6,1991,60,49.8,1,10.4
"61",8,1991,61,49.0588,1,17.8
"62",4,1991,62,49.6429,1,11.4
"63",1,1991,63,48,1,4.2
"64",18,1991,64,53.8125,1,8
"65",18,1991,65,67.3636,1,14.2
"66",8,1991,66,63.7895,1,5.4
"67",22,1991,67,66.625,1,12
"68",0,1991,68,63.5882,1,8
"69",0,1991,69,54.875,0,8.6
"70",4,1991,70,54.0625,1,12.6
"71",4,1991,71,43,0,10.4
"72",0,1991,72,46.4375,1,12.8
"73",19,1991,73,54.375,1,13.2
"74",7,1991,74,65.2222,1,10
"75",0,1991,75,56.7647,1,5.8
"76",2,1991,76,50.4706,0,7.6
"77",2,1991,77,50.625,1,10.6
"78",2,1991,78,48.3529,1,4.2
