"","dens","yield","location"
"1",23.48,223.02,0
"2",26.22,234.24,0
"3",27.79,221.68,0
"4",32.88,221.94,0
"5",33.27,197.45,0
"6",36.79,189.64,0
"7",37.58,211.2,0
"8",37.58,191.36,0
"9",41.49,156.62,0
"10",42.66,168.12,0
"11",44.23,197.89,0
"12",44.23,154.14,0
"13",51.67,153.26,0
"14",55.58,142.79,0
"15",55.58,126.17,0
"16",57.93,167.95,0
"17",58.71,144.54,0
"18",59.5,151.3,0
"19",60.67,130.52,0
"20",62.63,125.3,0
"21",67.71,114.05,0
"22",70.06,116.31,0
"23",70.45,120.71,0
"24",73.98,134.16,0
"25",73.98,114.48,0
"26",78.67,91.17,0
"27",95.9,101.27,0
"28",96.68,97.33,0
"29",96.68,101.37,0
"30",101.38,97.2,0
"31",103.72,87.12,0
"32",104.51,81.71,0
"33",105.68,76.44,0
"34",108.03,87.1,0
"35",117.82,84.54,0
"36",127.21,69.09,0
"37",134.26,64.4,0
"38",137.39,66.81,0
"39",151.87,63.01,0
"40",163.61,55.45,0
"41",166.35,62.54,0
"42",184.75,54.68,0
"43",18.78,272.15,1
"44",21.25,235.23,1
"45",23.23,180.47,1
"46",27.18,177.31,1
"47",30.15,141.28,1
"48",31.63,169.39,1
"49",32.12,138.17,1
"50",32.62,171.81,1
"51",32.62,112.02,1
"52",33.61,156.09,1
"53",37.07,137.29,1
"54",38.55,154.1,1
"55",39.54,124.17,1
"56",39.54,146.28,1
"57",41.02,105.47,1
"58",42.5,139.24,1
"59",43.98,148.31,1
"60",45.47,110.44,1
"61",49.92,90.72,1
"62",50.9,102.61,1
"63",53.87,107.36,1
"64",57.82,92.66,1
"65",61.78,96.52,1
"66",61.78,94.71,1
"67",63.75,99.86,1
"68",67.71,93.37,1
"69",71.66,89.78,1
"70",77.59,69.34,1
"71",80.56,73.74,1
"72",86.49,75.17,1
"73",88.46,72.98,1
"74",89.45,79.94,1
"75",90.93,79.13,1
"76",92.91,70.93,1
"77",101.81,60.99,1
"78",103.78,74.09,1
"79",115.15,49.45,1
"80",123.06,56.65,1
"81",144.31,47.84,1
"82",155.68,40.03,1
"83",158.15,38.7,1
"84",180.39,28.96,1
