"","lrdji"
"1",0.013724665
"2",0.024797411
"3",-0.000755657
"4",0.011006791
"5",-0.002432618
"6",-0.015209853
"7",-0.013293694
"8",-0.024757511
"9",0.023793364
"10",0.001569339
"11",-0.002066221
"12",-0.007723698
"13",-0.01560129
"14",0.009021022
"15",0.013089636
"16",-0.013425441
"17",0.008776372
"18",0.008315427
"19",-0.001403938
"20",-0.007688619
"21",0.009944865
"22",-0.006674436
"23",-0.0000279
"24",-0.001412181
"25",-0.017160517
"26",0.004836621
"27",0.020080747
"28",-0.009504132
"29",0.002384246
"30",-0.010984023
"31",0.011156106
"32",0.004433821
"33",0.022520844
"34",-0.000865053
"35",-0.015282108
"36",-0.003552171
"37",-0.006400735
"38",0.001953696
"39",-0.002917995
"40",-0.002339895
"41",0.020436836
"42",0.027984254
"43",-0.000870339
"44",-0.003485854
"45",0.00812473
"46",0.012669028
"47",-0.002133128
"48",0.00831056
"49",-0.002845762
"50",-0.005155015
"51",0.011894271
"52",-0.009453786
"53",-0.001317567
"54",-0.022358175
"55",-0.000516064
"56",0.017387302
"57",-0.001439572
"58",0.018613661
"59",-0.009389608
"60",-0.012904112
"61",0.0047251
"62",0.017623582
"63",-0.004390413
"64",0.012152498
"65",0.011082295
"66",-0.002342485
"67",0.016152759
"68",0.005353404
"69",0.001600449
"70",0.004892131
"71",0.00297472
"72",-0.005097836
"73",0.000767865
"74",0.01263642
"75",0.013681075
"76",-0.003502853
"77",0.002701763
"78",0.010498326
"79",0.001267694
"80",0.003031696
"81",-0.008246529
"82",0.020699032
"83",-0.011742172
"84",0.006345733
"85",-0.000784395
"86",0.007713972
"87",-0.002208829
"88",0.001715578
"89",-0.002340816
"90",0.009663738
"91",-0.017608585
"92",-0.005499217
"93",-0.001523253
"94",0.004643648
"95",-0.001898491
"96",-0.003453171
"97",-0.016255283
"98",-0.011666459
"99",0.016113756
"100",-0.022224827
"101",0.008827894
"102",0.003452452
"103",-0.001735135
"104",0.008078539
"105",0.012686807
"106",0.01009165
"107",-0.013263389
"108",-0.007023728
"109",-0.006477258
"110",-0.012387555
"111",0.006917531
"112",0.002992678
"113",0.017770396
"114",0.00524171
"115",0.001284037
"116",-0.003652721
"117",-0.008761474
"118",-0.005121457
"119",-0.012454829
"120",0.001681574
"121",0.009674859
"122",0.014923078
"123",0.014270776
"124",0.0086781
"125",0.006558712
"126",-0.000369932
"127",0.004680492
"128",-0.005419868
"129",0.005986419
"130",0.000650154
"131",-0.002320344
"132",-0.00241185
"133",0.003430569
"134",0.002092315
"135",-0.001978791
"136",-0.01726978
"137",0.000604575
"138",-0.003054799
"139",-0.00532538
"140",-0.00439054
"141",0.010610752
"142",-0.000635048
"143",-0.016613626
"144",-0.012695984
"145",-0.000862866
"146",0.002940452
"147",-0.000237916
"148",0.011090735
"149",-0.007419651
"150",-0.000590989
"151",-0.004919765
"152",0.012372523
"153",0.000147378
"154",0.016933701
"155",0.006642943
"156",0.006342776
"157",-0.011371335
