"","v","D","sigma"
"1",9065,134.7,2.3
"2",12012,158.9,3.1
"3",15055,198.6,2.8
"4",16687,238.9,2.8
"5",9801,117.1,3.4
"6",4124,56,2.9
"7",13707,183.9,3.1
"8",7880,121.5,2.2
"9",22426,274.6,3.4
"10",7765,102.1,2.7
"11",4227,58,2.4
"12",30253,467,2.4
"13",18212,262.2,2.9
"14",5935,88.6,2.1
"15",10696,151.4,2.4
"16",13518,202.5,2.3
"17",17371,235.9,2.6
"18",12871,176.8,2.6
"19",5434,77.9,2.4
"20",23646,309.5,2.6
"21",26318,391.5,3.1
"22",18997,280.1,2.8
"23",21190,303.4,2.4
"24",15567,236.1,2.1
"25",15002,215.4,2.4
"26",8604,119.7,2.9
"27",14764,202.3,2.7
"28",5424,71.8,3.1
"29",7241,96.7,2.6
"30",8691,127.8,2.7
"31",4847,66.8,2.5
"32",10715,149.9,2.6
"33",14634,185.6,2.7
"34",6673,82.4,2.8
"35",9024,136,2.5
"36",10446,132.7,2.7
