"","Z1","Z2","Z3","E1","E2","E3","M1","M2","M3","M4","V1","V2","V3","V4","V5","V6","M5","M6","V7","V8","V9"
"1",0,8.8,8.51,-26.59,-12,-16.45,-2.38,8.22,10.78,1.62,14.33,15.14,23.5,4.75,5.02,14.77,1,0,1,2,"1"
"2",0,-1.91,7.26,NA,3.87,10.06,1.66,-16.13,17.57,12.09,3.95,3.28,14.03,15.96,13.23,15.78,1,1,1,3,"1"
"3",0,4.37,9.25,-1.65,-11.29,-1.21,2.97,6.01,4.26,2.16,-7.9,-4.43,-18.15,-2.94,-2.95,-9.81,0,0,0,1,"1"
"4",0,0.81,5.87,-5.51,3.12,-1.7,1.64,18.8,1.77,NA,2.43,1.41,15.68,-0.45,8.3,6.79,0,1,0,4,"1"
"5",1,1.42,5.86,6.96,1.53,-0.79,6,20.69,22.19,43.56,11.75,14.27,11.27,2.4,15.83,8.55,1,1,1,4,"1"
"6",0,5.13,6.04,-5.05,1.73,5.37,13.16,20.96,1.61,3.96,14.41,15.7,28.48,8.74,6.76,9.23,1,1,1,4,"6"
"7",1,3.74,7.32,-14.83,-2.21,-2.23,-1.72,-12.93,-16.29,-15.71,14.45,14.21,45.98,-1.84,12.09,1.29,0,0,1,4,"1"
"8",0,8.74,11.11,-9.87,-6.67,-13.22,-12.01,-12.9,7.99,-15.31,2.28,7.84,11.73,NA,7.31,-0.51,0,0,0,NA,"1"
"9",1,4.98,11.15,-13.03,-4.1,-1.43,13.44,30.58,3.74,4.5,2.37,5.05,-1.98,4.2,4.46,2.69,1,1,1,4,"1"
"10",1,6.29,9.85,0.64,3.01,-0.85,3.55,-3.36,-1.93,-6.65,-4.87,2.39,-4.03,-4.1,-7.04,6.46,1,1,0,1,"1"
"11",1,3.33,6.18,-14.31,-0.86,-6.68,13.95,48.54,31.86,29.22,0.04,-3.8,-6.92,-0.49,-0.61,1.14,1,1,1,2,"1"
"12",0,2.03,9.77,-1.41,-2.37,-13.76,-15.85,-5.74,-9.41,-25.44,2.92,4.07,9.64,9.1,8.92,11.98,0,0,1,3,"1"
"13",1,-5.55,4.59,-3.17,-1.7,-2.06,7.63,-1.77,10.67,40.15,-9.5,-5.23,-13.6,-6.5,1.87,-5.74,1,1,0,1,"1"
"14",1,-8.14,5.86,8.06,-0.57,0.5,-15.25,-26.98,3.36,-16.36,11.95,1.38,6.47,6.43,4.37,13.76,0,0,1,2,"1"
"15",1,4.07,6.6,2.59,-3.23,-5.25,-9.34,4.86,8.21,-7.19,-0.3,11.98,7.5,-5.52,5.73,1.47,0,0,0,2,"1"
"16",1,15.38,7.88,-13.57,-7.92,-8.56,-13.82,-25.19,-7.82,-1.94,10.43,6.49,22.24,9.53,4.18,15.7,0,0,0,4,"6"
"17",1,3.87,6.61,2.27,-1.27,7.93,9.18,8.28,31.07,16.44,-0.64,3.42,-2.98,-4.46,-3.53,-5.13,1,1,1,4,"1"
"18",1,5.49,7.56,-4.2,-2.08,-7.56,0.07,-11.39,3.39,-14.58,7.42,15.79,14.53,12.96,2.69,7.64,1,1,1,4,"1"
"19",1,2.02,9.02,-3.82,3.9,-3.73,8.59,6.79,-1.88,17.4,-1.14,4.16,0.18,-0.57,-15.63,-8.62,1,1,1,1,"1"
"20",0,3.34,2.43,2.08,0.64,-3.68,-13.7,-15.35,-26.41,-56,-12.36,-7.57,-30.35,-7.02,-8.8,-17.88,0,0,0,1,"1"
"21",1,-1.48,5.17,-1.9,3.19,1.6,-2.47,-8.92,17.02,12.19,1.89,1.13,-4.52,2.64,0.88,3.05,0,0,0,1,"1"
"22",1,7.6,3.63,-1.13,0.19,-7.06,1.56,-15.62,9.69,NA,8.63,15.49,18.7,2.41,-0.28,5.92,1,0,1,4,"1"
"23",1,6.16,5.35,-6.59,NA,-5.89,NA,8.39,9.12,-30.87,-2.99,-11.53,-14.39,0.53,-11.85,-2.75,NA,0,1,1,"1"
"24",0,-5.36,1.2,5.23,0.96,-0.45,-6.52,-13.52,15.19,-11.12,4.29,5.76,-7.04,0.24,13.98,-0.06,0,0,0,3,"1"
"25",1,-1.1,6.87,-5.6,2.11,6.76,25.87,36.84,36.68,78.18,1.77,-1.54,14.22,-3.98,5.77,0.38,1,1,0,4,"1"
"26",0,9.05,10.57,-15.58,-6.14,-3.19,-15.46,-17.72,12.2,-40.6,4.59,NA,-0.06,6.38,-3.35,6.07,0,0,0,2,"1"
"27",0,2.85,5.49,-5.01,-3.82,-3.1,1.35,-24.83,15.11,1.29,-3.33,1.19,0.03,3.26,-0.41,-5.95,0,0,0,3,"1"
"28",1,-1.36,9.09,2.18,0.29,5.18,6.45,18.83,-4.42,20.6,2.36,1.32,0.37,5.15,-8.45,-0.34,1,1,0,2,"1"
"29",0,1.01,6.09,-25.24,-7.67,-12.11,9.28,1.6,-4.24,18.67,22.07,28.17,NA,4.16,13.39,19.49,0,0,NA,4,"1"
"30",0,7.75,9.39,-12.55,-6.01,-10.73,9.35,51.65,29.97,68.82,12.93,17.96,48.6,11.98,10.53,15.94,1,1,1,4,"6"
"31",1,5.15,5.73,-14.99,-3.37,-8.13,6.08,-0.22,-4.67,11.1,-11.66,-4.4,-34.85,-9.57,-4.35,-11.5,1,0,0,1,"1"
"32",0,3.14,6.55,5.23,2.08,2.46,-27.98,-35.74,-18.11,-30.47,-1.15,-0.67,-0.83,-6.76,-9.41,-7.7,0,0,0,1,"1"
"33",1,6.99,7.9,-0.42,2.99,-0.25,3.17,1.1,6.08,30.16,11.08,15.96,42.12,10.94,17.22,15.19,0,0,1,4,"1"
"34",1,0.75,7.7,6.95,6.56,9.52,-2.99,-11.94,-4.51,10.85,6.67,13.54,21.91,2.73,0.63,1.22,0,0,1,4,"6"
"35",1,-2.59,4.3,-11.9,-3.25,-13.94,-5.56,-16.83,-7.05,-10.53,-0.88,1.38,-7.92,-4.13,-7.43,0.38,0,0,0,1,"1"
"36",0,7.64,7.51,-11.04,-0.24,NA,15.78,58.1,3.02,23.01,16.8,18.74,26.96,3.71,11.26,12.73,1,1,1,4,"6"
"37",0,-5.73,6.99,18.79,7.82,22.01,20.79,28.8,24.13,33.89,-2.96,5.91,-3.09,-1.26,-3.13,7.04,1,1,0,2,"1"
"38",0,2.92,6.51,-6.16,-3.38,-6.26,5.46,11.67,-9.2,18.2,4.81,NA,-6.73,-2.77,-0.78,0.97,1,1,0,1,"1"
"39",1,10.71,8.55,-4.24,-7.16,-0.66,5.1,42.79,17.11,61.3,19.56,22.05,32.84,11.69,16.62,23.78,1,1,1,4,"6"
"40",0,-0.22,8.62,-9.21,1.26,-0.4,-22.95,-22.38,-8.56,-8.96,-11.94,-24.53,-23.63,-12.59,-16.06,-18.97,0,0,0,1,"1"
"41",1,8.33,9.16,-12.1,-6.35,-7.89,1.77,-1.96,10.14,-18.08,8.97,9.64,18.35,12.52,14.72,14,0,0,1,4,"1"
"42",0,-2.44,7,0.64,0.01,2.91,-1.89,-0.18,8.8,23.88,8.19,2.39,6.79,-3.25,-6.61,6.53,1,1,1,4,"6"
"43",1,-1.68,3.68,18.03,1.61,8.85,1.97,1.86,2.58,-23.68,-7.2,-16.92,-14.71,-2.33,-5.62,-5.64,0,0,0,1,"1"
