"","V1","V2","V3","V4","V5","V6","V7","V8","V9","Class"
"1",50,21,77,0,28,0,27,48,22,"Fpv.Close"
"2",55,0,92,0,0,26,36,92,56,"High"
"3",53,0,82,0,52,-5,29,30,2,"Rad.Flow"
"4",37,0,76,0,28,18,40,48,8,"Rad.Flow"
"5",37,0,79,0,34,-26,43,46,2,"Rad.Flow"
"6",85,0,88,-4,6,1,3,83,80,"Bypass"
"7",56,0,81,0,-4,11,25,86,62,"High"
"8",55,-1,95,-3,54,-4,40,41,2,"Rad.Flow"
"9",53,8,77,0,28,0,23,48,24,"High"
"10",37,0,101,-7,28,0,64,73,8,"Rad.Flow"
"11",37,0,78,-2,12,0,42,65,24,"Rad.Flow"
"12",45,0,84,0,46,20,38,37,0,"Rad.Flow"
"13",38,2,77,0,38,7,39,38,0,"Rad.Flow"
"14",37,0,78,0,-2,5,41,81,40,"Rad.Flow"
"15",41,0,100,0,38,-8,59,61,2,"Rad.Flow"
"16",41,0,89,1,38,-16,48,50,2,"Rad.Flow"
"17",47,0,85,-2,46,-4,38,39,0,"Rad.Flow"
"18",49,0,79,0,46,-5,30,32,2,"Rad.Flow"
"19",49,3,82,0,50,4,33,33,0,"Rad.Flow"
"20",37,-318,105,-2,36,-4,68,69,0,"Rad.Flow"
"21",44,3,77,0,44,2,33,33,0,"Rad.Flow"
"22",106,2,108,0,70,0,1,38,36,"Bypass"
"23",37,-5,76,0,28,0,40,48,8,"Rad.Flow"
"24",49,0,100,0,50,19,52,51,0,"Rad.Flow"
"25",45,-1,87,-2,44,-4,43,43,0,"Rad.Flow"
"26",37,4,80,0,-2,0,43,83,40,"Rad.Flow"
"27",55,-1,98,0,52,8,42,46,4,"High"
"28",55,0,86,8,54,0,31,32,0,"Rad.Flow"
"29",55,3,88,3,54,0,32,33,2,"Rad.Flow"
"30",37,0,74,0,26,-1,38,48,10,"Rad.Flow"
"31",37,0,106,0,36,3,68,69,2,"Rad.Flow"
"32",49,0,107,0,46,-16,58,60,2,"Rad.Flow"
