"","y1","y2","y3","klf4","nanog","oct4","sox2","clusterID"
"1","0","0","0",1.488838,2.608805,0.339897,1.605249,"3"
"2","0","0","1",3.072061,2.5e-05,1.745238,1.987309,"2"
"3","1","1","0",2.771782,1.733875,3.036171,1.904365,"2"
"4","1","1","1",3.890476,3.142657,3.152232,3.138053,"2"
"5","1","1","1",3.890476,3.142657,3.152232,3.138053,"2"
"6","1","1","1",3.890476,3.142657,3.152232,3.138053,"2"
"7","0","1","0",3.890476,3.142657,3.152232,3.138053,"2"
"8","0","0","0",3.890476,3.142657,3.152232,3.138053,"2"
"9","1","1","1",2.328068,3.032493,2.613002,3.133518,"3"
"10","1","1","0",2.693463,1.423309,2.332035,1.80434,"2"
"11","0","1","1",1.847443,2.608984,2.715324,1.999169,"3"
"12","1","1","0",3.923173,3.151627,2.067395,3.153521,"3"
"13","1","0","0",2.123739,0.527882,0.426782,0.00759,"2"
"14","0","0","1",0.872142,2.406494,1.8989,2.758209,"3"
"15","0","1","0",0.23467,3.841489,0.770924,3.405633,"2"
"16","1","0","1",3.387859,1.339968,3.278968,2.427408,"3"
"17","0","0","0",1.663338,4e-06,1.899067,2.278903,"2"
"18","0","0","0",1.663338,4e-06,1.899067,2.278903,"2"
"19","1","1","1",0,3.807376,2.57021,4.006206,"2"
"20","1","1","1",0.508616,2.360715,3.320235,2.993924,"3"
"21","0","1","1",1.624996,3.37547,1.629666,1.265338,"2"
"22","0","1","1",0.003566,0.01774,0,0.09035,"2"
"23","1","1","0",2.478715,0.07084,1.305068,1.026248,"2"
"24","0","0","1",0.06517,0.028619,0.403683,0.031933,"3"
"25","1","1","0",0.016317,0.007266,0.240354,0,"2"
"26","0","0","0",3.773329,3.297878,3.086743,3.566406,"2"
"27","1","1","1",3.773329,3.297878,3.086743,3.566406,"2"
"28","0","1","1",1.768184,0.590024,1.49835,0.242465,"2"
"29","1","0","0",2.876714,1.341661,2.164066,0.891277,"2"
"30","0","1","1",2.212736,1.410876,3.102913,0.424502,"2"
"31","0","1","1",2.697725,1.440525,3.017601,3.475038,"2"
"32","0","0","0",0.462205,2.907357,4.427165,4.511176,"2"
"33","1","1","1",0.462205,2.907357,4.427165,4.511176,"2"
"34","1","1","1",2.972045,4.627823,1.434946,3.348724,"3"
"35","1","1","1",0.182616,1.971683,2.574667,0,"3"
"36","1","1","1",1.536666,0.202307,2.383278,0.335463,"3"
"37","0","0","1",0,0.346765,0.002132,0,"2"
"38","0","0","1",3.220879,1.713414,1.907093,2.087222,"2"
"39","1","0","0",1.657703,1.421338,1.709772,2.389384,"2"
"40","1","1","1",1.19208,3.257545,4.063821,2.830612,"3"
"41","0","1","1",1.19208,3.257545,4.063821,2.830612,"3"
"42","0","1","1",1.19208,3.257545,4.063821,2.830612,"3"
"43","0","1","0",3.062201,2.501204,1.958818,0.076631,"2"
"44","0","1","0",2.604201,2.802434,2.882182,0.768405,"2"
"45","0","1","1",3.146445,3.10581,1.878179,2.35205,"3"
"46","1","0","1",2.172002,3.192735,1.984744,2.283764,"3"
"47","0","1","1",0.175089,2.212153,1.954615,2.663744,"3"
"48","0","1","0",2.401377,2.217085,3.180097,0.087141,"2"
"49","0","1","1",0.38347,1.329394,0,2.324057,"2"
"50","0","0","0",0.38347,1.329394,0,2.324057,"2"
"51","0","1","1",2.069656,3.358282,2.664136,2.217886,"3"
"52","0","1","1",2.069656,3.358282,2.664136,2.217886,"3"
"53","0","1","1",2.069656,3.358282,2.664136,2.217886,"3"
"54","0","0","1",0.319425,0.816906,1.781186,0.991619,"2"
"55","0","1","1",2.129337,1.700753,2.454429,2.262197,"2"
"56","0","0","1",2.129337,1.700753,2.454429,2.262197,"2"
"57","0","1","0",1.42748,0.679,1.489034,2.039046,"2"
"58","0","0","0",1.93786,0.158633,1.451767,0.105536,"2"
"59","0","0","1",1.93786,0.158633,1.451767,0.105536,"2"
"60","0","0","0",2.038611,1.943194,2.96525,1.128296,"2"
"61","0","1","0",2.038611,1.943194,2.96525,1.128296,"2"
"62","0","1","1",3.056783,2.716124,1.987309,3.326684,"3"
"63","1","1","1",0,2.777257,0,0,"3"
"64","0","1","1",0,2.777257,0,0,"3"
"65","0","0","0",0.112088,0.186742,1.229732,1.793374,"2"
"66","0","0","1",2.421127,1.68022,2.083202,0.37965,"2"
"67","0","0","1",3.195297,2.521137,0.785177,2.130587,"3"
"68","0","0","0",3.195297,2.521137,0.785177,2.130587,"3"
"69","0","0","0",1.974819,1.857745,2.330192,0.451327,"2"
"70","1","0","0",1.974819,1.857745,2.330192,0.451327,"2"
"71","0","0","0",1.976833,2.253785,0.395954,1.136166,"3"
"72","0","1","1",1.354947,2.400648,2.440072,1.426478,"3"
"73","0","0","0",1.450071,2.766126,2.923345,2.817581,"2"
"74","1","1","0",1.774978,0.438871,2.780075,3.021561,"2"
"75","0","0","1",1.697952,1.233403,2.763586,3.052821,"3"
"76","1","1","0",1.697952,1.233403,2.763586,3.052821,"3"
"77","0","0","0",3.845306,3.804769,2.041678,1.011233,"3"
"78","0","1","1",3.845306,3.804769,2.041678,1.011233,"3"
"79","1","1","1",0.181797,0.166338,0.390365,1.121378,"2"
"80","0","0","1",5.132242,1.853952,2.866623,1.725827,"2"
"81","1","0","0",3.864128,3.008933,3.576144,1.881199,"3"
"82","1","1","1",0.369188,0.453058,0,0,"2"
"83","1","1","0",3.115324,2.850562,2.988531,2.610749,"2"
"84","0","1","0",3.407658,2.399049,1.459078,2.308296,"2"
"85","0","1","0",3.407658,2.399049,1.459078,2.308296,"2"
"86","0","0","0",3.407658,2.399049,1.459078,2.308296,"2"
"87","0","0","0",1.922859,1.316413,0,0,"3"
"88","1","0","0",1.513701,3.062842,3.245723,2.462829,"2"
"89","0","0","1",0.450006,0.018969,1.899357,0.336754,"2"
"90","1","1","1",2.640554,3.003915,1.983531,2.551291,"2"
"91","0","0","0",0.111135,0.036018,0.33402,1.515348,"3"
"92","0","1","1",3.37435,2.712068,1.846709,2.767988,"2"
"93","0","0","1",3.37435,2.712068,1.846709,2.767988,"2"
"94","1","0","1",3.423494,2.906671,3.419887,0.733635,"3"
