"","ph","cal","lat","lon","geog.x","geog.y"
"1",6.4,1.6,35.4958,-83.9667,-0.0285729739177452,0.00382924302071701
"2",6.33,1.61,35.45,-83.9292,-0.0280389786604092,0.00302988694560757
"3",6.94,3.81,35.3978,-84.1139,-0.0306689628259679,0.00211882812652856
"4",6.89,2.51,35.5333,-82.6555,-0.00989601238908527,0.00448373582481789
"5",6.82,2.92,35.5411,-82.5625,-0.00857099227253307,0.00461987009606946
"6",6.12,0.85,35.4167,-82.9278,-0.0137754514718356,0.00244869449343668
"7",6.46,0.8,35.1333,-82.9417,-0.0139734761978876,-0.00249756356303633
"8",6.75,1.78,35.1069,-83.1008,-0.0162400142900541,-0.00295832876704121
"9",6.32,0.92,35.1014,-83.0792,-0.0159323077171262,-0.00305432144207063
"10",6.05,0.96,35.1125,-83.0208,-0.0151003491033841,-0.00286059074264511
"11",5.95,0.33,35.1058,-83.0042,-0.0148638648155683,-0.00297752730425607
"12",7.17,3.395,36.8011,-80.1103,0.0263642926953068,0.0266078944614089
"13",6.23,0.63,36.4447,-80.93,0.0146886377000688,0.0203892686745009
"14",6.59,1.08,36.4014,-80.9819,0.0139492573904064,0.0196336924606284
"15",6.85,4.63,36.1378,-81.6722,0.00411421994907986,0.0150336998193221
"16",6.61,2.22,35.6542,-83.9078,-0.0277342399693222,0.00659380613187579
"17",6.98,23.52,35.6931,-83.0458,-0.0154564977410216,0.00727272287945427
"18",6.54,1.47,35.45,-83.7917,-0.0260808950289926,0.00302988694560757
"19",7.07,3.06,35.2772,-83.6544,-0.0241255096370081,1.39626340156422e-05
"20",6.54,1,35.1833,-83.6667,-0.0243006883612875,-0.00162490081856744
"21",6.52,1.58,35.1703,-84.2583,-0.0327248857769846,-0.00185179327802176
"22",6.72,15.38,35.095,-84.6164,-0.0378224791520372,-0.00316602197388728
"23",6.72,1.38,34.8597,-84.6511,-0.038316362182264,-0.00727272287945415
"24",6.75,2.74,34.7869,-84.3994,-0.0347336236482314,-0.00854328275936673
"25",6.55,1.39,34.9322,-84.0755,-0.0301222020659227,-0.00600738715164509
"26",6.51,1.1,34.8272,-83.555,-0.0227097975711577,-0.0078399386845707
"27",6.37,1.03,34.7703,-83.4289,-0.0209137109163452,-0.00883299647922343
"28",6.91,2.29,34.6072,-84.6344,-0.0380786738214911,-0.0116794778047243
"29",6.96,1.33,34.6217,-83.8247,-0.0265508492242766,-0.0114264219533161
"30",6.95,1.99,34.6225,-83.8203,-0.0264881891703901,-0.0114124602297189
"31",6.68,1.84,34.4897,-84.3717,-0.0343392951693743,-0.0137300738015307
"32",6.76,1.35,34.5447,-84.3678,-0.0342837753505742,-0.012770227019369
"33",6.5,1.1,34.4522,-84.2881,-0.033149143601061,-0.0143845075892684
"34",6.75,1.15,34.4261,-84.298,-0.0332900863357114,-0.0148399898855175
"35",6.39,0.54,34.5119,-84.0769,-0.030142136291108,-0.0133426462096598
"36",6.52,1.87,35.4083,-82.2025,-0.0034417007500663,0.00230208725001663
"37",6.47,1.93,35.338,-82.2042,-0.00346592288314423,0.00107512261210817
"38",6.26,0.8,35.2542,-83.0958,-0.0161687861203944,-0.000387463084247843
"39",6.28,0.71,35.2403,-83.0617,-0.0156830067479059,-0.000630063818282825
"40",6.2,0.58,35.213,-83,-0.0148040312429853,-0.00110653851995145
"41",6.83,0.92,35.2625,-82.5181,-0.00793839384498335,-0.000242600763647396
"42",6.54,1.8,35.225,-82.4167,-0.00649365854878693,-0.000897099115195977
"43",6.45,1.25,35.0625,-83.2208,-0.0179494520118666,-0.00373325059814289
"44",6.7,1.09,34.9753,-82.9378,-0.0139179153860286,-0.00525516218905541
"45",6.73,1.11,35.0292,-82.6972,-0.0104901260545428,-0.0043144405256996
"46",6.82,1.07,35.1014,-82.5467,-0.00834587898790771,-0.00305432144207063
"47",6.84,0.645,34.8661,-83.103,-0.016271354645556,-0.00716102471630075
"48",6.59,0.86,34.6886,-83.3386,-0.0196274735035871,-0.0102588653868162
"49",6.77,1.06,34.6139,-83.3594,-0.0199237541116407,-0.011562548641229
"50",6.64,3.77,34.6028,-83.2825,-0.0188283577308815,-0.011756267019343
"51",7,2.37,34.6536,-83.1911,-0.0175263732173187,-0.0108696965270507
"52",6.97,1.42,34.4897,-83.4969,-0.0218822719740606,-0.0137300738015307
"53",6.35,1,35.175,-83.15,-0.0169408927983368,-0.00176976293768666
"54",6.37,1.66,35.1625,-84.1667,-0.0314207363276367,-0.00198792870868294
"55",6.7,0.99,34.8625,-84.2667,-0.0328444761316895,-0.00722385494415798
"56",6.56,0.68,34.53,-84.2792,-0.0330224366613708,-0.0130267690754334
"57",6.97,3.35,34.5017,-84.3972,-0.034702305436455,-0.0135206537338557
"58",7.63,30.97,35.6708,-83.7978,-0.0261677660064001,0.00688352420847699
"59",6.31,1.64,35.0853,-83.1611,-0.0170990161190523,-0.0033353180166581
"60",6.32,1.69,35.3667,-83.875,-0.0272671563497637,0.00157603166210573
"61",5.87,0.29,35.1306,-82.6653,-0.0100356367069745,-0.00254468730307405
"62",7.04,1.85,34.7392,-83.9736,-0.0286712277186204,-0.00937577137327698
