"","time","color","object","id","cnt"
"1",-867,"0","0","11",6
"2",-850,"0","0","11",6
"3",-833,"0","0","11",6
"4",-816,"0","0","11",6
"5",-799,"0","0","11",6
"6",-782,"0","0","11",6
"7",-765,"0","0","11",6
"8",-748,"0","0","11",6
"9",-731,"0","0","11",6
"10",-714,"0","0","11",6
"11",-697,"0","0","11",6
"12",-680,"0","0","11",6
"13",-663,"0","0","11",6
"14",-646,"0","0","11",6
"15",-629,"0","0","11",6
"16",-612,"0","0","11",6
"17",-595,"0","0","11",6
"18",-578,"0","0","11",6
"19",-561,"0","0","11",6
"20",-544,"0","0","11",6
"21",-527,"0","0","11",6
"22",-510,"0","0","11",6
"23",-493,"0","0","11",6
"24",-476,"0","0","11",6
"25",-459,"0","0","11",6
"26",-442,"0","0","11",6
"27",-425,"0","0","11",6
"28",-408,"0","0","11",6
"29",-391,"0","0","11",6
"30",-374,"0","0","11",6
"31",-357,"0","0","11",6
"32",-340,"0","0","11",6
"33",-323,"0","0","11",6
"34",-306,"0","0","11",6
"35",-289,"0","0","11",6
"36",-272,"0","0","11",5
"37",-255,"0","0","11",5
"38",-238,"0","0","11",5
"39",-221,"0","0","11",5
"40",-204,"0","0","11",5
"41",-187,"0","0","11",5
"42",-170,"0","0","11",4
"43",-153,"0","0","11",4
"44",-136,"0","0","11",3
"45",-119,"0","0","11",3
"46",-102,"0","0","11",3
"47",-85,"0","0","11",3
"48",-68,"0","0","11",3
"49",-51,"0","0","11",3
"50",-34,"0","0","11",3
"51",-17,"1","1","11",2
"52",0,"1","1","11",2
"53",17,"1","1","11",3
"54",34,"1","1","11",3
"55",51,"1","1","11",3
"56",68,"1","1","11",3
"57",85,"1","1","11",3
"58",102,"1","1","11",3
"59",119,"1","1","11",3
"60",136,"1","1","11",3
"61",153,"1","1","11",3
"62",170,"1","1","11",3
"63",187,"0","1","11",1
"64",204,"0","1","11",1
"65",221,"0","1","11",1
"66",238,"0","1","11",1
"67",255,"0","1","11",1
"68",272,"0","1","11",1
"69",289,"0","1","11",1
"70",306,"0","1","11",1
"71",323,"0","1","11",1
"72",340,"0","1","11",1
"73",357,"0","1","11",1
"74",374,"0","1","11",1
"75",391,"0","1","11",1
"76",408,"1","0","11",1
"77",425,"1","0","11",1
"78",442,"1","0","11",1
"79",459,"1","0","11",1
"80",476,"1","0","11",1
"81",493,"1","0","11",1
"82",510,"1","0","11",1
"83",527,"1","0","11",1
"84",544,"1","0","11",1
"85",561,"1","0","11",1
"86",578,"0","0","11",4
"87",595,"0","0","11",4
"88",612,"0","0","11",4
"89",629,"0","0","11",4
"90",646,"0","0","11",4
"91",663,"0","0","11",4
"92",680,"0","0","11",4
"93",697,"0","0","11",4
"94",714,"0","0","11",4
"95",731,"0","0","11",4
"96",748,"0","0","11",4
"97",765,"1","1","11",3
"98",782,"1","1","11",3
"99",799,"1","1","11",3
"100",816,"1","1","11",3
"101",833,"1","1","11",3
"102",850,"1","1","11",3
"103",867,"1","1","11",3
"104",884,"1","1","11",3
"105",901,"1","1","11",3
"106",918,"1","1","11",3
"107",935,"1","1","11",3
"108",952,"1","1","11",3
"109",969,"1","1","11",3
"110",986,"1","1","11",3
"111",1003,"1","1","11",3
"112",1020,"1","1","11",3
"113",1037,"1","1","11",3
"114",1054,"1","1","11",2
"115",1071,"1","1","11",2
"116",1088,"1","1","11",2
