"","event","pop","sex","wrt","brt","ort","lat","lon","geog.x","geog.y","scrn","name"
"1", 22, 16618,"M",0.9730855,0.0013680297,0.025546468,40.74547,-84.93584,0.016122....,0.016814....,0.5292906,"Adams"
"2",158,162425,"M",0.8307905,0.1130845656,0.056124924,41.09128,-85.06417,0.014401....,0.022849....,0.5639615,"Allen"
"3", 32, 35107,"M",0.9417092,0.0183383495,0.039952404,39.20513,-85.89820,0.003216....,-0.01006....,0.4768739,"Bartholomew"
"4",  7,  4677,"M",0.9690054,0.0021229169,0.028871670,40.60569,-87.30773,-0.01568....,0.014375....,0.5292906,"Benton"
"5",  7,  6907,"M",0.9839835,0.0012101367,0.014806378,40.47343,-85.32257,0.010936....,0.012067....,0.5292906,"Blackford"
"6", 23, 22506,"M",0.9792222,0.0035352550,0.017242501,40.05109,-86.46873,-0.00443....,0.004696....,0.6319378,"Boone"
"7",  5,  7511,"M",0.9816140,0.0021394665,0.016246574,39.19567,-86.22853,-0.00121....,-0.01023....,0.5292906,"Brown"
"8", 14, 10060,"M",0.9764939,0.0019836350,0.021522440,40.58393,-86.56457,-0.00572....,0.013995....,0.5292906,"Carroll"
"9", 37, 20569,"M",0.9370144,0.0128756413,0.050109944,40.76085,-86.34656,-0.00279....,0.017083....,0.5292906,"Cass"
"10", 67, 46930,"M",0.9029563,0.0662679327,0.030775769,38.47743,-85.71644,0.005654....,-0.02276....,0.4802538,"Clark"
"11", 15, 12887,"M",0.9838455,0.0033137521,0.012840789,39.39562,-87.11485,-0.01310....,-0.00674....,0.5292906,"Clay"
"12", 18, 16704,"M",0.9437784,0.0030413985,0.053180181,40.29962,-86.47579,-0.00453....,0.009034....,0.5292906,"Clinton"
"13",  4,  5408,"M",0.9826864,0.0015824258,0.015731174,38.28511,-86.45620,-0.00426....,-0.02612....,0.5292906,"Crawford"
"14", 18, 14705,"M",0.9751844,0.0044936284,0.020321932,38.70237,-87.07578,-0.01257....,-0.01884....,0.5292906,"Daviess"
"15", 30, 22839,"M",0.9806328,0.0062243814,0.013142770,39.14997,-84.97708,0.015569....,-0.01103....,0.5292906,"Dearborn"
"16", 14, 12131,"M",0.9849725,0.0004886988,0.014538790,39.30438,-85.50205,0.008529....,-0.00833....,0.5292906,"Decatur"
"17", 22, 20059,"M",0.9775599,0.0025071367,0.019932978,41.39553,-84.99971,0.015266....,0.028157....,0.7127819,"De Kalb"
"18", 54, 56975,"M",0.9073327,0.0671639906,0.025503288,40.22564,-85.39821,0.009922....,0.007742....,0.5888440,"Delaware"
"19", 25, 19619,"M",0.9753995,0.0014115038,0.023188990,38.36411,-86.88130,-0.00996....,-0.02474....,0.3706873,"Dubois"
"20", 79, 90848,"M",0.8639977,0.0522509314,0.083751388,41.59645,-85.85894,0.003742....,0.031662....,0.5701880,"Elkhart"
"21", 16, 12399,"M",0.9716273,0.0167265906,0.011646084,39.64384,-85.17625,0.012898....,-0.00241....,0.5292906,"Fayette"
"22", 35, 34132,"M",0.9322678,0.0441382037,0.023594030,38.31933,-85.90309,0.003150....,-0.02552....,0.7163738,"Floyd"
"23", 10,  8908,"M",0.9870781,0.0010582600,0.011863652,40.12273,-87.24440,-0.01483....,0.005946....,0.5292906,"Fountain"
"24", 17, 11058,"M",0.9902036,0.0003160128,0.009480385,39.42215,-85.05575,0.014514....,-0.00628....,0.5292906,"Franklin"
"25", 23, 10139,"M",0.9621179,0.0076056750,0.030276437,41.04392,-86.26147,-0.00165....,0.022022....,0.5292906,"Fulton"
"26", 32, 15906,"M",0.9646154,0.0191384615,0.016246154,38.30902,-87.58046,-0.01934....,-0.02570....,0.5292906,"Gibson"
"27", 36, 35215,"M",0.8922660,0.0719452883,0.035788728,40.51565,-85.65444,0.006485....,0.012804....,0.6096531,"Grant"
"28", 23, 16305,"M",0.9859457,0.0007841481,0.013270199,39.03689,-86.96596,-0.01110....,-0.01300....,0.5292906,"Greene"
"29", 58, 89884,"M",0.9438273,0.0153551494,0.040817555,40.07148,-86.05218,0.001150....,0.005052....,0.6222829,"Hamilton"
