"","day","month","year","hour","minute","second","latitude","longitude","depth","magnitude"
"1",25,11,1944,23,52,38,43.66,-9,NA,4.7
"2",18,11,1948,3,34,46,41.5,-8.5,NA,4.8
"3",4,4,1950,3,6,22,43.3,-6,NA,4.6
"4",10,2,1961,18,52,1,41.72,-6.19,NA,5.2
"5",10,2,1961,19,16,34,41.72,-6.19,NA,5.2
"6",10,2,1961,20,2,58,41.72,-6.19,NA,3.9
"7",14,3,1961,21,47,3,41.72,-6.19,NA,4.4
"8",3,5,1962,23,27,22,43.88,-7.01,5,4.3
"9",18,3,1965,20,31,12,43.15,-7.29,5,3.2
"10",1,11,1967,2,0,20,42.2,-7.25,NA,2.7
"11",15,7,1972,6,22,29,41.3,-8.5,NA,3.2
"12",31,7,1972,23,34,13,41.2,-8.4,NA,2.5
"13",20,4,1973,2,27,3,42.19,-8.66,5,3.6
"14",3,5,1973,20,55,38,41.14,-6.68,5,3.2
"15",7,6,1973,20,55,28,42.83,-8.8,NA,3.3
"16",24,12,1974,21,10,20,43.06,-6.86,14,3.7
"17",10,1,1975,2,59,28,43.5,-7.1,NA,3.3
"18",6,8,1975,1,32,52,41.14,-8.19,5,3.6
"19",12,10,1978,19,55,53,41.88,-7.72,5,4.3
"20",12,10,1978,21,1,55,42.03,-7.75,5,3.6
"21",16,1,1979,0,55,16,42.88,-7.15,80,3.6
"22",15,2,1979,10,11,59,42.76,-7.36,10,4.6
"23",16,2,1979,23,57,43,42.54,-9.48,60,4
"24",20,2,1979,14,48,33,42.31,-7.87,10,3.4
"25",18,12,1979,5,47,34,42.88,-7.16,20,4.2
"26",11,2,1980,17,16,48,42.16,-8.18,5,3.2
"27",30,5,1980,16,15,16,41.86,-6.34,10,3.1
"28",6,10,1980,23,4,32,42.33,-8.66,NA,3.4
"29",8,7,1981,15,10,9,42.74,-6.7,27,3.6
"30",25,9,1983,22,45,44,43.8,-9.42,32,3.7
"31",29,8,1984,6,27,31,42.2,-8.43,5,3.4
"32",25,11,1984,13,37,22,42.91,-7.44,20,3.2
"33",25,11,1984,19,45,22,42.63,-7.75,5,3
"34",23,1,1986,21,13,33,41.18,-7.25,7,3.3
"35",25,4,1986,21,4,28,41.21,-7.2,5,3.4
"36",11,5,1986,18,51,56,42.75,-6.83,5,3.2
"37",4,7,1986,23,51,35,42.4,-7.21,5,3.6
"38",26,7,1986,13,42,55,41.11,-7.23,9,3.3
"39",26,7,1986,19,6,31,41.12,-7.25,5,2.5
"40",27,7,1986,3,15,31,41.11,-7.22,6,2.6
"41",10,8,1986,13,38,15,41.14,-7.19,10,3.8
"42",10,8,1986,13,57,28,41.11,-7.2,8,3.5
"43",10,8,1986,15,11,53,41.12,-7.21,12,4.1
"44",11,8,1986,12,18,18,41.11,-7.22,5,2.5
"45",20,8,1986,8,22,20,41.1,-7.21,8,3.8
"46",15,1,1987,4,32,8,42.12,-7.78,6,3.3
"47",4,2,1987,23,29,41,42.97,-8.79,9,2.8
"48",21,4,1987,7,3,58,43.19,-7.11,13,3.1
"49",14,5,1987,4,56,41,42,-7.24,5,3
"50",16,5,1987,5,0,20,42.71,-7.68,5,2.9
