"","year","peakflow"
"1",1924,43
"2",1925,9
"3",1926,21
"4",1927,40
"5",1928,2.6
"6",1929,15
"7",1930,8.3
"8",1931,22
"9",1932,57
"10",1933,4.2
"11",1934,5.5
"12",1935,15.2
"13",1936,13.8
"14",1937,88
"15",1938,24.1
"16",1939,9.05
"17",1940,4.61
"18",1941,117
"19",1942,5.14
"20",1943,16.5
"21",1944,4.56
"22",1945,5.45
"23",1946,15.1
"24",1947,6.17
"25",1948,5.96
"26",1949,15.5
"27",1950,5.93
"28",1951,27.6
"29",1952,111
"30",1953,4.32
"31",1954,40.8
"32",1955,8.64
"33",1956,1.46
"34",1957,6.72
"35",1958,24
"36",1959,12.1
"37",1960,78.2
"38",1961,2.59
"39",1962,8.54
"40",1963,31.3
"41",1964,3.62
"42",1965,20.4
"43",1966,68.8
"44",1967,5.6
"45",1968,17.2
"46",1969,6.1
"47",1970,17.3
"48",1971,12.8
"49",1972,30.2
"50",1973,70
"51",1974,1.5
"52",1975,10.1
"53",1976,16
"54",1977,10.2
"55",1978,89.4
"56",1979,95.8
"57",1980,99
"58",1981,2.55
"59",1982,15.2
"60",1983,17.6
"61",1984,59.8
"62",1985,46.6
"63",1987,7.56
"64",1988,11
"65",1989,2.04
"66",1990,6.71
"67",1991,71.3
"68",1992,24.6
"69",1993,143
"70",1994,7.93
"71",1995,38
"72",1996,6.61
"73",1997,3.63
"74",1998,6.37
"75",1999,4.82
"76",2000,3.7
"77",2001,4.07
"78",2002,9.28
"79",2003,20.6
"80",2004,2.54
"81",2005,46.5
"82",2006,18
"83",2007,13.7
"84",2008,81.3
"85",2009,17.6
