"","ID","CNo","XCOO","YCOO","SiO2_B","TiO2_B","Al2O3_B","Fe2O3_B","MnO_B","MgO_B","CaO_B","Na2O_B","K2O_B","P2O5_B","SO3_B","Cl_B","F_B","LOI_B","As_B","Ba_B","Bi_B","Ce_B","Co_B","Cr_B","Cs_B","Cu_B","Ga_B","Hf_B","La_B","Mo_B","Nb_B","Ni_B","Pb_B","Rb_B","Sb_B","Sc_B","Sn_B","Sr_B","Ta_B","Th_B","U_B","V_B","W_B","Y_B","Zn_B","Zr_B"
"1",5001,60,-619656.5,6805304.1,45.34,1.481,14.61,15.45,0.184,3.38,2.02,1.1,2.27,0.317,0.005,0.013,0.026,13.47,30,609,1.5,40,38,47,9,22,24,2.5,15,28,12,26,109,171,6,17,1,117,2.5,12,10,157,12,31,233,214
"2",5002,120,214714.1,7745546.6,61.98,1.02,16.14,6.31,0.088,2.73,3.37,2.46,1.87,0.207,0.005,0.015,0.106,3.39,6,436,1.5,60,14,98,2.5,5,16,2.5,29,9,16,21,21,118,2.5,20,4,161,6,10,1.5,120,6,23,82,231
"3",5003,33,-368415.5,7065039.2,60.16,1.111,12.95,6.16,0.095,3.06,3.44,2.34,1.47,0.161,0.005,0.01,0.056,8.67,5,280,1.5,45,15,137,2.5,16,16,2.5,55,1,14,48,15,73,2.5,20,5,187,2.5,11,8,129,1.5,21,62,255
"4",5004,39,226609,6922431,67.63,0.651,13.31,3.94,0.056,1.44,1.84,2.5,2.63,0.169,0.005,0.014,0.031,5.44,4,548,1.5,92,12,68,6,5,14,2.5,32,1,11,12,15,124,2.5,13,6,173,2.5,17,6,62,4,26,64,278
"5",5005,103,544050,7808760,68.03,0.533,12.88,5.48,0.083,2.66,3.19,3.12,1.59,0.09,0.005,0.026,0.01,1.98,1,512,1.5,15,15,131,2.5,5,16,2.5,15,3,5,39,6,54,2.5,16,2,259,2.5,2.5,4,102,1.5,15,51,124
"6",5006,42,379548,6925430,62.79,0.713,13.92,4.29,0.071,1.53,2.31,3,2.56,0.177,0.005,0.016,0.01,8.25,4,631,1.5,68,13,52,2.5,11,18,6,29,3,9,9,13,112,2.5,16,3,185,2.5,14,4,73,6,20,53,207
"7",5007,23,273624.6,6312364.8,84.1,0.169,5.91,1.5,0.038,0.63,1.62,0.7,1.96,0.052,0.005,0.012,0.054,2.99,1,310,1.5,15,1.5,22,2.5,5,5,2.5,26,1,4,1.5,8,82,2.5,5,1,65,2.5,9,1.5,23,1.5,12,15,89
"8",5008,20,177877.6,6326128.4,81.46,0.336,8.22,2.45,0.06,0.56,0.6,0.94,2.31,0.088,0.005,0.003,0.01,2.71,3,386,1.5,59,1.5,30,2.5,5,7,5,15,3,7,1.5,15,114,2.5,6,2,64,2.5,15,4,34,1.5,16,45,185
"9",5009,24,-391154.2,6767421.3,65.33,0.777,14.97,5.06,0.128,1.46,0.95,2.46,3.2,0.135,0.005,0.013,0.083,5.06,6,601,1.5,105,18,67,2.5,5,22,9,88,4,47,29,15,137,2.5,14,1,102,2.5,18,4,111,1.5,22,99,349
"10",5010,283,619052,7120450,4.15,0.039,1.44,0.49,0.016,0.11,0.37,0.06,0.06,0.228,0.11,0.005,0.034,92.76,1,55,1.5,32,1.5,59,2.5,26,1.5,2.5,15,1,4,8,4,4,2.5,5,1,21,2.5,14,4,42,1.5,4,1.5,1.5
"11",5011,74,475610,7070571,71.17,0.561,12.67,3.5,0.057,1.25,2.2,2.99,2.42,0.128,0.005,0.017,0.01,2.69,4,618,1.5,64,8,47,2.5,5,15,10,32,1,10,12,7,114,2.5,12,1,198,2.5,13,5,73,1.5,13,38,216
"12",5012,98,528089,7272190,0.05,0.001,0.06,0.05,5e-04,0.01,0.08,0.03,0.005,0.015,0.01,0.002,0.01,99.56,1,6,1.5,15,1.5,1.5,2.5,5,1.5,2.5,15,1,1,1.5,2,1,2.5,1,1,5,2.5,2.5,1.5,2.5,1.5,1.5,1.5,1.5
"13",5014,21,-343499.7,6921091.4,74.48,0.582,10.16,4.05,0.074,1.63,1.42,1.72,2.12,0.112,0.005,0.009,0.029,3.29,1,363,1.5,43,8,74,2.5,5,11,6,15,1,10,19,10,96,6,12,1,86,2.5,17,4,70,6,16,84,195
"14",5015,63,-630154.8,6652430.1,64.39,0.524,12.77,3.13,0.052,0.41,1.77,2.93,3.24,0.659,0.005,0.013,0.07,9.65,2,938,1.5,84,1.5,12,2.5,5,19,2.5,41,1,10,1.5,35,142,2.5,6,1,308,2.5,14,5,20,1.5,14,42,295
"15",5016,33,426329,6873352,72.5,0.478,12.26,3.46,0.071,0.93,2.16,2.94,2.36,0.131,0.005,0.008,0.01,2.42,2,570,1.5,50,4,31,2.5,5,14,9,28,1,8,1.5,9,108,2.5,9,1,190,7,15,4,44,1.5,14,39,247
"16",5017,210,473411,6720917,54.26,0.84,17.43,8.78,0.096,2.81,1.61,1.94,3.32,0.161,0.005,0.012,0.116,8.27,10,732,1.5,142,27,100,5,35,27,8,75,8,21,52,19,185,2.5,21,4,143,2.5,23,7,132,4,36,136,159
"17",5018,5,361683,6228041,71.41,0.309,7.35,2.14,0.043,1.86,5.63,0.75,2.17,0.088,0.005,0.014,0.088,7.86,1,329,1.5,28,1.5,26,2.5,5,6,2.5,44,1,7,1.5,10,104,2.5,7,4,77,2.5,13,4,29,1.5,12,21,183
"18",5019,22,321371,6829470,66.97,0.572,13.94,5.12,0.096,1.8,2.17,2.7,2.52,0.123,0.005,0.017,0.068,3.56,3,662,1.5,56,15,52,2.5,15,14,2.5,45,1,7,15,14,112,2.5,14,3,220,2.5,14,4,73,1.5,16,67,188
"19",5020,79,-35084.7,7428269.9,66.6,0.736,13.93,5.09,0.104,1.35,1.65,2.48,2.38,0.16,0.005,0.01,0.112,5.1,6,469,1.5,102,13,45,2.5,5,17,2.5,56,1,13,12,18,144,2.5,12,2,149,8,15,4,83,1.5,19,93,254
"20",5021,202,387684.1,6569821.4,61.73,0.338,7.92,2.78,0.073,0.68,10.69,0.98,2.32,0.261,0.04,0.013,0.138,11.81,4,314,1.5,50,3,30,2.5,5,5,2.5,37,1,4,4,12,95,2.5,9,1,131,2.5,15,5,28,1.5,21,50,179
"21",5022,8,468691.9,6324986.9,80.57,0.183,5.67,1.32,0.042,0.99,3.73,0.87,1.66,0.083,0.005,0.011,0.056,4.57,4,304,1.5,32,1.5,16,2.5,5,6,2.5,29,1,6,1.5,6,81,2.5,2,2,78,2.5,13,1.5,30,5,10,16,144
"22",5023,16,362305.4,6319627,89.25,0.115,4.9,0.91,0.03,0.23,0.63,0.8,1.59,0.054,0.005,0.017,0.01,1.2,1,270,1.5,15,1.5,13,2.5,5,4,2.5,15,1,5,1.5,9,65,2.5,2,1,60,2.5,11,1.5,14,1.5,7,11,80
"23",5025,110,27458.3,7626220.7,63.19,0.345,17.82,1.43,0.034,0.5,2.41,5.01,4.04,0.17,0.005,0.019,0.101,4.34,1,2920,1.5,37,1.5,13,2.5,5,18,2.5,45,1,3,1.5,14,90,2.5,6,1,391,2.5,8,5,21,5,1.5,23,70
"24",5026,223,363480,6073288,89.89,0.154,4.6,1.01,0.016,0.08,0.29,0.61,1.35,0.046,0.005,0.013,0.063,1.66,1,264,1.5,15,1.5,9,2.5,5,4,6,15,1,3,1.5,9,72,2.5,3,1,40,2.5,19,1.5,21,1.5,1.5,12,134
"25",5027,56,-530051.1,7024949.8,59.21,0.562,14.47,3.46,0.053,1.28,3.02,3,2.43,0.191,0.005,0.015,0.066,11.81,1,1092,1.5,118,8,32,2.5,5,12,2.5,70,1,12,7,15,92,2.5,9,1,549,2.5,14,5,76,1.5,12,44,176
"26",5028,128,-340893.8,7160973.5,59.93,0.821,12.1,5.01,0.072,2.32,2.92,2.06,1.48,0.241,0.005,0.014,0.063,12.66,5,281,1.5,74,11,97,2.5,16,13,2.5,51,7,13,26,11,130,2.5,17,1,147,2.5,17,5,116,3,12,71,144
"27",5029,7,-298454.5,7036859.5,84.94,0.359,6.16,1.5,0.018,0.36,0.28,0.94,2.31,0.078,0.005,0.013,0.05,2.71,1,390,1.5,39,1.5,48,2.5,18,3,2.5,15,1,7,1.5,12,99,2.5,2,1,41,2.5,14,5,22,1.5,7,25,193
"28",5030,11,374882.5,6479104.9,82.33,0.194,7.63,1.42,0.024,0.29,0.71,1.22,2.01,0.071,0.005,0.013,0.01,3.81,1,336,1.5,15,1.5,11,2.5,5,7,2.5,15,1,4,1.5,15,70,2.5,4,1,88,2.5,16,5,21,3,8,14,118
"29",5031,21,181056.8,6366922.7,64.76,0.416,10.2,3.44,0.042,1.69,6.2,0.95,2.63,0.114,0.01,0.013,0.108,9.15,4,403,3,56,7,44,2.5,5,14,2.5,43,1,10,11,10,123,6,7,3,98,2.5,13,6,49,1.5,17,45,114
"30",5032,95,364923.4,7762199.3,74.97,0.494,10.86,3.18,0.045,1.09,1.98,2.78,1.81,0.085,0.005,0.009,0.01,2.46,1,463,1.5,15,10,42,2.5,14,11,6,26,1,6,7,9,98,2.5,9,2,173,2.5,13,6,51,1.5,11,29,212
"31",5033,64,-617589.1,6606450.1,70.91,0.61,12.88,2.32,0.053,0.46,2.09,3.23,2.7,0.22,0.005,0.02,0.034,4.13,2,665,1.5,26,1.5,13,2.5,5,17,11,34,5,10,1.5,25,132,2.5,6,2,212,2.5,18,8,49,4,21,37,412
"32",5034,107,627147.9,7730800.3,55.79,0.785,15.06,7.85,0.085,3.18,4.52,2.59,1.74,0.187,0.03,0.02,0.01,7.85,9,492,1.5,76,17,120,5,10,21,8,56,6,11,54,13,104,2.5,20,5,268,2.5,14,4,133,8,19,98,145
"33",5036,90,627749,7173230,0.22,0.005,0.13,0.45,0.009,0.11,0.59,0.03,0.02,0.074,0.09,0.008,0.01,98.15,1,45,1.5,15,1.5,1.5,2.5,5,1.5,2.5,15,1,2,1.5,2,6,2.5,1,1,31,2.5,2.5,1.5,2.5,1.5,1.5,1.5,1.5
"34",5037,273,424830,7068471,65.98,0.276,9.24,1.72,0.041,0.47,1.81,2.35,1.81,0.159,0.03,0.018,0.01,15.81,5,491,1.5,37,1.5,24,2.5,5,9,2.5,15,1,5,1.5,7,102,2.5,8,1,163,2.5,14,1.5,27,5,1.5,21,153
"35",5038,72,-587031.2,7043366.1,61.31,0.698,16.2,4.74,0.074,1.85,3.99,3.07,2.05,0.226,0.005,0.019,0.01,5.36,1,810,6,123,11,56,2.5,5,16,8,62,1,12,26,12,87,2.5,17,1,450,2.5,8,4,79,1.5,20,54,247
