"","ID","XCOO","YCOO","Ag","Ag_INAA","Al","Al2O3","As","As_INAA","Au_INAA","B","Ba","Ba_INAA","Be","Bi","Br_IC","Br_INAA","Ca","Ca_INAA","CaO","Cd","Ce_INAA","Cl_IC","Co","Co_INAA","EC","Cr","Cr_INAA","Cs_INAA","Cu","Eu_INAA","F_IC","Fe","Fe_INAA","Fe2O3","Hf_INAA","Hg","Hg_INAA","Ir_INAA","K","K2O","La","La_INAA","Li","LOI","Lu_INAA","wt_INAA","Mg","MgO","Mn","MnO","Mo","Mo_INAA","Na","Na_INAA","Na2O","Nd_INAA","Ni","Ni_INAA","NO3_IC","P","P2O5","Pb","pH","PO4_IC","Rb","S","Sb","Sb_INAA","Sc","Sc_INAA","Se","Se_INAA","Si","SiO2","Sm_INAA","Sn_INAA","SO4_IC","Sr","Sr_INAA","SUM_XRF","Ta_INAA","Tb_INAA","Te","Th","Th_INAA","Ti","TiO2","U_INAA","V","W_INAA","Y","Yb_INAA","Zn","Zn_INAA","ELEV","COUN","ASP","TOPC","LITO","Al_XRF","Ca_XRF","Fe_XRF","K_XRF","Mg_XRF","Mn_XRF","Na_XRF","P_XRF","Si_XRF","Ti_XRF"
"1",1,547960,7693790,0.01,2.5,10200,14.19,0.3,0.25,0.001,1.5,40.6,380,0.28,0.061,0.001,6.2,2280,40000,3.52,0.025,41,0.001,8.8,18,0.19,20.1,75,0.5,41.6,0.9,5e-04,15000,43000,4.97,4,0.02,0.5,0.0025,1300,1.96,8.5,15,12.4,1.72,0.3,34.78,4560,1.9,170,0.07,0.4,0.5,140,31000,3.73,14,16.6,10,5e-04,324,0.08,5.7,5.8,0.002,55,52,0.013,0.05,2.4,17,0.059,1.5,140,66.01,2.6,50,2,6.3,250,98.62,0.25,0.25,0.008,7,4.4,949,0.48,1.8,31.7,0.5,3.9,2.1,38.7,81,135,1,12,35,20,7.51,2.51,3.47,1.62,1.14,0.054,2.76,0.034,30.85,0.287
"2",2,770025,7679170,0.01,2.5,3540,14.06,0.2,0.25,0.001,1.5,24.2,440,0.09,0.015,0.001,3.3,1720,40000,3.36,0.01,44,0.001,3.3,8,0.14,16.9,68,0.5,8,1,5e-04,8530,24200,3.28,6,0.01,0.5,0.0025,600,1.29,9.2,23,3,0.49,0.19,37.8,1560,1.21,59.3,0.05,0.1,0.5,140,35800,3.96,16,10.4,10,5e-04,428,0.1,1,5.8,0.002,30,11,0.005,0.05,1.1,10,0.005,1.5,110,71.12,3,50,2,6.6,250,99.24,0.25,0.25,0.0015,5,5.5,351,0.33,0.25,20.7,0.5,2.7,1.3,7.9,25,140,3,32,52,4,7.44,2.4,2.29,1.07,0.72,0.038,2.93,0.043,33.24,0.197
"3",3,498651,7668150,0.021,2.5,16100,15.24,0.4,0.25,0.002,1.5,170,720,0.51,0.011,0.001,0.25,2240,20000,2.54,0.033,100,0.001,9.1,13,0.21,38,100,0.5,23,1.7,5e-04,18200,48400,6.21,7,0.02,0.5,0.0025,3000,2.08,19.7,52,6.5,1.69,0.51,37.5,5780,2.29,102,0.07,0.1,0.5,300,18300,2.09,36,26.1,10,5e-04,631,0.16,1.6,6.1,0.002,57,38,0.013,0.05,3.4,19,0.05,1.5,180,65.03,6.8,50,3,15,250,98.04,0.25,0.25,0.022,9,13,1270,0.63,2.3,55.7,0.5,5.5,3.3,32.8,25,255,1,1,52,31,8.06,1.81,4.34,1.72,1.38,0.054,1.55,0.069,30.39,0.377
"4",4,795152,7569390,0.022,2.5,12000,15,0.3,1.9,0.001,1.5,52.5,400,0.14,0.014,0.001,6,3300,40000,4.68,0.038,37,0.001,7.8,20,0.16,31.2,250,0.5,23.7,0.8,5e-04,10500,39300,5.5,5,0.01,0.5,0.0025,1400,1.35,9.4,18,6.2,1.52,0.26,39.7,4170,3.26,102,0.09,0.1,0.5,510,26200,3.2,16,32.6,10,5e-04,359,0.09,1,6.1,0.002,54,26,0.005,0.3,2.1,17,0.024,1.5,190,63.81,2.8,50,4,12.3,250,99.04,0.25,0.25,0.0015,4,4.4,716,0.54,0.25,29.2,0.5,2.8,1.7,17.8,77,240,3,14,40,20,7.93,3.34,3.84,1.12,1.96,0.069,2.37,0.039,29.82,0.323
"5",5,437050,7855900,0.023,2.5,9850,13.76,2.2,0.25,0.007,1.5,30.3,660,0.33,0.234,0.001,27,1120,5000,1.01,0.02,200,0.003,10.5,12,0.3,9.9,37,4,23.9,2,5e-04,20900,53100,7.37,13,0.03,0.5,0.0025,2800,2.64,42,64,11.3,3.16,2.38,37.08,3280,0.86,146,0.17,1.1,0.5,40,11600,1.25,50,13.9,10,5e-04,580,0.14,8.9,5.9,0.002,130,51,0.108,0.05,1.8,21,0.28,1.5,110,68.48,9.7,50,4,3.7,250,99.55,0.8,1.5,0.015,25,22,754,0.71,5.2,14.1,0.5,18.7,16.3,52.8,104,80,2,1,50,10,7.28,0.72,5.15,2.19,0.51,0.131,0.92,0.061,32,0.425
"6",6,752106,7626020,0.007,2.5,5120,14,0.2,0.25,0.006,1.5,28.5,480,0.12,0.011,0.001,4,1710,20000,3.64,0.015,36,0.001,6.1,13,0.15,23.8,110,0.5,16,0.8,5e-04,11200,28200,4.11,5,0.01,0.5,0.0025,1000,1.31,7.9,20,4.6,0.78,0.23,38.94,3460,1.93,82,0.07,0.1,0.5,140,31300,3.66,17,31,10,5e-04,447,0.1,0.7,5.9,0.002,26,23,0.005,0.05,1.5,11,0.03,1.5,160,69.16,2.8,50,5,5.2,250,99.16,0.25,0.7,0.0015,4,4.3,471,0.39,0.25,29.1,0.5,2.9,1.4,12.5,25,140,3,4,42,20,7.41,2.6,2.87,1.08,1.16,0.054,2.71,0.043,32.32,0.233
"7",7,531687,7630820,0.027,2.5,13900,13.89,0.9,0.25,0.001,1.5,71.6,510,0.42,0.023,0.001,0.25,1190,20000,2.34,0.04,55,0.003,8.4,17,0.32,33.9,130,0.5,16.3,1.1,5e-04,16000,44700,6,6,0.02,0.5,0.0025,1300,1.99,12,30,5.3,2.39,0.53,33.48,3420,2.24,155,0.08,0.3,0.5,130,18600,2.03,20,22.5,10,5e-04,268,0.07,1.7,5.9,0.002,43,32,0.014,0.3,2.6,19,0.097,1.5,130,67.63,4.2,50,9,6.1,250,99.29,0.25,0.25,0.01,7,8.8,758,0.64,2,36.6,0.5,3.4,2.6,24.7,25,195,1,4,34,31,7.35,1.67,4.19,1.65,1.35,0.061,1.5,0.03,31.61,0.383
"8",9,752013,7686450,0.012,2.5,14600,14.94,1.4,0.25,0.001,1.5,70.4,610,0.28,0.069,0.001,14,2810,20000,3.18,0.031,64,0.002,8.7,12,0.39,40.8,96,0.5,36,1.3,5e-04,17200,31500,4.46,8,0.02,0.5,0.0025,1900,1.76,18,29,14.7,2.91,0.3,34.07,5100,1.78,159,0.07,0.1,0.5,270,29700,3.72,27,29.2,10,5e-04,552,0.14,1.9,5.3,0.002,53,83,0.005,0.05,3.2,13,0.056,1.5,130,65.4,4.6,50,19,11.8,600,98.94,0.25,0.25,0.006,8,8.8,1020,0.58,0.25,37,0.5,5.5,1.7,28.7,25,120,3,0,17,4,7.9,2.27,3.11,1.46,1.07,0.054,2.75,0.061,30.56,0.347
"9",10,688999,7610300,0.004,2.5,7800,14.99,0.2,0.25,0.001,1.5,51.1,530,0.13,0.0025,0.001,5.5,4590,60000,6.14,0.019,47,0.001,6.2,25,0.14,40.9,300,0.5,17.7,1.5,5e-04,13300,67400,8.09,11,0.01,0.5,0.0025,1200,1.03,12.5,25,3.1,0.76,0.69,38.4,3290,3.86,115,0.12,0.1,0.5,490,27800,3.12,18,22.2,10,5e-04,861,0.17,0.8,5.6,0.002,7.5,20,0.005,0.05,2.1,28,0.011,1.5,180,60.51,5,50,1,12.5,250,99.72,0.25,1,0.008,5,4,770,0.92,2.3,37.4,0.5,5.3,4.1,13.2,25,90,3,0,38,1,7.93,4.38,5.65,0.85,2.32,0.092,2.31,0.074,28.28,0.551
"10",11,489804,7652010,0.013,2.5,9510,14.65,0.3,0.25,0.001,3,48.1,600,0.3,0.013,0.001,0.25,2670,30000,3.4,0.026,63,0.001,5.4,13,0.16,24.4,120,0.5,12.8,1.4,5e-04,10500,46900,6.2,6,0.01,0.5,0.0025,900,1.67,13,33,3.6,0.82,0.56,33.42,2910,2.54,82.1,0.08,0.1,0.5,440,22900,2.68,22,14.8,10,5e-04,325,0.09,1.2,5.7,0.002,49,18,0.005,0.05,2.3,21,0.017,1.5,270,67.41,4.7,50,4,11.2,600,100.14,0.25,0.25,0.008,6,7.4,555,0.59,0.25,28.4,0.5,4.1,3.5,16.3,25,180,1,34,26,31,7.75,2.42,4.33,1.38,1.53,0.061,1.98,0.039,31.5,0.353
