"","I7","I9","I11","I13","I14","I16","I20","I22","I23","I24","I25","I26"
"1",5,6,6,5,5,5,5,6,6,6,5,5
"2",2,1,3,2,2,2,2,6,4,4,2,6
"3",6,5,6,6,6,5,5,6,5,5,5,5
"4",6,6,6,5,6,5,5,6,5,6,5,6
"5",6,6,6,6,6,6,6,6,6,6,6,6
"6",6,6,6,6,6,6,6,6,6,6,6,6
"7",2,5,5,6,5,3,6,5,6,6,3,6
"8",5,6,6,6,6,6,5,6,6,5,4,5
"9",2,6,6,6,5,6,5,3,5,3,3,4
"10",4,5,5,4,3,4,5,6,5,2,5,6
"11",4,5,5,5,5,5,4,6,5,4,2,5
"12",4,3,3,2,3,3,4,4,5,3,4,4
"13",6,6,3,6,6,6,6,6,6,6,6,6
"14",4,5,5,2,2,5,3,5,6,3,2,5
"15",5,5,5,5,5,5,5,5,5,5,6,6
"16",5,4,5,4,5,4,5,6,6,5,4,3
"17",6,6,6,4,5,4,6,6,6,4,3,6
"18",6,6,6,6,6,6,6,6,6,5,6,6
"19",6,6,6,6,6,5,6,6,6,6,5,6
"20",5,5,6,5,4,5,5,6,6,5,5,5
"21",5,5,5,6,5,5,5,6,6,5,3,5
"22",5,5,5,4,5,4,3,5,4,5,5,5
"23",4,6,6,6,6,5,1,6,6,6,5,6
"24",2,4,6,4,6,3,4,6,6,5,4,5
"25",3,2,5,2,2,2,2,5,5,3,2,4
"26",4,3,6,4,4,4,5,6,6,5,6,6
"27",5,4,6,4,4,6,6,5,6,4,4,6
"28",6,5,6,5,6,3,2,6,6,5,5,4
"29",5,6,6,6,4,4,6,6,6,5,4,6
"30",3,6,6,2,6,6,2,3,2,1,3,1
"31",6,5,3,1,6,6,6,5,6,6,6,6
"32",5,5,6,5,6,5,5,5,5,5,5,5
"33",6,3,6,6,6,1,6,6,6,6,6,6
"34",6,5,6,5,5,5,6,6,6,5,3,6
"35",5,6,6,6,6,5,5,6,6,6,5,5
"36",6,1,6,2,5,5,3,6,5,5,5,5
"37",3,5,6,5,5,4,4,5,6,3,6,6
"38",5,5,6,5,5,5,4,6,4,3,5,6
"39",6,5,6,6,5,4,5,5,6,6,5,6
"40",1,2,6,2,6,5,2,5,6,2,2,5
"41",6,6,6,3,5,4,4,6,2,2,2,4
"42",2,4,6,6,6,3,6,6,6,6,6,6
"43",1,6,5,5,5,2,6,3,2,2,3,1
"44",6,6,6,4,6,3,4,5,6,3,5,6
"45",3,4,5,4,3,4,3,5,5,5,3,5
"46",5,5,5,5,5,5,4,6,6,6,6,6
"47",5,6,6,4,5,5,5,6,6,6,6,6
"48",5,6,6,5,5,5,5,6,6,5,5,6
"49",6,6,6,6,6,5,6,6,6,6,6,6
"50",5,5,6,5,3,6,5,4,5,6,4,2
"51",6,6,6,1,6,1,6,1,6,6,6,6
"52",4,5,6,5,6,5,5,6,6,6,6,6
"53",6,5,6,6,5,6,5,5,6,5,6,6
"54",4,2,3,1,6,1,1,5,6,6,4,6
"55",4,2,3,1,3,1,2,5,6,6,4,6
"56",6,6,5,5,2,2,4,6,1,4,4,5
"57",6,6,5,5,6,3,5,6,6,3,6,4
"58",4,3,6,3,5,2,5,5,5,2,1,3
"59",4,5,6,5,6,4,4,6,6,3,3,3
"60",3,5,6,2,5,4,4,6,6,4,2,3
"61",4,3,6,3,5,4,4,5,6,3,2,3
"62",4,4,1,5,5,4,5,5,6,4,3,4
"63",4,3,4,4,4,6,6,6,6,6,3,4
"64",6,5,4,6,5,4,4,4,5,6,2,2
"65",2,5,4,6,6,5,3,6,6,6,3,5
"66",6,1,6,6,6,6,6,6,6,6,6,6
"67",6,6,6,5,6,6,5,6,5,6,5,6
"68",5,6,6,6,6,2,6,6,6,6,6,4
"69",6,6,6,6,6,6,5,6,5,6,6,6
"70",6,6,6,5,6,4,6,6,5,5,5,6
"71",6,5,6,3,6,3,6,6,5,5,6,5
"72",5,5,6,6,5,4,6,6,5,5,6,5
"73",6,6,5,6,5,4,5,6,6,4,5,4
"74",6,6,5,5,5,5,4,4,5,4,4,4
"75",4,3,5,5,3,5,5,5,5,3,5,5
"76",4,6,6,2,6,6,6,5,5,6,5,5
"77",4,3,1,6,4,5,4,5,4,3,5,6
"78",4,6,6,6,6,5,6,6,5,5,6,5
"79",6,6,6,6,6,6,6,6,6,6,4,6
"80",3,5,6,4,5,5,3,6,6,5,4,5
"81",2,4,4,2,2,3,5,5,6,4,4,3
"82",6,6,6,6,6,6,6,6,6,6,6,4
"83",6,6,6,6,4,6,6,6,6,5,5,5
"84",6,5,6,5,6,6,4,4,6,5,1,3
"85",6,4,6,4,6,6,4,4,6,5,1,3
