"","x1","x2","y"
"1",0.8935473,-0.8336572,0
"2",-0.7341184,-0.1031537,0
"3",0.0721088,0.3713118,1
"4",0.1944011,0.7719819,1
"5",-0.1331748,-1.326337,0
"6",0.0141068,1.23294,1
"7",0.1714105,1.275128,1
"8",-1.076852,0.15126,1
"9",-1.233533,-0.7739386,0
"10",0.4741308,0.5632981,1
"11",0.3609498,0.8709752,1
"12",0.5508026,0.605025,1
"13",-0.3070282,-0.7396183,0
"14",0.0858951,1.297686,1
"15",1.043259,0.0396412,0
"16",-0.7051552,1.198779,1
"17",0.0202017,0.8800809,1
"18",-0.0093812,-0.9930413,0
"19",0.7723798,0.6198469,1
"20",1.488233,-0.406349,1
"21",-0.3042729,-1.001974,0
"22",1.481935,0.3403165,0
"23",2.548931,1.997043,0
"24",-1.50378,-0.0863437,1
"25",0.2183647,-0.8437195,0
"26",0.0020556,-0.5875164,0
"27",-0.085891,-0.7900053,0
"28",-0.5280858,-0.091595,1
"29",-0.7699468,0.880498,1
"30",1.286203,0.0217808,1
"31",-1.215355,0.2826495,0
"32",1.829068,-0.1752191,1
"33",-0.4247249,0.2624535,1
"34",1.339466,0.329703,1
"35",-0.6398915,-0.4410588,0
"36",0.4656995,-1.031712,0
"37",-0.6283604,-0.857162,0
"38",-0.9158742,0.8912637,1
"39",0.1000676,0.8466962,1
"40",-0.1562664,0.4601792,1
"41",1.596488,0.3784718,0
"42",-1.474787,-0.1827064,0
"43",-0.9488516,0.4020104,1
"44",0.5838146,-0.650202,0
"45",0.2484479,0.5608548,1
"46",-0.2646819,0.7396551,1
"47",0.0606777,0.2698832,1
"48",0.0811441,-0.6767009,0
"49",-0.260433,1.229281,1
"50",-0.8950495,-0.2462206,1
"51",1.084557,-0.2097258,1
"52",1.336556,-0.557345,1
"53",-0.347164,0.6488218,1
"54",-0.7560524,0.4645388,1
"55",-0.3234958,-1.233824,0
"56",0.5040177,-0.6975365,0
"57",-1.962305,-0.5601762,1
"58",0.3150477,0.7953841,1
"59",-0.577407,-0.2280343,0
"60",-0.793291,0.0887917,1
"61",0.1377695,-0.3365338,0
"62",1.855688,0.759831,0
"63",0.8430379,0.3618496,1
"64",0.4265334,-0.7115976,0
"65",0.7022669,-0.2294916,0
"66",2.73182,-1.564939,1
"67",2.479076,1.378848,0
"68",0.220508,0.5957823,1
"69",0.0038162,-0.4661726,0
"70",0.9121383,0.7002944,1
"71",1.400756,0.7133297,1
"72",-0.8116154,0.5175904,1
"73",-0.1722488,0.5569739,1
"74",-0.4499765,0.7711603,1
"75",2.206223,-0.6833054,1
"76",-0.8239853,-0.3053043,0
"77",2.013008,0.9260995,0
"78",0.120634,-0.8242004,0
"79",0.3911827,-0.879223,0
"80",-1.508608,0.2502685,1
"81",-0.7931053,-1.086905,0
"82",-1.748792,1.136923,0
"83",-0.6116094,-0.6164327,0
"84",0.1291771,0.4286094,1
"85",-0.0224313,0.7357361,1
"86",-0.8608181,-0.4620561,0
"87",-1.052086,-0.1714198,0
"88",-0.521802,-0.5639987,0
"89",0.1968752,-0.1643146,0
"90",0.7361826,-0.3074499,0
"91",1.126996,0.7086423,1
"92",1.510634,-0.3723935,1
"93",0.2662665,-0.9575497,0
"94",0.7277185,-0.4329597,0
"95",-0.3067769,0.9297588,1
"96",-0.2943153,0.3210296,1
"97",-3.120771,2.030072,0
"98",1.074675,-0.0956633,0
"99",-0.926927,-0.5562677,0
"100",-0.1762934,1.010514,1
"101",-0.3364644,-0.8756043,0
"102",-1.249812,0.0338929,0
"103",0.3834545,-0.6520485,0
"104",-1.268203,-0.322676,0
"105",-0.1078132,1.508116,1
"106",-1.182949,0.277812,1
"107",0.1808096,0.8408685,1
"108",1.281572,-0.0760545,0
"109",-1.223304,0.1657561,0
"110",0.5401042,0.3633538,1
"111",0.6373832,-0.0450149,0
"112",0.5241949,0.0291697,1
"113",0.326897,-0.7602731,0
"114",0.394948,0.8065278,1
"115",0.204443,-0.0385872,0
"116",-0.6001171,-0.3412682,0
