"","year","month","co2"
"1",1959,1,315.42
"2",1959,2,316.32
"3",1959,3,316.49
"4",1959,4,317.56
"5",1959,5,318.13
"6",1959,6,318
"7",1959,7,316.39
"8",1959,8,314.66
"9",1959,9,313.68
"10",1959,10,313.18
"11",1959,11,314.66
"12",1959,12,315.43
"13",1960,1,316.27
"14",1960,2,316.81
"15",1960,3,317.42
"16",1960,4,318.87
"17",1960,5,319.87
"18",1960,6,319.43
"19",1960,7,318.01
"20",1960,8,315.75
"21",1960,9,314
"22",1960,10,313.68
"23",1960,11,314.84
"24",1960,12,316.03
"25",1961,1,316.73
"26",1961,2,317.54
"27",1961,3,318.38
"28",1961,4,319.31
"29",1961,5,320.42
"30",1961,6,319.61
"31",1961,7,318.42
"32",1961,8,316.64
"33",1961,9,314.83
"34",1961,10,315.15
"35",1961,11,315.95
"36",1961,12,316.85
"37",1962,1,317.78
"38",1962,2,318.4
"39",1962,3,319.53
"40",1962,4,320.41
"41",1962,5,320.85
"42",1962,6,320.45
"43",1962,7,319.44
"44",1962,8,317.25
"45",1962,9,316.12
"46",1962,10,315.27
"47",1962,11,316.53
"48",1962,12,317.53
"49",1963,1,318.58
"50",1963,2,318.92
"51",1963,3,319.7
"52",1963,4,321.22
"53",1963,5,322.08
"54",1963,6,321.31
"55",1963,7,319.58
"56",1963,8,317.61
"57",1963,9,316.05
"58",1963,10,315.83
"59",1963,11,316.91
"60",1963,12,318.2
"61",1964,1,319.41
"62",1964,2,320.07
"63",1964,3,320.74
"64",1964,4,321.4
"65",1964,5,322.06
"66",1964,6,321.73
"67",1964,7,320.27
"68",1964,8,318.54
"69",1964,9,316.54
"70",1964,10,316.71
"71",1964,11,317.53
"72",1964,12,318.55
"73",1965,1,319.27
"74",1965,2,320.28
"75",1965,3,320.73
"76",1965,4,321.97
"77",1965,5,322
"78",1965,6,321.71
"79",1965,7,321.05
"80",1965,8,318.71
"81",1965,9,317.65
"82",1965,10,317.14
"83",1965,11,318.71
"84",1965,12,319.25
"85",1966,1,320.46
"86",1966,2,321.43
"87",1966,3,322.22
"88",1966,4,323.54
"89",1966,5,323.91
"90",1966,6,323.59
"91",1966,7,322.26
"92",1966,8,320.21
"93",1966,9,318.48
"94",1966,10,317.94
"95",1966,11,319.63
"96",1966,12,320.87
"97",1967,1,322.17
"98",1967,2,322.34
"99",1967,3,322.88
"100",1967,4,324.25
"101",1967,5,324.83
"102",1967,6,323.93
"103",1967,7,322.39
"104",1967,8,320.76
"105",1967,9,319.1
"106",1967,10,319.23
"107",1967,11,320.56
"108",1967,12,321.8
"109",1968,1,322.4
"110",1968,2,322.99
"111",1968,3,323.73
"112",1968,4,324.86
"113",1968,5,325.41
"114",1968,6,325.19
"115",1968,7,323.97
"116",1968,8,321.92
"117",1968,9,320.1
"118",1968,10,319.96
"119",1968,11,320.97
"120",1968,12,322.48
"121",1969,1,323.52
"122",1969,2,323.89
"123",1969,3,325.04
"124",1969,4,326.01
"125",1969,5,326.67
"126",1969,6,325.96
"127",1969,7,325.13
"128",1969,8,322.9
"129",1969,9,321.61
"130",1969,10,321.01
"131",1969,11,322.08
"132",1969,12,323.37
"133",1970,1,324.34
"134",1970,2,325.3
"135",1970,3,326.29
"136",1970,4,327.54
"137",1970,5,327.54
"138",1970,6,327.21
"139",1970,7,325.98
"140",1970,8,324.42
"141",1970,9,322.91
"142",1970,10,322.9
"143",1970,11,323.85
"144",1970,12,324.96
"145",1971,1,326.01
"146",1971,2,326.51
"147",1971,3,327.01
"148",1971,4,327.62
"149",1971,5,328.76
"150",1971,6,328.4
"151",1971,7,327.2
"152",1971,8,325.28
"153",1971,9,323.2
"154",1971,10,323.4
"155",1971,11,324.64
"156",1971,12,325.85
"157",1972,1,326.6
"158",1972,2,327.47
"159",1972,3,327.58
"160",1972,4,329.56
"161",1972,5,329.9
"162",1972,6,328.92
"163",1972,7,327.89
"164",1972,8,326.17
"165",1972,9,324.68
"166",1972,10,325.04
"167",1972,11,326.34
"168",1972,12,327.39
"169",1973,1,328.37
"170",1973,2,329.4
"171",1973,3,330.14
"172",1973,4,331.33
"173",1973,5,332.31
"174",1973,6,331.9
"175",1973,7,330.7
"176",1973,8,329.15
"177",1973,9,327.34
"178",1973,10,327.02
"179",1973,11,327.99
"180",1973,12,328.48
"181",1974,1,329.18
"182",1974,2,330.55
"183",1974,3,331.32
"184",1974,4,332.48
"185",1974,5,332.92
"186",1974,6,332.08
"187",1974,7,331.02
"188",1974,8,329.24
"189",1974,9,327.28
"190",1974,10,327.21
"191",1974,11,328.29
"192",1974,12,329.41
"193",1975,1,330.23
"194",1975,2,331.24
"195",1975,3,331.87
"196",1975,4,333.14
"197",1975,5,333.8
"198",1975,6,333.42
"199",1975,7,331.73
"200",1975,8,329.9
"201",1975,9,328.4
"202",1975,10,328.17
"203",1975,11,329.32
"204",1975,12,330.59
"205",1976,1,331.58
"206",1976,2,332.39
"207",1976,3,333.33
"208",1976,4,334.41
"209",1976,5,334.71
"210",1976,6,334.17
"211",1976,7,332.88
"212",1976,8,330.77
"213",1976,9,329.14
"214",1976,10,328.77
"215",1976,11,330.14
"216",1976,12,331.52
"217",1977,1,332.75
"218",1977,2,333.25
"219",1977,3,334.53
"220",1977,4,335.9
"221",1977,5,336.57
"222",1977,6,336.1
"223",1977,7,334.76
"224",1977,8,332.59
"225",1977,9,331.41
"226",1977,10,330.98
"227",1977,11,332.24
"228",1977,12,333.68
"229",1978,1,334.8
"230",1978,2,335.22
"231",1978,3,336.47
"232",1978,4,337.59
"233",1978,5,337.84
"234",1978,6,337.72
"235",1978,7,336.37
"236",1978,8,334.51
"237",1978,9,332.6
"238",1978,10,332.37
"239",1978,11,333.75
"240",1978,12,334.79
"241",1979,1,336.05
"242",1979,2,336.59
"243",1979,3,337.79
"244",1979,4,338.71
"245",1979,5,339.3
"246",1979,6,339.12
"247",1979,7,337.56
"248",1979,8,335.92
"249",1979,9,333.74
"250",1979,10,333.7
"251",1979,11,335.13
"252",1979,12,336.56
"253",1980,1,337.84
"254",1980,2,338.19
"255",1980,3,339.9
"256",1980,4,340.6
"257",1980,5,341.29
"258",1980,6,341
"259",1980,7,339.39
"260",1980,8,337.43
"261",1980,9,335.72
"262",1980,10,335.84
"263",1980,11,336.93
"264",1980,12,338.04
"265",1981,1,339.06
"266",1981,2,340.3
"267",1981,3,341.21
"268",1981,4,342.33
"269",1981,5,342.74
"270",1981,6,342.07
"271",1981,7,340.32
"272",1981,8,338.27
"273",1981,9,336.52
"274",1981,10,336.68
"275",1981,11,338.19
"276",1981,12,339.44
"277",1982,1,340.57
"278",1982,2,341.44
"279",1982,3,342.53
"280",1982,4,343.39
"281",1982,5,343.96
"282",1982,6,343.18
"283",1982,7,341.88
"284",1982,8,339.65
"285",1982,9,337.8
"286",1982,10,337.69
"287",1982,11,339.09
"288",1982,12,340.32
"289",1983,1,341.2
"290",1983,2,342.35
"291",1983,3,342.93
"292",1983,4,344.77
"293",1983,5,345.58
"294",1983,6,345.14
"295",1983,7,343.81
"296",1983,8,342.22
"297",1983,9,339.69
"298",1983,10,339.82
"299",1983,11,340.98
"300",1983,12,342.82
"301",1984,1,343.52
"302",1984,2,344.33
"303",1984,3,345.11
"304",1984,4,346.88
"305",1984,5,347.25
"306",1984,6,346.61
"307",1984,7,345.22
"308",1984,8,343.11
"309",1984,9,340.9
"310",1984,10,341.17
"311",1984,11,342.8
"312",1984,12,344.04
"313",1985,1,344.79
"314",1985,2,345.82
"315",1985,3,347.25
"316",1985,4,348.17
"317",1985,5,348.75
"318",1985,6,348.07
"319",1985,7,346.38
"320",1985,8,344.52
"321",1985,9,342.92
"322",1985,10,342.63
"323",1985,11,344.06
"324",1985,12,345.38
"325",1986,1,346.12
"326",1986,2,346.79
"327",1986,3,347.69
"328",1986,4,349.38
"329",1986,5,350.04
"330",1986,6,349.38
"331",1986,7,347.78
"332",1986,8,345.75
"333",1986,9,344.7
"334",1986,10,344.01
"335",1986,11,345.5
"336",1986,12,346.75
"337",1987,1,347.86
"338",1987,2,348.32
"339",1987,3,349.26
"340",1987,4,350.84
"341",1987,5,351.7
"342",1987,6,351.11
"343",1987,7,349.37
"344",1987,8,347.97
"345",1987,9,346.31
"346",1987,10,346.22
"347",1987,11,347.68
"348",1987,12,348.82
"349",1988,1,350.29
"350",1988,2,351.58
"351",1988,3,352.08
"352",1988,4,353.45
"353",1988,5,354.08
"354",1988,6,353.66
"355",1988,7,352.25
"356",1988,8,350.3
"357",1988,9,348.58
"358",1988,10,348.74
"359",1988,11,349.93
"360",1988,12,351.21
"361",1989,1,352.62
"362",1989,2,352.93
"363",1989,3,353.54
"364",1989,4,355.27
"365",1989,5,355.52
"366",1989,6,354.97
"367",1989,7,353.74
"368",1989,8,351.51
"369",1989,9,349.63
"370",1989,10,349.82
"371",1989,11,351.12
"372",1989,12,352.35
"373",1990,1,353.47
"374",1990,2,354.51
"375",1990,3,355.18
"376",1990,4,355.98
"377",1990,5,356.94
"378",1990,6,355.99
"379",1990,7,354.58
"380",1990,8,352.68
"381",1990,9,350.72
"382",1990,10,350.92
"383",1990,11,352.55
"384",1990,12,353.91
