"","species","sepal.len","sepal.wid","petal.len","petal.wid"
"1","versicolor",7,3.2,4.7,1.4
"2","versicolor",6.4,3.2,4.5,1.5
"3","versicolor",6.9,3.1,4.9,1.5
"4","versicolor",5.5,2.3,4,1.3
"5","versicolor",6.5,2.8,4.6,1.5
"6","versicolor",5.7,2.8,4.5,1.3
"7","versicolor",6.3,3.3,4.7,1.6
"8","versicolor",4.9,2.4,3.3,1
"9","versicolor",6.6,2.9,4.6,1.3
"10","versicolor",5.2,2.7,3.9,1.4
"11","versicolor",5,2,3.5,1
"12","versicolor",5.9,3,4.2,1.5
"13","versicolor",6,2.2,4,1
"14","versicolor",6.1,2.9,4.7,1.4
"15","versicolor",5.6,2.9,3.6,1.3
"16","versicolor",6.7,3.1,4.4,1.4
"17","versicolor",5.6,3,4.5,1.5
"18","versicolor",5.8,2.7,4.1,1
"19","versicolor",6.2,2.2,4.5,1.5
"20","versicolor",5.6,2.5,3.9,1.1
"21","versicolor",5.9,3.2,4.8,1.8
"22","versicolor",6.1,2.8,4,1.3
"23","versicolor",6.3,2.5,4.9,1.5
"24","versicolor",6.1,2.8,4.7,1.2
"25","versicolor",6.4,2.9,4.3,1.3
"26","versicolor",6.6,3,4.4,1.4
"27","versicolor",6.8,2.8,4.8,1.4
"28","versicolor",6.7,3,5,1.7
"29","versicolor",6,2.9,4.5,1.5
"30","versicolor",5.7,2.6,3.5,1
"31","versicolor",5.5,2.4,3.8,1.1
"32","versicolor",5.5,2.4,3.7,1
"33","versicolor",5.8,2.7,3.9,1.2
"34","versicolor",6,2.7,5.1,1.6
"35","versicolor",5.4,3,4.5,1.5
"36","versicolor",6,3.4,4.5,1.6
"37","versicolor",6.7,3.1,4.7,1.5
"38","versicolor",6.3,2.3,4.4,1.3
"39","versicolor",5.6,3,4.1,1.3
"40","versicolor",5.5,2.5,4,1.3
"41","versicolor",5.5,2.6,4.4,1.2
"42","versicolor",6.1,3,4.6,1.4
"43","versicolor",5.8,2.6,4,1.2
"44","versicolor",5,2.3,3.3,1
"45","versicolor",5.6,2.7,4.2,1.3
"46","versicolor",5.7,3,4.2,1.2
"47","versicolor",5.7,2.9,4.2,1.3
"48","versicolor",6.2,2.9,4.3,1.3
"49","versicolor",5.1,2.5,3,1.1
"50","versicolor",5.7,2.8,4.1,1.3
"51","virginica",6.3,3.3,6,2.5
"52","virginica",5.8,2.7,5.1,1.9
"53","virginica",7.1,3,5.9,2.1
"54","virginica",6.3,2.9,5.6,1.8
"55","virginica",6.5,3,5.8,2.2
"56","virginica",7.6,3,6.6,2.1
"57","virginica",4.9,2.5,4.5,1.7
"58","virginica",7.3,2.9,6.3,1.8
"59","virginica",6.7,2.5,5.8,1.8
"60","virginica",7.2,3.6,6.1,2.5
"61","virginica",6.5,3.2,5.1,2
"62","virginica",6.4,2.7,5.3,1.9
"63","virginica",6.8,3,5.5,2.1
"64","virginica",5.7,2.5,5,2
"65","virginica",5.8,2.8,5.1,2.4
"66","virginica",6.4,3.2,5.3,2.3
"67","virginica",6.5,3,5.5,1.8
"68","virginica",7.7,3.8,6.7,2.2
"69","virginica",7.7,2.6,6.9,2.3
"70","virginica",6,2.2,5,1.5
"71","virginica",6.9,3.2,5.7,2.3
"72","virginica",5.6,2.8,4.9,2
"73","virginica",7.7,2.8,6.7,2
"74","virginica",6.3,2.7,4.9,1.8
"75","virginica",6.7,3.3,5.7,2.1
"76","virginica",7.2,3.2,6,1.8
"77","virginica",6.2,2.8,4.8,1.8
"78","virginica",6.1,3,4.9,1.8
"79","virginica",6.4,2.8,5.6,2.1
"80","virginica",7.2,3,5.8,1.6
"81","virginica",7.4,2.8,6.1,1.9
"82","virginica",7.9,3.8,6.4,2
"83","virginica",6.4,2.8,5.6,2.2
"84","virginica",6.3,2.8,5.1,1.5
"85","virginica",6.1,2.6,5.6,1.4
"86","virginica",7.7,3,6.1,2.3
"87","virginica",6.3,3.4,5.6,2.4
"88","virginica",6.4,3.1,5.5,1.8
"89","virginica",6,3,4.8,1.8
"90","virginica",6.9,3.1,5.4,2.1
"91","virginica",6.7,3.1,5.6,2.4
"92","virginica",6.9,3.1,5.1,2.3
"93","virginica",5.8,2.7,5.1,1.9
"94","virginica",6.8,3.2,5.9,2.3
"95","virginica",6.7,3.3,5.7,2.5
"96","virginica",6.7,3,5.2,2.3
"97","virginica",6.3,2.5,5,1.9
"98","virginica",6.5,3,5.2,2
"99","virginica",6.2,3.4,5.4,2.3
"100","virginica",5.9,3,5.1,1.8
