"","frac","inb","extrp","seamh","time"
"1",2,50,70,52,1
"2",1,230,65,42,6
"3",0,125,70,45,1
"4",4,75,65,68,0.5
"5",1,70,65,53,0.5
"6",2,65,70,46,3
"7",0,65,60,62,1
"8",0,350,60,54,0.5
"9",4,350,90,54,0.5
"10",4,160,80,38,0
"11",1,145,65,38,10
"12",4,145,85,38,0
"13",1,180,70,42,2
"14",5,43,80,40,0
"15",2,42,85,51,12
"16",5,42,85,51,0
"17",5,45,85,42,0
"18",5,83,85,48,10
"19",0,300,65,68,10
"20",5,190,90,84,6
"21",1,145,90,54,12
"22",1,510,80,57,10
"23",3,65,75,68,5
"24",3,470,90,90,9
"25",2,300,80,165,9
"26",2,275,90,40,4
"27",0,420,50,44,17
"28",1,65,80,48,15
"29",5,40,75,51,15
"30",2,900,90,48,35
"31",3,95,88,36,20
"32",3,40,85,57,10
"33",3,140,90,38,7
"34",0,150,50,44,5
"35",0,80,60,96,5
"36",2,80,85,96,5
"37",0,145,65,72,9
"38",0,100,65,72,9
"39",3,150,80,48,3
"40",2,150,80,48,0
"41",3,210,75,42,2
"42",5,11,75,42,0
"43",0,100,65,60,25
"44",3,50,88,60,20
