"","x"
"1",4.37
"2",3.87
"3",4
"4",4.03
"5",3.5
"6",4.08
"7",2.25
"8",4.7
"9",1.73
"10",4.93
"11",1.73
"12",4.62
"13",3.43
"14",4.25
"15",1.68
"16",3.92
"17",3.68
"18",3.1
"19",4.03
"20",1.77
"21",4.08
"22",1.75
"23",3.2
"24",1.85
"25",4.62
"26",1.97
"27",4.5
"28",3.92
"29",4.35
"30",2.33
"31",3.83
"32",1.88
"33",4.6
"34",1.8
"35",4.73
"36",1.77
"37",4.57
"38",1.85
"39",3.52
"40",4
"41",3.7
"42",3.72
"43",4.25
"44",3.58
"45",3.8
"46",3.77
"47",3.75
"48",2.5
"49",4.5
"50",4.1
"51",3.7
"52",3.8
"53",3.43
"54",4
"55",2.27
"56",4.4
"57",4.05
"58",4.25
"59",3.33
"60",2
"61",4.33
"62",2.93
"63",4.58
"64",1.9
"65",3.58
"66",3.73
"67",3.73
"68",1.82
"69",4.63
"70",3.5
"71",4
"72",3.67
"73",1.67
"74",4.6
"75",1.67
"76",4
"77",1.8
"78",4.42
"79",1.9
"80",4.63
"81",2.93
"82",3.5
"83",1.97
"84",4.28
"85",1.83
"86",4.13
"87",1.83
"88",4.65
"89",4.2
"90",3.93
"91",4.33
"92",1.83
"93",4.53
"94",2.03
"95",4.18
"96",4.43
"97",4.07
"98",4.13
"99",3.95
"100",4.1
"101",2.72
"102",4.58
"103",1.9
"104",4.5
"105",1.95
"106",4.83
"107",4.12
