"","id","nhood","hour","month","reason","resident","age","male","race","citation"
"1",1,"6",13,"Feb","mech/reg",1,"18-29",1,"B",0
"2",2,"5",1,"Feb","MV danger",1,"30-39",1,"B",1
"3",3,"5",16,"Feb","MV danger",0,"30-39",1,"A",1
"4",4,"2",2,"Feb","MV nodanger",0,"18-29",1,"B",0
"5",5,"1",19,"Feb","MV nodanger",1,"18-29",1,"B",0
"6",6,"6",20,"Feb","MV nodanger",1,"30-39",0,"B",0
"7",7,"7",4,"Jan","mech/reg",0,"under 18",1,"B",1
"8",8,"4",10,"Jan","MV nodanger",0,"30-39",1,"A",1
"9",9,"3",0,"Jan","MV nodanger",0,"18-29",1,"B",0
"10",10,"2",4,"Feb","MV danger",0,"40+",0,"B",0
"11",11,"2",5,"Jan","MV danger",0,"40+",0,"B",0
"12",12,"1",11,"Jan","mech/reg",1,"40+",1,"B",1
"13",13,"6",15,"Jan","MV danger",1,"30-39",1,"H",1
"14",14,"4",21,"Jan","MV nodanger",1,"under 18",1,"B",1
"15",15,"7",17,"Feb","MV danger",0,"18-29",1,"A",1
"16",16,"2",6,"Feb","MV danger",0,"30-39",1,"B",1
"17",17,"1",9,"Feb","MV danger",1,"18-29",1,"B",1
"18",18,"4",19,"Jan","mech/reg",0,"18-29",1,"W",1
"19",19,"1",20,"Jan","MV nodanger",1,"18-29",1,"B",0
"20",20,"6",10,"Jan","MV danger",1,"18-29",1,"H",1
"21",21,"3",20,"Feb","mech/reg",1,"40+",1,"H",1
"22",22,"6",17,"Feb","MV danger",1,"18-29",0,"B",0
"23",23,"1",22,"Jan","MV nodanger",0,"40+",0,"B",0
"24",24,"3",15,"Feb","MV nodanger",0,"40+",1,"B",0
"25",25,"3",7,"Jan","mech/reg",1,"18-29",1,"W",0
"26",26,"3",1,"Jan","MV nodanger",0,"18-29",1,"W",0
"27",27,"5",4,"Feb","MV nodanger",1,"under 18",1,"B",1
"28",28,"1",9,"Feb","MV nodanger",1,"18-29",1,"A",1
"29",29,"4",18,"Feb","MV danger",0,"30-39",1,"A",1
"30",30,"6",3,"Jan","MV danger",1,"40+",0,"W",1
"31",31,"3",18,"Jan","MV danger",1,"40+",1,"W",0
"32",32,"2",1,"Jan","MV danger",1,"30-39",1,"H",1
"33",33,"7",10,"Jan","MV danger",0,"40+",1,"W",1
"34",34,"2",9,"Feb","mech/reg",1,"30-39",0,"B",1
"35",35,"3",0,"Jan","mech/reg",0,"30-39",0,"B",0
"36",36,"5",0,"Jan","mech/reg",1,"18-29",1,"B",1
"37",37,"1",8,"Feb","MV danger",1,"18-29",1,"B",1
"38",38,"5",17,"Feb","MV danger",0,"30-39",1,"W",1
"39",39,"4",16,"Feb","MV danger",0,"40+",0,"H",1
"40",40,"3",18,"Feb","MV nodanger",1,"40+",1,"W",0
"41",41,"1",10,"Feb","MV danger",1,"40+",1,"A",1
"42",42,"4",11,"Jan","MV nodanger",1,"18-29",1,"B",1
"43",43,"6",17,"Feb","MV danger",0,"18-29",1,"A",1
"44",44,"5",22,"Feb","mech/reg",1,"30-39",1,"B",0
"45",45,"4",18,"Feb","mech/reg",1,"18-29",1,"H",1
"46",46,"2",1,"Jan","mech/reg",0,"18-29",1,"B",1
"47",47,"1",3,"Feb","MV danger",0,"18-29",0,"B",1
"48",48,"7",18,"Jan","mech/reg",1,"40+",1,"B",1
"49",49,"1",6,"Jan","MV nodanger",1,"30-39",0,"B",0
"50",50,"6",17,"Jan","mech/reg",1,"30-39",1,"H",1
"51",51,"1",22,"Jan","MV danger",1,"18-29",0,"B",1
"52",52,"3",10,"Jan","MV nodanger",1,"30-39",1,"B",0
"53",53,"3",16,"Feb","MV nodanger",1,"40+",0,"W",1
"54",54,"6",13,"Jan","MV nodanger",1,"30-39",1,"W",1
"55",55,"6",4,"Feb","mech/reg",0,"30-39",1,"B",1
"56",56,"1",6,"Feb","MV nodanger",1,"under 18",1,"W",0
"57",57,"7",9,"Feb","MV danger",0,"30-39",0,"B",1
"58",58,"3",9,"Jan","MV danger",0,"40+",1,"W",1
"59",59,"3",22,"Feb","MV danger",0,"18-29",1,"W",1
"60",60,"1",8,"Feb","MV nodanger",0,"40+",1,"H",1
"61",61,"2",16,"Jan","MV nodanger",0,"40+",1,"B",1
"62",62,"3",23,"Jan","mech/reg",0,"40+",1,"B",1
"63",63,"1",4,"Feb","MV nodanger",0,"18-29",1,"H",1
"64",64,"6",22,"Jan","MV nodanger",1,"30-39",1,"B",0
"65",65,"4",7,"Feb","MV danger",1,"40+",1,"H",1
"66",66,"6",6,"Feb","MV danger",0,"under 18",1,"A",1
"67",67,"4",2,"Jan","mech/reg",0,"30-39",1,"B",1
"68",68,"7",5,"Jan","mech/reg",1,"18-29",1,"B",1
"69",69,"3",20,"Jan","mech/reg",1,"30-39",0,"B",0
