"Package","Item","Title","csv","doc"
"datasets","AirPassengers","Monthly Airline Passenger Numbers 1949-1960",<a href="http://smasongarrison.github.io/smasongarrison.github.io/csv/datasets/AirPassengers.csv">CSV</a>,<a href="http://smasongarrison.github.io/smasongarrison.github.io/doc/datasets/AirPassengers.html">DOC</a>
"datasets","BJsales","Sales Data with Leading Indicator",<a href="http://smasongarrison.github.io/smasongarrison.github.io/csv/datasets/BJsales.csv">CSV</a>,<a href="http://smasongarrison.github.io/smasongarrison.github.io/doc/datasets/BJsales.html">DOC</a>
"datasets","BOD","Biochemical Oxygen Demand",<a href="http://smasongarrison.github.io/smasongarrison.github.io/csv/datasets/BOD.csv">CSV</a>,<a href="http://smasongarrison.github.io/smasongarrison.github.io/doc/datasets/BOD.html">DOC</a>
"datasets","Formaldehyde","Determination of Formaldehyde",<a href="http://smasongarrison.github.io/smasongarrison.github.io/csv/datasets/Formaldehyde.csv">CSV</a>,<a href="http://smasongarrison.github.io/smasongarrison.github.io/doc/datasets/Formaldehyde.html">DOC</a>
"datasets","HairEyeColor","Hair and Eye Color of Statistics Students",<a href="http://smasongarrison.github.io/smasongarrison.github.io/csv/datasets/HairEyeColor.csv">CSV</a>,<a href="http://smasongarrison.github.io/smasongarrison.github.io/doc/datasets/HairEyeColor.html">DOC</a>
"datasets","InsectSprays","Effectiveness of Insect Sprays",<a href="http://smasongarrison.github.io/smasongarrison.github.io/csv/datasets/InsectSprays.csv">CSV</a>,<a href="http://smasongarrison.github.io/smasongarrison.github.io/doc/datasets/InsectSprays.html">DOC</a>
"datasets","JohnsonJohnson","Quarterly Earnings per Johnson & Johnson Share",<a href="http://smasongarrison.github.io/smasongarrison.github.io/csv/datasets/JohnsonJohnson.csv">CSV</a>,<a href="http://smasongarrison.github.io/smasongarrison.github.io/doc/datasets/JohnsonJohnson.html">DOC</a>
"datasets","LakeHuron","Level of Lake Huron 1875-1972",<a href="http://smasongarrison.github.io/smasongarrison.github.io/csv/datasets/LakeHuron.csv">CSV</a>,<a href="http://smasongarrison.github.io/smasongarrison.github.io/doc/datasets/LakeHuron.html">DOC</a>
"datasets","LifeCycleSavings","Intercountry Life-Cycle Savings Data",<a href="http://smasongarrison.github.io/smasongarrison.github.io/csv/datasets/LifeCycleSavings.csv">CSV</a>,<a href="http://smasongarrison.github.io/smasongarrison.github.io/doc/datasets/LifeCycleSavings.html">DOC</a>
"datasets","Nile","Flow of the River Nile",<a href="http://smasongarrison.github.io/smasongarrison.github.io/csv/datasets/Nile.csv">CSV</a>,<a href="http://smasongarrison.github.io/smasongarrison.github.io/doc/datasets/Nile.html">DOC</a>
