"abd","AlgaeCO2","Carbon Dioxide and Growth Rate in Algae","<a href='https://raw.github.com/smasongarrison/smasongarrison.github.io/master/datalists/csv/abd/AlgaeCO2.csv'>csv</a>","<a href='http://smasongarrison.github.io/datalists/doc/abd/AlgaeCO2.html'>Documentation</a>"
"abd","Antilles","Antilles Bird Immigration Dates","<a href='https://raw.github.com/smasongarrison/smasongarrison.github.io/master/datalists/csv/abd/Antilles.csv'>csv</a>","<a href='http://smasongarrison.github.io/datalists/doc/abd/Antilles.html'>Documentation</a>"
"abd","Aspirin","Effects of Aspirin on Cancer Rates","<a href='https://raw.github.com/smasongarrison/smasongarrison.github.io/master/datalists/csv/abd/Aspirin.csv'>csv</a>","<a href='http://smasongarrison.github.io/datalists/doc/abd/Aspirin.html'>Documentation</a>"
"abd","BeeGenes","Foraging Gene Expression","<a href='https://raw.github.com/smasongarrison/smasongarrison.github.io/master/datalists/csv/abd/BeeGenes.csv'>csv</a>","<a href='http://smasongarrison.github.io/datalists/doc/abd/BeeGenes.html'>Documentation</a>"
"abd","BeeLifespans","Bee Lifespans","<a href='https://raw.github.com/smasongarrison/smasongarrison.github.io/master/datalists/csv/abd/BeeLifespans.csv'>csv</a>","<a href='http://smasongarrison.github.io/datalists/doc/abd/BeeLifespans.html'>Documentation</a>"
"abd","Beetles","Beetle Wings and Horns","<a href='https://raw.github.com/smasongarrison/smasongarrison.github.io/master/datalists/csv/abd/Beetles.csv'>csv</a>","<a href='http://smasongarrison.github.io/datalists/doc/abd/Beetles.html'>Documentation</a>"
"abd","BirdSexRatio","Sex Ratios in Birds","<a href='https://raw.github.com/smasongarrison/smasongarrison.github.io/master/datalists/csv/abd/BirdSexRatio.csv'>csv</a>","<a href='http://smasongarrison.github.io/datalists/doc/abd/BirdSexRatio.html'>Documentation</a>"
"abd","Blackbirds","Testosterone Levels in Blackbirds","<a href='https://raw.github.com/smasongarrison/smasongarrison.github.io/master/datalists/csv/abd/Blackbirds.csv'>csv</a>","<a href='http://smasongarrison.github.io/datalists/doc/abd/Blackbirds.html'>Documentation</a>"
"abd","BodyFatHeatLoss","Heat Loss and Body Fat","<a href='https://raw.github.com/smasongarrison/smasongarrison.github.io/master/datalists/csv/abd/BodyFatHeatLoss.csv'>csv</a>","<a href='http://smasongarrison.github.io/datalists/doc/abd/BodyFatHeatLoss.html'>Documentation</a>"
"abd","BrainExpression","Proteolipid Protein 1 Gene Expression","<a href='https://raw.github.com/smasongarrison/smasongarrison.github.io/master/datalists/csv/abd/BrainExpression.csv'>csv</a>","<a href='http://smasongarrison.github.io/datalists/doc/abd/BrainExpression.html'>Documentation</a>"
"abd","BrookTrout","Salmon Survival in the Presence of Brook Trout","<a href='https://raw.github.com/smasongarrison/smasongarrison.github.io/master/datalists/csv/abd/BrookTrout.csv'>csv</a>","<a href='http://smasongarrison.github.io/datalists/doc/abd/BrookTrout.html'>Documentation</a>"
"abd","BrookTrout2","Salmon Survival in the Presence of Brook Trout","<a href='https://raw.github.com/smasongarrison/smasongarrison.github.io/master/datalists/csv/abd/BrookTrout2.csv'>csv</a>","<a href='http://smasongarrison.github.io/datalists/doc/abd/BrookTrout2.html'>Documentation</a>"
"abd","Cavalry","Deaths from Horse Kicks","<a href='https://raw.github.com/smasongarrison/smasongarrison.github.io/master/datalists/csv/abd/Cavalry.csv'>csv</a>","<a href='http://smasongarrison.github.io/datalists/doc/abd/Cavalry.html'>Documentation</a>"
"abd","Chickadees","Alarm Calls in Chickadees","<a href='https://raw.github.com/smasongarrison/smasongarrison.github.io/master/datalists/csv/abd/Chickadees.csv'>csv</a>","<a href='http://smasongarrison.github.io/datalists/doc/abd/Chickadees.html'>Documentation</a>"
"abd","ChimpBrains","Brodmann's Area 44 in Chimps","<a href='https://raw.github.com/smasongarrison/smasongarrison.github.io/master/datalists/csv/abd/ChimpBrains.csv'>csv</a>","<a href='http://smasongarrison.github.io/datalists/doc/abd/ChimpBrains.html'>Documentation</a>"
"abd","Cichlids","Cichlid Mating Preference","<a href='https://raw.github.com/smasongarrison/smasongarrison.github.io/master/datalists/csv/abd/Cichlids.csv'>csv</a>","<a href='http://smasongarrison.github.io/datalists/doc/abd/Cichlids.html'>Documentation</a>"
"abd","CichlidsGnRH","GnRH Levels in Cichlids","<a href='https://raw.github.com/smasongarrison/smasongarrison.github.io/master/datalists/csv/abd/CichlidsGnRH.csv'>csv</a>","<a href='http://smasongarrison.github.io/datalists/doc/abd/CichlidsGnRH.html'>Documentation</a>"
"abd","Clearcuts","Biomass Change in Rainforests near Clearcuts","<a href='https://raw.github.com/smasongarrison/smasongarrison.github.io/master/datalists/csv/abd/Clearcuts.csv'>csv</a>","<a href='http://smasongarrison.github.io/datalists/doc/abd/Clearcuts.html'>Documentation</a>"
