"datasets","AirPassengers","Monthly Airline Passenger Numbers 1949-1960",<a href='https://cran.r-project.org/web/packages/datasets/datasets.pdf'>Documentation</a>
"datasets","BJsales","Sales Data with Leading Indicator",<a href='https://cran.r-project.org/web/packages/datasets/datasets.pdf'>Documentation</a>
"datasets","BOD","Biochemical Oxygen Demand",<a href='https://cran.r-project.org/web/packages/datasets/datasets.pdf'>Documentation</a>
"datasets","Formaldehyde","Determination of Formaldehyde",<a href='https://cran.r-project.org/web/packages/datasets/datasets.pdf'>Documentation</a>
"datasets","HairEyeColor","Hair and Eye Color of Statistics Students",<a href='https://cran.r-project.org/web/packages/datasets/datasets.pdf'>Documentation</a>
"datasets","InsectSprays","Effectiveness of Insect Sprays",<a href='https://cran.r-project.org/web/packages/datasets/datasets.pdf'>Documentation</a>
"datasets","JohnsonJohnson","Quarterly Earnings per Johnson & Johnson Share",<a href='https://cran.r-project.org/web/packages/datasets/datasets.pdf'>Documentation</a>
"datasets","LakeHuron","Level of Lake Huron 1875-1972",<a href='https://cran.r-project.org/web/packages/datasets/datasets.pdf'>Documentation</a>
"datasets","LifeCycleSavings","Intercountry Life-Cycle Savings Data",<a href='https://cran.r-project.org/web/packages/datasets/datasets.pdf'>Documentation</a>
"datasets","Nile","Flow of the River Nile",<a href='https://cran.r-project.org/web/packages/datasets/datasets.pdf'>Documentation</a>
"datasets","OrchardSprays","Potency of Orchard Sprays",<a href='https://cran.r-project.org/web/packages/datasets/datasets.pdf'>Documentation</a>
"datasets","PlantGrowth","Results from an Experiment on Plant Growth",<a href='https://cran.r-project.org/web/packages/datasets/datasets.pdf'>Documentation</a>
"datasets","Puromycin","Reaction Velocity of an Enzymatic Reaction",<a href='https://cran.r-project.org/web/packages/datasets/datasets.pdf'>Documentation</a>
"datasets","Titanic","Survival of passengers on the Titanic",<a href='https://cran.r-project.org/web/packages/datasets/datasets.pdf'>Documentation</a>
"datasets","ToothGrowth","The Effect of Vitamin C on Tooth Growth in Guinea Pigs",<a href='https://cran.r-project.org/web/packages/datasets/datasets.pdf'>Documentation</a>
"datasets","UCBAdmissions","Student Admissions at UC Berkeley",<a href='https://cran.r-project.org/web/packages/datasets/datasets.pdf'>Documentation</a>
"datasets","UKDriverDeaths","Road Casualties in Great Britain 1969-84",<a href='https://cran.r-project.org/web/packages/datasets/datasets.pdf'>Documentation</a>
"datasets","UKgas","UK Quarterly Gas Consumption",<a href='https://cran.r-project.org/web/packages/datasets/datasets.pdf'>Documentation</a>
