"","year","pop","rgdppc","savrat","country","com","opec","name"
"1",1960,10800,1723,19.9,1,0,0,"ALGERIA"
"2",1961,11016,1599,21.1,1,0,0,"ALGERIA"
"3",1962,11236,1275,15,1,0,0,"ALGERIA"
"4",1963,11460,1517,13.9,1,0,0,"ALGERIA"
"5",1964,11690,1589,10.6,1,0,0,"ALGERIA"
"6",1965,11923,1584,11,1,0,0,"ALGERIA"
"7",1966,12267,1548,8.3,1,0,0,"ALGERIA"
"8",1967,12622,1600,11.3,1,0,0,"ALGERIA"
"9",1968,12986,1758,15.1,1,0,0,"ALGERIA"
"10",1969,13360,1835,18.2,1,0,0,"ALGERIA"
"11",1970,13746,1826,19.8,1,0,0,"ALGERIA"
"12",1971,14169,1676,20.6,1,0,0,"ALGERIA"
"13",1972,14609,2011,19.5,1,0,0,"ALGERIA"
"14",1973,15064,2012,23.4,1,0,0,"ALGERIA"
"15",1974,15534,2256,27.9,1,0,0,"ALGERIA"
"16",1975,16018,2343,28.3,1,0,0,"ALGERIA"
"17",1976,16516,2456,27,1,0,0,"ALGERIA"
"18",1977,17030,2518,30,1,0,0,"ALGERIA"
"19",1978,17559,2591,34,1,0,0,"ALGERIA"
"20",1979,18105,2807,28.2,1,0,0,"ALGERIA"
"21",1980,18669,2758,28.5,1,0,0,"ALGERIA"
"22",1981,19254,2761,28.6,1,0,0,"ALGERIA"
"23",1982,19862,2823,27.2,1,0,0,"ALGERIA"
"24",1983,20495,2903,27.3,1,0,0,"ALGERIA"
"25",1984,21173,2962,26.4,1,0,0,"ALGERIA"
"26",1985,21848,2988,26,1,0,0,"ALGERIA"
"27",1960,4816,931,3.3,2,0,0,"ANGOLA"
"28",1961,4918,976,2.9,2,0,0,"ANGOLA"
"29",1962,5022,984,2.5,2,0,0,"ANGOLA"
"30",1963,5128,1001,2.1,2,0,0,"ANGOLA"
"31",1964,5236,1013,2.6,2,0,0,"ANGOLA"
"32",1965,5347,1062,3,2,0,0,"ANGOLA"
"33",1966,5459,1066,3.2,2,0,0,"ANGOLA"
"34",1967,5575,1081,4.7,2,0,0,"ANGOLA"
"35",1968,5693,1078,4.8,2,0,0,"ANGOLA"
"36",1969,5813,1146,4.5,2,0,0,"ANGOLA"
"37",1970,5935,1165,4.5,2,0,0,"ANGOLA"
"38",1971,6076,1149,4.8,2,0,0,"ANGOLA"
"39",1972,6223,1130,4.8,2,0,0,"ANGOLA"
"40",1973,6375,1195,4.5,2,0,0,"ANGOLA"
"41",1974,6530,1110,3.9,2,0,0,"ANGOLA"
"42",1975,6687,731,2.9,2,0,0,"ANGOLA"
"43",1976,6852,648,3.3,2,0,0,"ANGOLA"
"44",1977,7026,646,3.5,2,0,0,"ANGOLA"
"45",1978,7208,663,3.9,2,0,0,"ANGOLA"
"46",1979,7393,662,3.9,2,0,0,"ANGOLA"
"47",1980,7581,675,3.9,2,0,0,"ANGOLA"
"48",1981,7783,650,3.7,2,0,0,"ANGOLA"
"49",1982,7990,679,3.4,2,0,0,"ANGOLA"
"50",1983,8202,673,3.4,2,0,0,"ANGOLA"
"51",1984,8400,691,3.3,2,0,0,"ANGOLA"
"52",1985,8605,711,3.3,2,0,0,"ANGOLA"
"53",1960,2050,1100,4.3,3,0,0,"BENIN"
"54",1961,2100,1116,4.1,3,0,0,"BENIN"
"55",1962,2156,1079,4.1,3,0,0,"BENIN"
"56",1963,2213,1129,4.2,3,0,0,"BENIN"
"57",1964,2271,1129,3.7,3,0,0,"BENIN"
"58",1965,2332,1191,3.2,3,0,0,"BENIN"
"59",1966,2393,1179,3.2,3,0,0,"BENIN"
"60",1967,2457,1148,4.4,3,0,0,"BENIN"
"61",1968,2522,1103,5.3,3,0,0,"BENIN"
"62",1969,2589,1059,5.7,3,0,0,"BENIN"
"63",1970,2657,1118,4.1,3,0,0,"BENIN"
"64",1971,2727,1098,3.9,3,0,0,"BENIN"
"65",1972,2800,1132,5.3,3,0,0,"BENIN"
"66",1973,2875,1149,5.2,3,0,0,"BENIN"
"67",1974,2951,1110,7.6,3,0,0,"BENIN"
"68",1975,3029,1052,7.8,3,0,0,"BENIN"
"69",1976,3107,1002,8,3,0,0,"BENIN"
"70",1977,3189,1023,7,3,0,0,"BENIN"
"71",1978,3275,1017,6.5,3,0,0,"BENIN"
"72",1979,3367,1056,8.7,3,0,0,"BENIN"
"73",1980,3464,1114,10.8,3,0,0,"BENIN"
"74",1981,3568,1177,11.3,3,0,0,"BENIN"
"75",1982,3678,1018,17.5,3,0,0,"BENIN"
"76",1983,3794,1008,10.5,3,0,0,"BENIN"
"77",1984,3916,1033,7.4,3,0,0,"BENIN"
"78",1985,4043,1108,5,3,0,0,"BENIN"
"79",1960,481,535,4.9,4,0,0,"BOTSWANA"
"80",1961,494,559,6,4,0,0,"BOTSWANA"
"81",1962,507,582,7.3,4,0,0,"BOTSWANA"
"82",1963,521,592,8.1,4,0,0,"BOTSWANA"
"83",1964,535,609,10.1,4,0,0,"BOTSWANA"
"84",1965,549,574,3.4,4,0,0,"BOTSWANA"
"85",1966,563,577,13.1,4,0,0,"BOTSWANA"
"86",1967,579,688,14.5,4,0,0,"BOTSWANA"
"87",1968,594,769,19.7,4,0,0,"BOTSWANA"
"88",1969,609,804,11.1,4,0,0,"BOTSWANA"
"89",1970,624,823,27.1,4,0,0,"BOTSWANA"
"90",1971,647,875,33.8,4,0,0,"BOTSWANA"
"91",1972,673,1013,38,4,0,0,"BOTSWANA"
"92",1973,700,1197,38.6,4,0,0,"BOTSWANA"
"93",1974,727,1362,33.1,4,0,0,"BOTSWANA"
"94",1975,755,1335,28.5,4,0,0,"BOTSWANA"
"95",1976,783,1455,24.2,4,0,0,"BOTSWANA"
"96",1977,811,1412,17.8,4,0,0,"BOTSWANA"
"97",1978,840,1620,20.5,4,0,0,"BOTSWANA"
"98",1979,870,1735,22.7,4,0,0,"BOTSWANA"
"99",1980,902,1940,25.3,4,0,0,"BOTSWANA"
"100",1981,934,1973,25.2,4,0,0,"BOTSWANA"
"101",1982,967,1980,25.4,4,0,0,"BOTSWANA"
"102",1983,1002,1873,18,4,0,0,"BOTSWANA"
"103",1984,1038,1947,16.7,4,0,0,"BOTSWANA"
"104",1985,1075,2337,20.8,4,0,0,"BOTSWANA"
"105",1960,4340,456,2.4,5,0,0,"BURKINA FASO"
"106",1961,4483,413,3.2,5,0,0,"BURKINA FASO"
"107",1962,4630,428,3.4,5,0,0,"BURKINA FASO"
"108",1963,4783,403,3.3,5,0,0,"BURKINA FASO"
"109",1964,4940,405,3.3,5,0,0,"BURKINA FASO"
"110",1965,5103,373,5.1,5,0,0,"BURKINA FASO"
"111",1966,5207,367,5,5,0,0,"BURKINA FASO"
"112",1967,5313,399,4.3,5,0,0,"BURKINA FASO"
"113",1968,5419,411,4.3,5,0,0,"BURKINA FASO"
"114",1969,5526,411,5.1,5,0,0,"BURKINA FASO"
"115",1970,5633,374,5.7,5,0,0,"BURKINA FASO"
"116",1971,5741,374,7.8,5,0,0,"BURKINA FASO"
"117",1972,5848,377,9.7,5,0,0,"BURKINA FASO"
"118",1973,5959,376,11.2,5,0,0,"BURKINA FASO"
"119",1974,6076,393,11.6,5,0,0,"BURKINA FASO"
"120",1975,6202,416,10.6,5,0,0,"BURKINA FASO"
"121",1976,6341,435,10.1,5,0,0,"BURKINA FASO"
"122",1977,6487,448,8.7,5,0,0,"BURKINA FASO"
"123",1978,6639,445,8.8,5,0,0,"BURKINA FASO"
"124",1979,6798,461,6.9,5,0,0,"BURKINA FASO"
"125",1980,6962,457,7,5,0,0,"BURKINA FASO"
"126",1981,7132,466,6.7,5,0,0,"BURKINA FASO"
"127",1982,7308,512,7.8,5,0,0,"BURKINA FASO"
"128",1983,7491,502,7.1,5,0,0,"BURKINA FASO"
