"","City","Smoker","Cancer","Count"
"1","Beijing","Yes","Yes",126
"2","Beijing","Yes","No",100
"3","Beijing","No","Yes",35
"4","Beijing","No","No",61
"5","Shanghai","Yes","Yes",908
"6","Shanghai","Yes","No",688
"7","Shanghai","No","Yes",497
"8","Shanghai","No","No",807
"9","Shenyang","Yes","Yes",913
"10","Shenyang","Yes","No",747
"11","Shenyang","No","Yes",336
"12","Shenyang","No","No",598
"13","Nanjing","Yes","Yes",235
"14","Nanjing","Yes","No",172
"15","Nanjing","No","Yes",58
"16","Nanjing","No","No",121
"17","Harbin","Yes","Yes",402
"18","Harbin","Yes","No",308
"19","Harbin","No","Yes",121
"20","Harbin","No","No",215
"21","Zhengzhou","Yes","Yes",182
"22","Zhengzhou","Yes","No",156
"23","Zhengzhou","No","Yes",72
"24","Zhengzhou","No","No",98
"25","Taiyuan","Yes","Yes",60
"26","Taiyuan","Yes","No",99
"27","Taiyuan","No","Yes",11
"28","Taiyuan","No","No",43
"29","Nanchang","Yes","Yes",104
"30","Nanchang","Yes","No",89
"31","Nanchang","No","Yes",21
"32","Nanchang","No","No",36
