"","lnm1","lnp","lnnnp","cprate","year"
"1",1.718774,2.092641,0.9030195,4.38,1900
"2",1.856318,2.086574,1.013104,4.28,1901
"3",1.936512,2.120476,1.011482,4.92,1902
"4",1.98497,2.130232,1.055407,5.47,1903
"5",2.025829,2.145647,1.033153,4.2,1904
"6",2.132493,2.166461,1.1103,4.4,1905
"7",2.195428,2.186851,1.23522,5.68,1906
"8",2.228242,2.228187,1.243618,6.34,1907
"9",2.177125,2.226424,1.129233,4.37,1908
"10",2.216367,2.26109,1.257673,3.98,1909
"11",2.269883,2.286323,1.274864,5.01,1910
"12",2.308992,2.277982,1.291971,4.03,1911
"13",2.359813,2.320612,1.343539,4.74,1912
"14",2.367114,2.325415,1.389246,5.58,1913
"15",2.421697,2.33969,1.285821,4.79,1914
"16",2.564431,2.3707,1.315795,3.45,1915
"17",2.716863,2.492715,1.475857,3.42,1916
"18",2.87712,2.703896,1.449152,4.74,1917
"19",3.003487,2.843562,1.543239,5.87,1918
"20",3.12491,2.858671,1.58312,5.42,1919
"21",3.111309,2.990209,1.531891,7.37,1920
"22",2.996873,2.830152,1.488527,6.53,1921
"23",3.097826,2.779721,1.558069,4.42,1922
"24",3.102151,2.80278,1.698252,4.97,1923
"25",3.164065,2.789812,1.726303,3.9,1924
"26",3.230837,2.809694,1.749586,4,1925
"27",3.205683,2.814603,1.817924,4.23,1926
"28",3.217485,2.787802,1.827658,4.02,1927
"29",3.244127,2.79482,1.843084,4.84,1928
"30",3.244051,2.79382,1.904623,5.78,1929
"31",3.185151,2.747777,1.789384,3.55,1930
"32",3.055613,2.619467,1.698796,2.63,1931
"33",2.982039,2.496761,1.500542,2.72,1932
"34",2.953009,2.483211,1.465431,1.67,1933
"35",3.09502,2.54664,1.566799,0.88,1934
"36",3.266422,2.533753,1.72405,0.75,1935
"37",3.398602,2.57442,1.843673,0.75,1936
"38",3.33976,2.583099,1.930959,0.94,1937
"39",3.426631,2.578149,1.848603,0.86,1938
"40",3.553225,2.570677,1.926094,0.72,1939
"41",3.704948,2.581864,2.018276,0.81,1940
"42",3.843908,2.658001,2.131856,0.7,1941
"43",4.106245,2.780735,2.276417,0.69,1942
"44",4.349713,2.904467,2.350275,0.72,1943
"45",4.477431,2.976142,2.36366,0.75,1944
"46",4.598443,3.019361,2.329062,0.75,1945
"47",4.647821,3.028102,2.245169,0.81,1946
"48",4.693157,3.105707,2.277181,1.058333,1947
"49",4.697768,3.170735,2.314891,1.460833,1948
"50",4.687475,3.163363,2.310692,1.464167,1949
"51",4.71396,3.182212,2.396007,1.493333,1950
"52",4.757602,3.225852,2.49855,2.2075,1951
"53",4.806632,3.239658,2.53629,2.325,1952
"54",4.831216,3.256172,2.574684,2.499167,1953
"55",4.846168,3.273364,2.555729,1.5325,1954
"56",4.87765,3.305053,2.61263,2.3125,1955
"57",4.889297,3.336659,2.629744,3.363333,1956
"58",4.894674,3.371597,2.644316,3.803333,1957
"59",4.906306,3.392829,2.632856,2.453333,1958
"60",4.944733,3.419365,2.69238,4.099167,1959
"61",4.943902,3.437208,2.713235,3.69,1960
"62",4.963369,3.446808,2.739555,2.98,1961
"63",4.987196,3.468856,2.794971,3.2675,1962
"64",5.017225,3.485079,2.83479,3.61,1963
"65",5.055078,3.501796,2.888234,3.9875,1964
"66",5.096762,3.527096,2.946409,4.43,1965
"67",5.141761,3.561046,3.004008,5.6225,1966
"68",5.180378,3.588368,3.030337,5.1,1967
"69",5.247945,3.636928,3.070851,5.974167,1968
"70",5.305624,3.690753,3.092006,8.013333,1969
"71",5.343211,3.747148,3.084428,7.406667,1970
"72",5.408217,3.801091,3.111801,5.023334,1971
"73",5.476847,3.848018,3.159402,4.866667,1972
"74",5.546674,3.912523,3.211331,8.390833,1973
"75",5.595733,3.997283,3.199666,9.7225,1974
"76",5.640044,4.088075,3.181977,6.148334,1975
"77",5.694602,4.149858,3.230117,5.300833,1976
"78",5.768529,4.212498,3.276914,5.7825,1977
"79",5.847594,4.28117,3.329559,8.288333,1978
"80",5.921176,4.365007,3.350306,11.1075,1979
"81",5.981288,4.451727,3.343137,12.49417,1980
"82",6.052344,4.542763,3.360011,14.61,1981
"83",6.11626,4.60517,3.326052,11.4525,1982
"84",6.221269,4.647032,3.362373,8.98,1983
"85",6.289113,4.686289,3.432439,10.07083,1984
"86",6.375295,4.718945,3.463516,7.961667,1985
"87",6.502528,4.746236,3.489006,6.239167,1986
"88",6.612534,4.778703,3.524696,6.9375,1987
"89",6.654282,4.813809,3.568034,7.854167,1988
"90",6.664058,4.858067,3.593344,8.7075,1989
