"","Hamilton","HamiltonRank","Madison","MadisonRank","Jay","JayRank","Ulysses","UlyssesRank"
"1",91.27,1,93.65,1,67.48,1,57.12,1
"2",64.65,2,57.8,2,43.87,3,29.9,2
"3",40.71,3,35.25,3,35.69,4,18.84,5
"4",24.5,4,27.55,4,45.36,2,27.53,3
"5",24.37,5,23.05,5,20.82,5,18.75,6
"6",22.85,6,20.22,6,13.57,10,24.59,4
"7",20.06,7,16.45,7,19.15,7,3.33,26
"8",14.98,8,14.37,8,20.45,6,11.83,8
"9",13.82,9,13.34,9,16.54,8,9.02,11
"10",11.7,10,12.76,10,7.44,18,5.51,16
"11",10.53,11,10.1,13,6.69,21.5,2,43
"12",8.63,12,3.56,30,2.6,43.5,1.48,55
"13",8.46,13,10.61,12,14.69,9,4.52,20
"14",7.8,14,6,18,5.76,23.5,1.69,49.5
"15",7.34,15,11.44,11,10.6,12,4.84,19
"16",6.96,16,6.26,17,10.41,13,3.8,23
"17",6.73,17,5.46,21,7.99,16.5,2.64,34
"18",6.4,18,5.73,19,7.06,20,7.57,14
"19",6.39,19,7.95,14,7.99,16.5,3.42,25
"20",6.21,20,7.24,16,6.69,21.5,9.62,10
"21",6.16,21,4.23,25,9.48,15,1.34,56
"22",5.96,22,4.57,24,1.86,51,2.47,35
"23",5.49,23,5.65,20,5.76,23.5,4.15,21
"24",5.27,24,5.21,22,9.85,14,2.73,31
"25",4.94,25,5.02,23,7.25,19,1.98,44
"26",4.64,26,3.6,29,10.97,11,3.88,22
"27",4.14,27,4.16,26,2.6,43.5,0.79,73
"28",3.9,28,3.49,31.5,1.12,71,1.73,48
"29",3.81,29,3.86,27,4.09,30.5,0.36,97
"30",3.68,30,3.39,33,2.79,40.5,5.04,17
"31",3.62,31,3.32,35,2.97,38.5,4.92,18
"32",3.59,32,2.72,40,3.35,37,2.08,40
"33",3.48,33,3.49,31.5,5.02,27,2.75,30
"34",3.35,34.5,3.36,34,2.97,38.5,1.11,62
"35",3.35,34.5,0.14,131.5,0.18,114.5,0.5,87
"36",3.28,36.5,7.83,15,5.2,26,8.04,13
"37",3.28,36.5,1.29,61,1.49,59,2.7,33
"38",3.03,38,1.19,63.5,1.86,51,1.61,53
"39",2.9,39.5,2.6,41,2.79,40.5,0.63,82
"40",2.9,39.5,2.38,44,4.28,28,1.19,60
"41",2.86,41,2.39,43,2.6,43.5,0.74,75.5
"42",2.71,42,3.23,36,4.09,30.5,1.2,59
"43",2.55,43,1.65,57,2.04,47,0.78,74
"44",2.45,44.5,2.83,39,4.09,30.5,2.71,32
"45",2.45,44.5,1.7,55,5.39,25,1.86,45
"46",2.33,46,2.93,37,0.56,87,12.77,7
"47",2.29,47,2.04,48,1.86,51,0.84,68.5
"48",2.27,48,1.11,66,2.42,46,1.1,63
"49",2.17,49,2.91,38,1.3,65.5,2.46,36
"50",2.14,50,2.16,46,3.9,33,2.38,37
"51",2.08,51,1.35,60,4.09,30.5,0.31,100.5
"52",1.98,52,1.73,54,3.72,34.5,0.58,83
"53",1.88,53,2.3,45,3.72,34.5,0.49,88
"54",1.64,54,0.77,76,1.3,65.5,10.2,9
"55",1.63,55,3.79,28,1.86,51,8.16,12
"56",1.52,56,1.98,50,1.3,65.5,1.29,57
"57",1.48,57,1.86,52.5,0.93,73.5,0.54,84
"58",1.45,58,2.07,47,1.67,55.5,0.64,81
"59",1.44,59.5,2.02,49,1.3,65.5,3.12,28
"60",1.44,59.5,1.93,51,1.49,59,2.02,42
"61",1.43,61,1.86,52.5,NA,129,0.51,85.5
"62",1.42,62,0.49,92.5,1.86,51,0.97,64.5
"63",1.38,63,1.15,65,0.37,99.5,3.44,24
"64",1.36,64,1.69,56,3.53,36,0.97,64.5
"65",1.29,65,0.74,78,1.86,51,2.13,39
"66",1.27,66,1.49,59,2.6,43.5,0.86,67
"67",1.19,67,1.21,62,1.86,51,1.22,58
"68",1.15,68,0.88,72,1.49,59,0.14,114
"69",1.02,69.5,0.84,74,0.37,99.5,0.48,89.5
"70",1.02,69.5,0.84,74,0.74,78,0.05,123
"71",0.98,71,0.71,79,0.56,87,0.26,104.5
"72",0.94,72,0.49,92.5,0.18,114.5,0.65,80
"73",0.93,73,0.53,88,0.37,99.5,0.03,131.5
"74",0.79,74.5,0.38,101,0.18,114.5,0.1,117.5
"75",0.79,74.5,0.1,141,0.56,87,0.4,95.5
"76",0.78,76,0.4,100,NA,162,NA,165
"77",0.73,77,0.52,89.5,1.12,71,0.07,119
"78",0.72,78,1.19,63.5,0.37,99.5,1.17,61
"79",0.7,79,1.04,69,0.18,114.5,0.46,91
"80",0.69,80.5,1.07,68,0.93,73.5,0.66,78.5
"81",0.69,80.5,0.43,98,0.56,87,0.03,131.5
"82",0.68,82,0.2,119,1.49,59,0.21,109.5
"83",0.65,83,2.49,42,NA,125,6.82,15
"84",0.63,84.5,0.16,126.5,1.3,65.5,0.66,78.5
"85",0.63,84.5,1.5,58,0.18,114.5,0.02,139.5
"86",0.62,86,0.68,81,0.56,87,0.23,106
"87",0.55,87,0.18,121,0.37,99.5,0.04,127.5
"88",0.54,88.5,0.54,87,0.74,78,0.74,75.5
"89",0.54,88.5,0.31,108.5,0.37,99.5,0.04,127.5
"90",0.53,90,0.58,84,1.3,65.5,0.83,70.5
"91",0.51,91,0.37,102.5,NA,156,0.02,139.5
"92",0.49,92,0.97,70,1.67,55.5,0.14,114
"93",0.48,93,0.46,96,0.56,87,1.67,51
"94",0.47,94,1.08,67,1.49,59,0.4,95.5
"95",0.46,95,0.21,117,0.56,87,0.21,109.5
"96",0.45,96,0.31,108.5,0.56,87,0.1,117.5
"97",0.43,97,0.13,133,0.56,87,0,154
"98",0.42,98,0.04,151.5,0.18,114.5,0.28,102
"99",0.4,100,0.14,131.5,0.78,75,0.03,131.5
"100",0.4,100,0.35,104,NA,141,0.31,100.5
"101",0.4,100,0.52,89.5,1.3,65.5,0.27,103
"102",0.39,102,0.84,74,0.56,87,0.22,107.5
"103",0.37,103,0.63,82,0.74,78,1.69,49.5
"104",0.36,104,0.12,134.5,0.18,114.5,0.05,123
"105",0.35,105,0.51,91,NA,138,0.84,68.5
"106",0.34,106.5,0.03,156.5,NA,135,0.26,104.5
"107",0.34,106.5,0.17,124,0.18,114.5,0.51,85.5
"108",0.33,108,0.93,71,0.37,99.5,2.18,38
"109",0.32,110,0.04,151.5,NA,150,0,154
"110",0.32,110,0.04,151.5,NA,161,0.02,139.5
"111",0.32,110,0.11,138,0.37,99.5,0,154
"112",0.31,112,0.23,115,0.18,114.5,0.41,94
"113",0.3,113,0.55,85.5,NA,152,0.83,70.5
"114",0.29,115,0.17,124,NA,126,3.01,29
"115",0.29,115,0.55,85.5,0.56,87,0.02,139.5
"116",0.29,115,0.06,145.5,NA,155,0.02,139.5
"117",0.28,118,0.7,80,1.3,65.5,0.33,98
"118",0.28,118,0.02,159.5,0.37,99.5,0.48,89.5
"119",0.28,118,0.04,151.5,NA,157,0.12,116
"120",0.23,120,0.75,77,0.37,99.5,0.44,92
"121",0.22,122,0.01,162.5,0.18,114.5,0,154
"122",0.22,122,0.04,151.5,NA,132,NA,159
"123",0.22,122,0.03,156.5,0.18,114.5,0.04,127.5
"124",0.21,125.5,0.06,145.5,0.18,114.5,3.21,27
"125",0.21,125.5,0.05,147.5,NA,143,0.03,131.5
"126",0.21,125.5,0.33,105.5,0.18,114.5,1.63,52
"127",0.21,125.5,0.05,147.5,0.18,114.5,0.17,111
"128",0.18,130,0.15,129,1.12,71,0.02,139.5
"129",0.18,130,0.01,162.5,NA,140,0,154
"130",0.18,130,0.24,113,0.74,78,0.81,72
"131",0.18,130,0.37,102.5,0.37,99.5,0.43,93
"132",0.18,130,0.11,138,NA,146,2.04,41
"133",0.17,133.5,0.04,151.5,NA,149,0.05,123
"134",0.17,133.5,0.03,156.5,NA,158,NA,164
"135",0.16,135,0.09,142,NA,148,NA,162
"136",0.15,136,0.02,159.5,NA,130,0.22,107.5
"137",0.13,138,0.24,113,NA,124,1.74,47
"138",0.13,138,0.15,129,NA,127,1.84,46
"139",0.13,138,0.01,162.5,NA,133,0.02,139.5
"140",0.11,140,0.27,110.5,0.37,99.5,1.54,54
"141",0.1,141.5,0.62,83,NA,147,0.06,120
"142",0.1,141.5,0.07,143.5,NA,163,0.02,139.5
"143",0.09,143.5,0.27,110.5,NA,144,0.02,139.5
"144",0.09,143.5,0.42,99,NA,160,0.05,123
"145",0.07,145.5,0.01,162.5,NA,131,NA,158
"146",0.07,145.5,0.32,107,NA,165,0.32,99
"147",0.06,147,0.18,121,NA,137,0.02,139.5
"148",0.05,149,0.33,105.5,NA,128,0.92,66
"149",0.05,149,0.03,156.5,NA,142,0.02,139.5
"150",0.05,149,0.11,138,0.56,87,0.02,139.5
"151",0.04,153,0.11,138,NA,136,0.04,127.5
"152",0.04,153,0.21,117,0.18,114.5,0.16,112
"153",0.04,153,0.17,124,0.18,114.5,0.01,148
"154",0.04,153,0.24,113,NA,151,0,154
"155",0.04,153,0.44,97,NA,153,0.14,114
"156",0.03,156.5,0.48,94.5,0.74,78,0,154
"157",0.03,156.5,0.16,126.5,0.18,114.5,0.67,77
"158",0.02,158,0.12,134.5,NA,164,0.01,148
"159",0.01,160.5,0.21,117,0.56,87,0.01,148
"160",0.01,160.5,NA,165,NA,134,NA,160
"161",0.01,160.5,0.18,121,NA,139,NA,161
"162",0.01,160.5,0.07,143.5,0.18,114.5,0.05,123
"163",NA,163,0.48,94.5,NA,145,0.01,148
"164",NA,164,0.15,129,NA,154,NA,163
"165",NA,165,0.11,138,NA,159,0.01,148
