"","totcost","output","plabor","pfuel","pkap"
"1",0.082,2,2.09,17.9,183
"2",0.661,3,2.05,35.1,174
"3",0.99,4,2.05,35.1,171
"4",0.315,4,1.83,32.2,166
"5",0.197,5,2.12,28.6,233
"6",0.098,9,2.12,28.6,195
"7",0.949,11,1.98,35.5,206
"8",0.675,13,2.05,35.1,150
"9",0.525,13,2.19,29.1,155
"10",0.501,22,1.72,15,188
"11",1.194,25,2.09,17.9,170
"12",0.67,25,1.68,39.7,167
"13",0.349,35,1.81,22.6,213
"14",0.423,39,2.3,23.6,164
"15",0.501,43,1.75,42.8,170
"16",0.55,63,1.76,10.3,161
"17",0.795,68,1.98,35.5,210
"18",0.664,81,2.29,28.5,158
"19",0.705,84,2.19,29.1,156
"20",0.903,73,1.75,42.8,176
"21",1.504,99,2.2,36.2,170
"22",1.615,101,1.66,33.4,192
"23",1.127,119,1.92,22.5,164
"24",0.718,120,1.77,21.3,175
"25",2.414,122,2.09,17.9,180
"26",1.13,130,1.82,38.9,176
"27",0.992,138,1.8,20.2,202
"28",1.554,149,1.92,22.5,227
"29",1.225,196,1.92,29.1,186
"30",1.565,197,2.19,29.1,183
"31",1.936,209,1.92,22.5,169
"32",3.154,214,1.52,27.5,168
"33",2.599,220,1.92,22.5,164
"34",3.298,234,2.2,36.2,164
"35",2.441,235,2.11,24.4,170
"36",2.031,253,1.92,22.5,158
"37",4.666,279,2.05,35.1,177
"38",1.834,290,1.66,33.4,195
"39",2.072,290,1.8,20.2,176
"40",2.039,295,1.77,21.3,188
"41",3.398,299,1.7,26.9,187
"42",3.083,324,2.05,35.1,152
"43",2.344,333,2.19,29.1,157
"44",2.382,338,1.85,24.6,163
"45",2.657,353,2.19,29.1,143
"46",1.705,353,2.13,10.7,167
"47",3.23,416,1.54,26.2,217
"48",5.049,420,1.52,27.5,144
"49",3.814,456,2.09,30,178
"50",4.58,484,1.75,42.8,176
"51",4.358,516,2.3,23.6,167
"52",4.714,550,2.05,35.1,158
"53",4.357,563,2.32,31.9,162
"54",3.919,566,2.31,33.5,198
"55",3.442,592,1.92,22.5,164
"56",4.898,671,2.05,35.1,164
"57",3.584,696,1.76,10.3,161
"58",5.535,719,1.7,26.9,174
"59",4.406,742,2.04,20.7,157
"60",4.289,795,2.24,26.5,185
"61",6.731,800,1.7,26.9,157
"62",6.895,808,1.68,39.7,203
"63",5.112,811,2.29,28.5,178
"64",5.141,855,2,34.3,183
"65",5.72,860,2.31,33.5,168
"66",4.691,909,1.45,17.6,196
"67",6.832,913,1.7,26.9,166
"68",4.813,924,1.76,10.3,172
"69",6.754,984,1.7,26.9,158
"70",5.127,991,2.09,30,174
"71",6.388,1000,1.55,28.2,225
"72",4.509,1098,2.11,24.4,168
"73",7.185,1109,2.05,35.1,177
"74",6.8,1118,2.3,23.6,161
"75",7.743,1122,2.19,29.1,162
"76",7.968,1137,2.04,20.7,158
"77",8.858,1156,2.31,33.5,176
"78",8.588,1166,1.7,26.9,183
"79",6.449,1170,2.05,35.1,166
"80",8.488,1215,2.19,29.1,164
"81",8.877,1279,2,34.3,207
"82",10.274,1291,2.32,31.9,175
"83",6.024,1290,1.55,28.2,225
"84",8.258,1331,2.13,30,178
"85",13.376,1373,2.2,36.2,157
"86",10.69,1420,2.2,36.2,138
"87",8.308,1474,1.85,24.6,163
"88",6.082,1497,1.76,10.3,168
"89",9.284,1545,1.8,20.2,158
"90",10.879,1649,2.32,31.9,177
"91",8.477,1668,1.8,20.2,170
"92",6.877,1782,2.13,10.7,183
"93",15.106,1831,1.98,35.5,162
"94",8.031,1833,1.76,10.3,177
"95",8.082,1838,1.45,17.6,196
"96",10.866,1787,2.24,26.5,164
"97",8.596,1918,1.69,12.9,158
"98",8.673,1930,1.81,22.6,157
"99",15.437,2028,2.11,24.4,163
"100",8.211,2057,1.76,10.3,161
"101",11.982,2084,1.77,21.3,156
"102",16.674,2226,2,34.3,217
"103",12.62,2304,2.3,23.6,161
"104",12.905,2341,2.04,20.7,183
"105",11.615,2353,1.69,12.9,167
"106",9.321,2367,1.76,10.3,161
"107",12.962,2451,2.04,20.7,163
"108",16.932,2457,2.2,36.2,170
"109",9.648,2507,1.76,10.3,174
"110",18.35,2530,2.31,33.5,197
"111",17.333,2576,1.92,22.5,162
"112",12.015,2607,1.76,10.3,155
"113",11.32,2870,1.76,10.3,167
"114",22.337,2993,2.31,33.5,176
"115",19.035,3202,2.3,23.6,170
"116",12.205,3286,1.61,17.8,183
"117",17.078,3312,1.68,28.8,190
"118",25.528,3498,2.09,30,170
"119",24.021,3538,2.09,30,176
"120",32.197,3794,2.05,35.1,159
"121",26.652,3841,2.29,28.5,157
"122",20.164,4014,2.11,24.4,161
"123",14.132,4217,1.53,18.1,172
"124",21.41,4305,2.11,24.4,203
"125",23.244,4494,2.04,20.7,167
"126",29.845,4764,2.19,29.1,195
"127",32.318,5277,1.92,29.1,161
"128",21.988,5283,2.04,20.7,159
"129",35.229,5668,2.11,24.4,177
"130",17.467,5681,1.76,10.3,157
"131",22.828,5819,1.79,18.5,196
"132",33.154,6000,2.11,24.4,183
"133",32.228,6119,1.54,26.2,189
"134",34.168,6136,1.92,22.5,160
"135",40.594,7193,2.12,28.6,162
"136",33.354,7886,1.61,17.8,178
"137",64.542,8419,2.32,31.9,199
"138",41.238,8642,2.24,26.5,182
"139",47.993,8787,2.31,33.5,190
"140",69.878,9484,2.11,24.4,165
"141",44.894,9956,1.68,28.8,203
"142",67.12,11477,2.24,26.5,151
"143",73.05,11796,2.12,28.6,148
"144",139.422,14359,2.31,33.5,212
"145",119.939,16719,2.3,23.6,162
