"","q1","q2","q3","q4"
"1",4,3,4,4
"2",4,3,3,3
"3",5,5,5,4
"4",3,4,4,5
"5",3,4,3,3
"6",3,3,2,3
"7",2,3,2,2
"8",4,5,4,5
"9",4,5,3,5
"10",5,3,3,5
"11",3,2,1,4
"12",2,3,4,3
"13",3,2,2,2
"14",3,3,4,2
"15",4,4,4,3
"16",4,4,1,4
"17",2,3,3,2
"18",2,1,1,1
"19",3,2,3,3
"20",3,4,3,3
"21",3,2,3,3
"22",5,5,4,5
"23",1,4,3,4
"24",3,3,3,3
"25",3,4,3,4
"26",1,3,3,4
"27",2,2,2,1
"28",3,4,4,4
"29",4,5,5,5
"30",5,4,4,5
"31",3,3,5,4
"32",3,3,2,1
"33",2,3,3,2
"34",3,3,2,2
"35",3,4,4,5
"36",4,3,3,4
"37",4,2,2,3
"38",4,3,4,4
"39",3,1,1,3
"40",3,3,3,3
"41",2,3,3,4
"42",2,3,3,3
"43",2,4,3,4
"44",2,3,3,2
"45",3,2,4,4
"46",3,3,3,2
"47",5,4,4,4
"48",3,4,2,3
"49",5,4,5,4
"50",4,4,3,4
"51",3,4,3,2
"52",2,2,1,2
"53",3,3,2,2
"54",5,5,4,4
"55",3,3,3,3
"56",3,4,3,4
"57",5,4,4,4
"58",3,4,4,4
"59",1,2,1,2
"60",1,1,1,1
