"","start.date","end.date","approve","disapprove","undecided"
"1","2001-02-01","2001-02-04",57,25,18
"2","2001-02-09","2001-02-11",57,24,17
"3","2001-02-19","2001-02-21",61,21,16
"4","2001-03-05","2001-03-07",62,21,15
"5","2001-03-09","2001-03-11",58,28,13
"6","2001-03-26","2001-03-28",52,29,18
"7","2001-04-06","2001-04-08",59,29,11
"8","2001-04-20","2001-04-22",62,29,9
"9","2001-05-07","2001-05-09",53,32,14
"10","2001-05-10","2001-05-14",56,31,12
"11","2001-05-18","2001-05-20",55,35,8
"12","2001-06-08","2001-06-10",55,35,9
"13","2001-06-11","2001-06-17",52,34,12
"14","2001-06-22","2001-06-28",50,42,7
"15","2001-06-28","2001-07-01",52,34,13
"16","2001-07-10","2001-07-11",57,34,8
"17","2001-07-19","2001-07-22",55,33,10
"18","2001-08-03","2001-08-05",55,34,10
"19","2001-08-10","2001-08-12",57,35,7
"20","2001-08-16","2001-08-19",57,33,8
"21","2001-08-24","2001-08-26",55,35,9
"22","2001-09-07","2001-09-11",51,39,9
"23","2001-09-14","2001-09-15",85,9,4
"24","2001-09-21","2001-09-22",89,6,4
"25","2001-10-05","2001-10-07",87,9,3
"26","2001-10-11","2001-10-14",89,8,2
"27","2001-10-19","2001-10-21",88,9,2
"28","2001-11-02","2001-11-04",87,8,3
"29","2001-11-08","2001-11-11",86,9,3
"30","2001-11-09","2001-11-15",84,11,3
"31","2001-11-26","2001-11-27",87,8,4
"32","2001-12-06","2001-12-09",85,10,3
"33","2001-12-14","2001-12-16",85,10,3
"34","2002-01-11","2002-01-14",82,12,4
"35","2002-01-25","2002-01-27",84,13,2
"36","2002-02-04","2002-02-06",81,14,4
"37","2002-02-08","2002-02-10",81,13,4
"38","2002-03-01","2002-03-03",80,14,4
"39","2002-03-04","2002-03-07",76,18,5
"40","2002-03-08","2002-03-09",79,14,5
"41","2002-03-18","2002-03-20",79,15,4
"42","2002-03-22","2002-03-24",78,17,3
"43","2002-04-05","2002-04-07",75,19,5
"44","2002-04-08","2002-04-11",74,19,5
"45","2002-04-22","2002-04-24",76,16,6
"46","2002-04-29","2002-05-01",77,19,3
"47","2002-05-06","2002-05-09",75,19,4
"48","2002-05-20","2002-05-22",76,17,6
"49","2002-05-28","2002-05-29",76,16,6
"50","2002-06-03","2002-06-06",70,23,6
"51","2002-06-07","2002-06-08",74,18,7
"52","2002-06-17","2002-06-19",74,19,6
"53","2002-06-21","2002-06-23",73,20,6
"54","2002-07-05","2002-07-08",75,18,6
"55","2002-07-09","2002-07-11",72,21,5
"56","2002-07-22","2002-07-24",68,24,7
"57","2002-07-26","2002-07-28",68,25,5
"58","2002-07-29","2002-07-31",70,23,5
"59","2002-08-19","2002-08-21",65,27,6
"60","2002-09-02","2002-09-04",66,28,4
"61","2002-09-05","2002-09-08",65,30,4
"62","2002-09-13","2002-09-16",70,25,4
"63","2002-09-18","2002-09-18",66,29,4
"64","2002-09-23","2002-09-25",67,26,6
"65","2002-10-03","2002-10-06",67,27,4
"66","2002-10-14","2002-10-17",62,30,6
"67","2002-10-21","2002-10-22",66,28,4
"68","2002-10-31","2002-11-03",63,29,7
"69","2002-11-08","2002-11-10",68,26,4
"70","2002-11-11","2002-11-14",66,25,7
"71","2002-12-05","2002-12-08",63,29,7
"72","2002-12-16","2002-12-17",63,32,3
"73","2002-12-19","2002-12-22",61,32,6
"74","2003-01-03","2003-01-05",63,31,4
"75","2003-01-10","2003-01-12",57,37,5
"76","2003-01-13","2003-01-16",61,33,5
"77","2003-01-20","2003-01-22",58,35,6
"78","2003-01-23","2003-01-25",59,35,4
"79","2003-01-31","2003-02-02",60,35,4
"80","2003-02-03","2003-02-06",59,34,6
"81","2003-02-07","2003-02-09",61,33,4
"82","2003-02-17","2003-02-19",57,37,5
"83","2003-02-24","2003-02-26",56,37,5
"84","2003-03-03","2003-03-05",57,37,5
"85","2003-03-14","2003-03-15",58,37,4
"86","2003-03-22","2003-03-23",70,25,3
"87","2003-03-24","2003-03-25",69,27,3
"88","2003-03-29","2003-03-30",70,25,3
"89","2003-04-05","2003-04-06",70,26,3
"90","2003-04-07","2003-04-09",68,26,4
"91","2003-04-14","2003-04-16",70,24,4
"92","2003-04-22","2003-04-23",70,26,3
"93","2003-05-05","2003-05-07",69,28,2
"94","2003-05-19","2003-05-21",65,30,3
"95","2003-05-30","2003-06-01",63,32,4
"96","2003-06-09","2003-06-10",61,34,3
"97","2003-06-12","2003-06-15",56,36,6
"98","2003-06-27","2003-06-29",61,35,3
"99","2003-07-07","2003-07-09",62,33,4
"100","2003-07-18","2003-07-20",59,37,3
"101","2003-08-04","2003-08-06",60,35,3
"102","2003-08-25","2003-08-26",59,37,3
"103","2003-09-08","2003-09-10",52,42,4
"104","2003-09-19","2003-09-21",49,47,3
"105","2003-10-06","2003-10-08",54,41,3
"106","2003-10-10","2003-10-12",55,40,3
"107","2003-10-24","2003-10-26",53,42,4
"108","2003-10-24","2003-10-27",62,34,3
"109","2003-11-03","2003-11-05",53,43,3
"110","2003-11-14","2003-11-16",50,46,3
"111","2003-12-11","2003-12-14",55,40,3
"112","2003-12-15","2003-12-16",62,34,2
"113","2004-01-02","2004-01-05",60,35,4
"114","2004-01-09","2004-01-11",58,37,3
"115","2004-01-12","2004-01-15",53,43,2
"116","2004-01-29","2004-02-01",51,46,2
"117","2004-02-06","2004-02-08",51,44,4
"118","2004-02-09","2004-02-12",51,45,2
"119","2004-02-16","2004-02-17",52,45,2
"120","2004-03-05","2004-03-07",50,46,2
"121","2004-03-08","2004-03-11",51,45,2
"122","2004-03-26","2004-03-28",54,43,2
"123","2004-04-05","2004-04-08",51,45,3
"124","2004-04-16","2004-04-18",51,44,3
"125","2004-05-02","2004-05-04",48,48,3
"126","2004-05-07","2004-05-09",46,50,2
"127","2004-05-21","2004-05-23",46,48,4
"128","2004-06-03","2004-06-06",48,49,2
"129","2004-06-21","2004-06-23",47,48,3
"130","2004-06-09","2004-06-29",52,44,2
"131","2004-07-08","2004-07-11",47,49,3
"132","2004-07-19","2004-07-21",48,47,3
"133","2004-07-30","2004-07-31",46,49,3
"134","2004-08-09","2004-08-11",51,45,3
"135","2004-08-23","2004-08-25",49,46,3
"136","2004-09-03","2004-09-05",51,46,2
"137","2004-09-13","2004-09-15",51,45,3
"138","2004-09-24","2004-09-26",53,44,1
"139","2004-10-01","2004-10-03",49,48,1
"140","2004-10-09","2004-10-10",47,48,3
"141","2004-10-11","2004-10-14",48,48,2
"142","2004-10-14","2004-10-16",51,46,2
"143","2004-10-22","2004-10-24",50,46,3
"144","2004-10-29","2004-10-31",47,47,4
"145","2004-11-07","2004-11-10",53,44,2
"146","2004-12-05","2004-12-08",52,44,3
"147","2004-12-17","2004-12-19",49,46,4
"148","2005-01-03","2005-01-05",51,44,3
"149","2005-01-07","2005-01-09",51,44,3
"150","2005-02-04","2005-02-06",57,39,3
"151","2005-02-07","2005-02-10",48,47,3
"152","2005-02-21","2005-02-24",51,45,3
"153","2005-02-25","2005-02-27",52,45,2
"154","2005-03-07","2005-03-10",52,43,4
"155","2005-03-18","2005-03-20",51,44,4
"156","2005-04-01","2005-04-02",47,48,3
"157","2005-04-04","2005-04-07",50,44,4
"158","2005-04-18","2005-04-21",47,48,3
"159","2005-04-29","2005-05-01",47,49,3
"160","2005-05-02","2005-05-05",50,45,4
"161","2005-05-20","2005-05-22",45,50,3
"162","2005-05-23","2005-05-26",47,47,4
"163","2005-06-06","2005-06-08",47,48,4
"164","2005-06-16","2005-06-19",47,50,2
"165","2005-06-06","2005-06-26",41,52,6
"166","2005-07-07","2005-07-10",48,48,3
"167","2005-07-22","2005-07-24",48,47,3
"168","2005-08-08","2005-08-11",45,50,4
"169","2005-08-22","2005-08-25",39,55,4
"170","2005-08-28","2005-08-30",45,52,2
"171","2005-09-08","2005-09-11",46,50,3
"172","2005-09-12","2005-09-15",44,52,3
"173","2005-09-16","2005-09-18",39,57,2
"174","2005-09-26","2005-09-28",45,50,4
"175","2005-10-13","2005-10-16",39,57,3
"176","2005-10-21","2005-10-23",41,54,3
"177","2005-10-24","2005-10-27",40,55,3
"178","2005-10-28","2005-10-30",40,56,2
"179","2005-11-07","2005-11-10",40,54,4
"180","2005-11-11","2005-11-13",36,60,3
"181","2005-11-17","2005-11-20",38,56,4
"182","2005-12-05","2005-12-08",43,51,4
"183","2005-12-09","2005-12-11",42,55,3
"184","2005-12-16","2005-12-18",41,56,3
"185","2005-12-19","2005-12-22",43,53,4
"186","2006-01-06","2006-01-08",43,54,3
"187","2006-01-09","2006-01-12",43,53,4
"188","2006-01-20","2006-01-22",43,54,4
"189","2006-02-06","2006-02-09",42,55,4
"190","2006-02-09","2006-02-12",39,56,4
"191","2006-02-28","2006-03-01",38,60,2
"192","2006-03-10","2006-03-12",36,60,4
"193","2006-03-13","2006-03-16",37,59,5
"194","2006-04-07","2006-04-09",37,60,3
"195","2006-04-10","2006-04-13",36,59,5
"196","2006-04-28","2006-04-30",34,63,3
"197","2006-05-05","2006-05-07",31,65,5
"198","2006-05-08","2006-05-11",33,61,6
"199","2006-06-01","2006-06-04",36,57,6
"200","2006-06-09","2006-06-11",38,56,6
"201","2006-06-23","2006-06-25",37,60,3
"202","2006-07-06","2006-07-09",40,55,5
"203","2006-07-21","2006-07-23",37,59,4
"204","2006-07-28","2006-07-30",40,56,4
"205","2006-08-07","2006-08-10",37,59,4
"206","2006-08-18","2006-08-20",42,54,4
"207","2006-09-07","2006-09-10",39,56,5
"208","2006-09-15","2006-09-17",44,51,5
"209","2006-10-06","2006-10-08",37,59,4
"210","2006-10-09","2006-10-12",37,57,6
"211","2006-10-20","2006-10-22",37,58,4
"212","2006-11-02","2006-11-05",38,56,6
"213","2006-11-09","2006-11-12",33,62,4
"214","2006-12-08","2006-12-10",38,59,4
"215","2006-12-11","2006-12-14",35,61,4
"216","2007-01-05","2007-01-07",37,59,4
"217","2007-01-12","2007-01-14",34,63,4
"218","2007-02-01","2007-02-04",32,65,4
"219","2007-02-09","2007-02-11",37,59,3
"220","2007-03-02","2007-03-04",33,63,4
"221","2007-03-11","2007-03-14",35,61,4
"222","2007-03-23","2007-03-25",34,62,4
"223","2007-04-02","2007-04-05",38,58,4
