"","date","jyspot","jyfwd","jys30","dmspot","dmfwd","dms30","bpspot","bpfwd","bps30","quote"
"1",19750103,300.6,301.3,297.3,2.4005,2.394,2.389,0.427,0.4299,0.4216,"03jan1975"
"2",19750110,300.6,300.6,295.45,2.377,2.373,2.348,0.4247,0.427,0.4199,"10jan1975"
"3",19750117,300.7,300.45,293.2,2.378,2.377,2.314,0.4248,0.4259,0.4175,"17jan1975"
"4",19750124,296.5,295.75,285.65,2.326,2.3235,2.296,0.4194,0.4207,0.4138,"24jan1975"
"5",19750131,297.8,297.55,286.6,2.3425,2.342,2.285,0.4205,0.4223,0.4122,"31jan1975"
"6",19750207,296.12,295.94,286.45,2.3655,2.3635,2.316,0.4217,0.4237,0.4122,"07feb1975"
"7",19750214,293.05,292.7,287.85,2.3215,2.3183,2.321,0.4181,0.4203,0.4137,"14feb1975"
"8",19750221,290.65,292.4,288.33,2.308,2.305,2.318,0.4165,0.4185,0.4132,"21feb1975"
"9",19750228,286.3,285.65,291.4,2.283,2.2803,2.3335,0.412,0.4142,0.4151,"28feb1975"
"10",19750307,285.5,285.35,291.5,2.3145,2.312,2.361,0.412,0.4139,0.4199,"07mar1975"
"11",19750314,288.45,288,291.45,2.321,2.3175,2.396,0.4143,0.4161,0.4233,"14mar1975"
"12",19750321,288.03,288.56,292.95,2.316,2.3125,2.375,0.4131,0.4146,0.4241,"21mar1975"
"13",19750328,292.7,293.05,294.6,2.3455,2.341,2.388,0.415,0.4165,0.4248,"28mar1975"
"14",19750404,292.5,293.6,291.2,2.3635,2.356,2.372,0.4174,0.4188,0.4257,"04apr1975"
"15",19750411,291.5,292.45,291.5,2.384,2.3782,2.3405,0.4229,0.4246,0.4341,"11apr1975"
"16",19750418,291.6,291.1,292.25,2.38,2.3765,2.348,0.4207,0.4221,0.4336,"18apr1975"
"17",19750425,293.05,293.75,291.4,2.376,2.3715,2.338,0.4248,0.4269,0.4298,"25apr1975"
"18",19750502,291.9,291.4,291.4,2.383,2.3785,2.338,0.4274,0.4297,0.4311,"02may1975"
"19",19750509,291.45,290.8,292,2.355,2.351,2.3385,0.429,0.4312,0.4344,"09may1975"
"20",19750516,291.3,290.95,294,2.351,2.3495,2.3353,0.4336,0.4357,0.4401,"16may1975"
"21",19750523,291.2,291.1,295.9,2.337,2.335,2.342,0.4301,0.4317,0.4457,"23may1975"
"22",19750530,291.3,291.55,295.9,2.346,2.3425,2.361,0.4326,0.4342,0.4581,"30may1975"
"23",19750606,291.7,292.2,295.75,2.341,2.337,2.397,0.4299,0.4313,0.4557,"06jun1975"
"24",19750613,292.6,293.15,295.85,2.3335,2.3305,2.48,0.438,0.4396,0.456,"13jun1975"
"25",19750620,293.9,294.1,296.35,2.336,2.3332,2.503,0.4401,0.4415,0.4583,"20jun1975"
"26",19750627,296.2,296.25,297.35,2.348,2.3443,2.553,0.4475,0.4487,0.4597,"27jun1975"
"27",19750704,295.4,295.4,298,2.388,2.3829,2.566,0.4546,0.4556,0.4682,"04jul1975"
"28",19750711,296,295.7,298,2.425,2.4179,2.589,0.4527,0.4535,0.4755,"11jul1975"
"29",19750718,296.2,295.9,298,2.5,2.4935,2.556,0.4599,0.4609,0.471,"18jul1975"
"30",19750725,296.7,296.45,298,2.5345,2.528,2.5785,0.4589,0.4602,0.4746,"25jul1975"
"31",19750801,297.85,297.65,297.87,2.574,2.5672,2.577,0.4655,0.4672,0.4733,"01aug1975"
"32",19750808,297.7,297.85,298,2.583,2.5728,2.583,0.476,0.4776,0.4739,"08aug1975"
"33",19750815,297.9,298.05,298,2.575,2.5645,2.6175,0.474,0.4754,0.4796,"15aug1975"
"34",19750822,297.8,298.05,303,2.5595,2.5517,2.667,0.4739,0.4754,0.4884,"22aug1975"
"35",19750829,297.95,298.9,302.7,2.582,2.574,2.6385,0.4735,0.4748,0.4903,"29aug1975"
"36",19750905,297.9,298.65,303,2.577,2.5697,2.6075,0.4739,0.4753,0.4902,"05sep1975"
"37",19750912,297.95,298.6,302.6,2.593,2.5848,2.5825,0.4743,0.4756,0.4871,"12sep1975"
"38",19750919,300.95,301.95,301.15,2.631,2.6233,2.573,0.4805,0.4819,0.4856,"19sep1975"
"39",19750926,301.9,303.5,301.7,2.648,2.6404,2.5705,0.4888,0.4901,0.484,"26sep1975"
"40",19751003,302.95,304.5,301.95,2.629,2.6195,2.569,0.4906,0.4919,0.4844,"03oct1975"
"41",19751010,302.8,303.55,302.2,2.5865,2.5789,2.564,0.4872,0.4892,0.4844,"10oct1975"
"42",19751017,302.85,303.4,303,2.567,2.5607,2.6085,0.4865,0.4886,0.4909,"17oct1975"
"43",19751024,301.65,301.8,303,2.5565,2.5505,2.5975,0.4829,0.4851,0.4904,"24oct1975"
"44",19751031,301.8,302,305,2.5525,2.5454,2.615,0.481,0.4829,0.4949,"31oct1975"
"45",19751107,301.85,301.9,306.3,2.562,2.556,2.627,0.4832,0.4851,0.4944,"07nov1975"
"46",19751114,302.5,302.35,305.6,2.583,2.5777,2.6375,0.4885,0.4907,0.4959,"14nov1975"
"47",19751121,302.95,302.95,305.9,2.593,2.587,2.619,0.4889,0.4915,0.4948,"21nov1975"
"48",19751128,302.95,303.7,305.05,2.6275,2.6213,2.6245,0.4957,0.4978,0.4948,"28nov1975"
"49",19751205,306.1,306.9,305.7,2.616,2.6099,2.601,0.4933,0.4953,0.4918,"05dec1975"
"50",19751212,305.9,306.8,305.45,2.63,2.6246,2.6065,0.4955,0.4975,0.4942,"12dec1975"
"51",19751219,305.95,306.7,304.1,2.6235,2.6191,2.607,0.4946,0.4968,0.4938,"19dec1975"
"52",19751226,305.8,306.45,303.6,2.609,2.6045,2.5995,0.4942,0.496,0.493,"26dec1975"
"53",19760102,305.1,305.6,301.4,2.621,2.6165,2.575,0.4943,0.4964,0.4926,"02jan1976"
"54",19760109,305.95,306.25,300.9,2.604,2.599,2.561,0.4924,0.4942,0.4938,"09jan1976"
"55",19760116,305.15,305.3,301.8,2.601,2.5963,2.565,0.4932,0.4951,0.4936,"16jan1976"
"56",19760123,304.05,304.05,302.2,2.602,2.5982,2.5555,0.4942,0.4963,0.4938,"23jan1976"
"57",19760130,303.75,303.75,301.6,2.593,2.5899,2.564,0.4925,0.4946,0.4932,"30jan1976"
"58",19760206,301.45,301.15,301.2,2.574,2.57,2.561,0.493,0.4946,0.5147,"06feb1976"
"59",19760213,301,300.9,300.7,2.5415,2.5377,2.5735,0.4937,0.4955,0.5207,"13feb1976"
"60",19760220,302.15,302.2,299.9,2.5555,2.5515,2.5425,0.4939,0.4954,0.5206,"20feb1976"
"61",19760227,302.2,302.25,299.75,2.564,2.5598,2.54,0.4932,0.4946,0.5221,"27feb1976"
"62",19760305,301.6,301.6,298.85,2.5775,2.5728,2.5425,0.4983,0.4999,0.5372,"05mar1976"
"63",19760312,301.1,301.25,298.15,2.58,2.5748,2.5358,0.5171,0.52,0.5394,"12mar1976"
"64",19760319,299.75,300,299.55,2.54,2.535,2.538,0.5203,0.5231,0.5414,"19mar1976"
"65",19760326,299.6,300.15,299.3,2.5415,2.5363,2.5395,0.52,0.5218,0.5461,"26mar1976"
"66",19760402,299.4,299.7,298.6,2.528,2.5237,2.531,0.5339,0.5363,0.5498,"02apr1976"
"67",19760409,298,297.9,298.4,2.534,2.5298,2.5465,0.5436,0.5464,0.5453,"09apr1976"
"68",19760416,299.2,298.95,299.3,2.537,2.5326,2.582,0.5382,0.54,0.5537,"16apr1976"
"69",19760423,299.8,299.45,299.6,2.539,2.5335,2.5758,0.5459,0.5488,0.5579,"23apr1976"
"70",19760430,299.25,299.15,300.05,2.5365,2.5315,2.593,0.5427,0.545,0.5828,"30apr1976"
"71",19760507,298.65,298.7,300.05,2.534,2.5293,2.561,0.5484,0.5513,0.5656,"07may1976"
"72",19760514,298.6,298.8,299.9,2.555,2.549,2.57,0.5466,0.5488,0.5605,"14may1976"
"73",19760521,299.3,299.45,298.85,2.585,2.5792,2.573,0.5605,0.5629,0.564,"21may1976"
"74",19760528,299.7,300,298.4,2.5895,2.5846,2.5755,0.5663,0.5688,0.5615,"28may1976"
"75",19760604,300.3,300.5,296.05,2.5855,2.5805,2.579,0.5828,0.5857,0.5546,"04jun1976"
"76",19760611,299.95,300.2,295.2,2.576,2.5715,2.582,0.5643,0.5671,0.5581,"11jun1976"
"77",19760618,299.1,299.18,293.35,2.574,2.5698,2.5773,0.5626,0.566,0.5622,"18jun1976"
"78",19760625,297,297,294.15,2.5715,2.5683,2.576,0.5645,0.5685,0.5621,"25jun1976"
"79",19760702,297.1,297.2,292.9,2.577,2.5721,2.5342,0.5557,0.559,0.558,"02jul1976"
"80",19760709,296.62,296.8,292.75,2.578,2.5735,2.542,0.5596,0.5635,0.5591,"09jul1976"
"81",19760716,294.55,294.7,288.05,2.577,2.5732,2.51,0.5635,0.5675,0.5602,"16jul1976"
"82",19760723,293.95,294,288.6,2.5765,2.5733,2.517,0.5612,0.5646,0.565,"23jul1976"
"83",19760730,293.45,293.6,289,2.5405,2.5365,2.525,0.5605,0.5638,0.5635,"30jul1976"
"84",19760806,292.95,292.95,287.85,2.5415,2.5379,2.521,0.5595,0.5631,0.565,"06aug1976"
"85",19760813,292.3,292.35,286,2.5275,2.5238,2.4907,0.5605,0.5644,0.5784,"13aug1976"
"86",19760820,289.6,289.4,287.7,2.514,2.5102,2.471,0.5609,0.564,0.5833,"20aug1976"
"87",19760827,288.5,288.35,287.75,2.52,2.5179,2.4693,0.5639,0.5674,0.6006,"27aug1976"
"88",19760903,288.45,288.7,287.8,2.5225,2.5201,2.437,0.5642,0.568,0.6105,"03sep1976"
"89",19760910,286.75,286.85,289,2.5105,2.5081,2.443,0.5739,0.5782,0.604,"10sep1976"
"90",19760917,286.8,286.75,292.25,2.478,2.4754,2.4405,0.576,0.5803,0.6064,"17sep1976"
"91",19760924,288,287.95,293.75,2.478,2.4756,2.409,0.5848,0.5891,0.6266,"24sep1976"
"92",19761001,287.2,287.4,295.3,2.4345,2.4321,2.402,0.597,0.6035,0.6281,"01oct1976"
"93",19761008,288.35,288.5,294.35,2.4395,2.4365,2.421,0.5995,0.6059,0.6105,"08oct1976"
"94",19761015,292.8,293.15,295.3,2.4385,2.4355,2.4205,0.6077,0.6163,0.6057,"15oct1976"
"95",19761022,293.2,293.3,295.25,2.426,2.4225,2.42,0.6064,0.6137,0.6099,"22oct1976"
"96",19761029,294.2,294.2,296.8,2.4035,2.4007,2.4145,0.6234,0.6315,0.601,"29oct1976"
"97",19761105,295,294.9,296.75,2.4205,2.417,2.3955,0.6068,0.6118,0.6035,"05nov1976"
"98",19761112,294.6,294.55,295.05,2.415,2.4124,2.3965,0.6151,0.6204,0.5936,"12nov1976"
"99",19761119,295.35,295.4,294.1,2.419,2.417,2.3685,0.5951,0.6002,0.5945,"19nov1976"
"100",19761126,295.45,295.5,293.2,2.407,2.4056,2.362,0.6055,0.6111,0.5881,"26nov1976"
"101",19761203,297.5,297.75,292.15,2.4065,2.4063,2.3485,0.6013,0.6068,0.5853,"03dec1976"
"102",19761210,295,295.8,292.55,2.395,2.3948,2.376,0.598,0.6037,0.5862,"10dec1976"
"103",19761217,294.7,295.25,289.45,2.3889,2.3884,2.407,0.599,0.6042,0.5821,"17dec1976"
"104",19761224,293.4,294.05,288.4,2.3695,2.3699,2.435,0.5928,0.5987,0.5817,"24dec1976"
"105",19761231,292.95,293.4,288.3,2.357,2.3565,2.4225,0.5872,0.5933,0.5826,"31dec1976"
"106",19770107,292.45,292.8,285.7,2.357,2.356,2.4095,0.5865,0.5917,0.5828,"07jan1977"
"107",19770114,292.1,292.25,284,2.3925,2.3903,2.401,0.5838,0.5888,0.5863,"14jan1977"
"108",19770121,290.2,290.28,283.7,2.4005,2.3993,2.397,0.5831,0.5875,0.5853,"21jan1977"
"109",19770128,289.35,289.48,281.8,2.42,2.419,2.396,0.5829,0.5869,0.5855,"28jan1977"
"110",19770204,288.1,288.23,281.8,2.417,2.4158,2.3875,0.5833,0.5869,0.5836,"04feb1977"
"111",19770211,284.9,285.1,282.2,2.4045,2.4033,2.3955,0.5838,0.5875,0.5828,"11feb1977"
"112",19770218,283.2,283.4,278.8,2.3955,2.3943,2.3877,0.5867,0.5906,0.5828,"18feb1977"
"113",19770225,281.5,281.57,276.95,2.395,2.3936,2.392,0.5854,0.5891,0.5814,"25feb1977"
"114",19770304,281.6,281.8,273.1,2.3865,2.3854,2.3877,0.5835,0.5879,0.5816,"04mar1977"
"115",19770311,282,282.5,271.7,2.3945,2.3932,2.3735,0.5827,0.5861,0.5817,"11mar1977"
"116",19770318,280.65,281.05,277.5,2.3905,2.3893,2.3715,0.5818,0.5849,0.5816,"18mar1977"
"117",19770325,278.65,279.05,277.95,2.3916,2.3898,2.3695,0.582,0.5847,0.5815,"25mar1977"
