"","wheat.flour","corn","wheat","rye"
"1",5.58,1.12,1.62,1.075
"2",5.46,1.15,1.58,1.064
"3",5.5,1.18,1.56,1.158
"4",5.53,1.09,1.39,1.073
"5",5.63,1.15,1.28,1.125
"6",5.65,1.13,1.28,1.07
"7",5.7,1.18,1.36,1.298
"8",5.68,1.15,1.46,1.168
"9",5.75,1.11,1.45,1.205
"10",5.66,1.11,1.47,1.298
"11",5.7,1.14,1.51,1.32
"12",5.75,1.12,1.53,1.295
"13",5.75,1.09,1.52,1.298
"14",5.78,1.11,1.52,1.293
"15",5.72,1.11,1.54,1.253
"16",5.8,1.12,1.59,1.228
"17",5.95,1.16,1.65,1.23
"18",6.09,1.15,1.63,1.278
"19",6.25,1.12,1.62,1.125
"20",6.37,1.14,1.57,1.145
"21",6.45,1.13,1.59,1.12
"22",6.44,1.12,1.55,1.148
"23",6.46,1.1,1.59,1.164
"24",6.39,1.17,1.58,1.21
"25",6.03,1.21,1.6,1.258
"26",6.05,1.21,1.63,1.228
"27",6.02,1.2,1.64,1.195
"28",6.15,1.21,1.68,1.233
"29",6.09,1.23,1.63,1.196
"30",6.05,1.3,1.38,1.22
"31",5.7,1.34,1.3,1.205
"32",5.28,1.34,1.3,1.185
"33",5.76,1.36,1.47,1.355
"34",5.98,1.22,1.64,1.433
"35",6.41,1.18,1.69,1.42
"36",6.83,1.23,1.69,1.423
"37",6.45,1.26,1.78,1.463
"38",6.9,1.23,1.75,1.376
"39",6.64,1.24,1.48,1.303
"40",6.68,1.26,1.66,1.28
"41",6.7,1.29,1.54,1.263
"42",6.53,1.26,1.43,1.265
"43",7.09,1.23,1.46,1.245
"44",6.7,1.25,1.44,1.21
"45",6.73,1.3,1.52,1.28
"46",6.84,1.25,1.5,1.236
"47",6.9,1.19,1.56,1.233
"48",6.9,1.28,1.59,1.185
"49",6.68,1.29,1.57,1.184
"50",6.7,1.31,1.58,1.16
"51",6.7,1.34,1.56,1.19
"52",6.7,1.35,1.56,1.17
"53",6.7,1.37,1.46,1.173
"54",6.9,1.36,1.45,1.1
"55",7.07,1.33,1.43,1.001
"56",7.1,1.29,1.53,1.088
"57",7.1,1.31,1.54,1.111
"58",7.2,1.27,1.53,1.105
"59",7.28,1.17,1.66,1.125
"60",7.21,1.24,1.74,1.18
"61",7.22,1.32,1.71,1.243
"62",7.22,1.32,1.75,1.225
"63",7.22,1.26,1.67,1.155
"64",7.19,1.3,1.65,1.268
"65",7.2,1.32,1.67,1.153
"66",7.63,1.31,1.77,1.13
"67",8.07,1.42,1.9,1.28
"68",8.09,1.45,1.89,1.248
"69",7.92,1.46,1.92,1.243
"70",7.72,1.4,1.69,1.158
"71",7.73,1.35,1.75,1.16
"72",7.62,1.44,1.83,1.218
"73",7.35,1.44,1.8,1.203
"74",7.48,1.39,1.68,1.163
"75",7.55,1.42,1.83,1.208
"76",7.27,1.38,1.8,1.188
"77",7.43,1.39,1.67,1.18
"78",7.34,1.38,1.57,1.16
"79",7.4,1.33,1.48,1.191
"80",7.29,1.21,1.42,1.099
"81",7.27,1.2,1.45,1.173
"82",7.24,1.2,1.49,1.14
"83",7.18,1.08,1.44,1.118
"84",7.21,1.18,1.5,1.148
"85",7.18,1.15,1.52,1.154
"86",7.04,1.17,1.56,1.19
"87",6.94,1.14,1.51,1.179
"88",6.76,1.16,1.46,1.145
"89",6.78,1.21,1.47,1.13
"90",6.77,1.16,1.26,1.073
"91",6.73,1.15,1.29,1.125
"92",6.72,1.08,1.19,1.046
"93",6.85,1.08,1.18,1.119
"94",6.89,1.1,1.28,1.145
"95",6.9,1.17,1.36,1.169
"96",6.85,1.15,1.34,1.168
"97",6.85,1.19,1.43,1.205
"98",6.83,1.17,1.4,1.201
"99",6.76,1.17,1.35,1.215
"100",6.75,1.22,1.36,1.215
"101",6.75,1.31,1.4,1.24
"102",6.75,1.32,1.33,1.205
"103",6.92,1.3,1.3,1.185
"104",6.86,1.29,1.28,1.035
"105",6.78,1.27,1.33,1.055
"106",6.89,1.27,1.33,1.105
"107",6.95,1.16,1.42,1.115
"108",7.14,1.18,1.48,1.135
"109",7.14,1.26,1.5,1.135
"110",7.17,1.26,1.52,1.135
"111",7.19,1.25,1.54,1.145
"112",7.19,1.29,1.54,1.165
"113",7.19,1.32,1.55,1.165
"114",7.2,1.36,1.4,1.215
"115",7.16,1.39,1.43,1.085
"116",7.21,1.37,1.45,1.065
"117",7.2,1.45,1.68,1.085
"118",7.35,1.44,1.67,1.085
"119",7.43,1.42,1.74,1.145
"120",7.5,1.33,1.63,1.165
"121",7.45,1.39,1.72,1.155
"122",7.45,1.4,1.74,1.165
"123",7.45,1.36,1.68,1.135
"124",7.51,1.33,1.66,1.145
"125",7.58,1.31,1.66,1.185
"126",7.55,1.38,1.63,1.165
"127",7.52,1.3,1.44,1.035
"128",7.48,1.29,1.31,0.875
"129",7.48,1.17,1.33,0.945
"130",7.48,1.12,1.39,0.965
"131",7.48,1.09,1.49,0.895
"132",7.48,1.26,1.6,0.98
"133",7.28,1.23,1.58,1.03
"134",7.15,1.21,1.52,1.05
"135",7.15,1.23,1.58,1.03
"136",7.15,1.25,1.68,1.04
"137",7.07,1.28,1.67,1.06
"138",7.07,1.28,1.36,0.99
"139",7.07,1.3,1.47,0.98
"140",7.66,1.29,1.6,0.96
"141",8.39,1.39,1.86,0.99
"142",8.57,1.31,1.92,1.01
