"","x2","y01","y02","y03","y04","y05","y06","y07","y08","y09","y10","z01","z02","z03","z04","z05","z06","z07","z08","z09","z10"
"1",6.3,0,1,0,1,1,0,0,1,0,0,5.8,2.9,3.7,2.2,3.5,3.6,1.9,3,4.8,4.7
"2",4,0,1,1,1,1,0,0,1,0,0,5.8,2.9,3.7,2.2,3.5,3.6,1.9,3,4.8,4.7
"3",4.7,0,1,0,0,1,1,1,1,0,0,5.8,2.9,3.7,2.2,3.5,3.6,1.9,3,4.8,4.7
"4",4.8,0,0,1,1,1,0,1,1,0,0,5.8,2.9,3.7,2.2,3.5,3.6,1.9,3,4.8,4.7
"5",6.6,0,0,0,0,1,0,1,0,1,1,5.8,2.9,3.7,2.2,3.5,3.6,1.9,3,4.8,4.7
"6",3.9,0,0,0,0,0,0,0,0,0,0,5.8,2.9,3.7,2.2,3.5,3.6,1.9,3,4.8,4.7
"7",5.9,0,1,1,1,0,1,1,0,0,0,5.8,2.9,3.7,2.2,3.5,3.6,1.9,3,4.8,4.7
"8",5,0,0,0,1,0,1,0,0,1,0,5.8,2.9,3.7,2.2,3.5,3.6,1.9,3,4.8,4.7
"9",5.6,0,0,0,0,0,1,1,1,0,0,5.8,2.9,3.7,2.2,3.5,3.6,1.9,3,4.8,4.7
"10",4.6,0,0,0,1,0,1,0,0,0,0,5.8,2.9,3.7,2.2,3.5,3.6,1.9,3,4.8,4.7
"11",5.9,0,0,0,1,0,1,0,0,0,0,5.8,2.9,3.7,2.2,3.5,3.6,1.9,3,4.8,4.7
"12",4.4,0,0,0,0,0,0,0,0,0,0,5.8,2.9,3.7,2.2,3.5,3.6,1.9,3,4.8,4.7
"13",4.6,0,0,0,0,0,0,0,0,0,1,5.8,2.9,3.7,2.2,3.5,3.6,1.9,3,4.8,4.7
"14",4.4,0,0,0,1,0,0,1,0,0,0,5.8,2.9,3.7,2.2,3.5,3.6,1.9,3,4.8,4.7
"15",5.6,0,0,1,1,0,1,1,1,0,0,5.8,2.9,3.7,2.2,3.5,3.6,1.9,3,4.8,4.7
"16",3.6,0,0,0,0,0,0,1,0,0,0,5.8,2.9,3.7,2.2,3.5,3.6,1.9,3,4.8,4.7
"17",3.7,0,0,0,0,1,1,0,0,0,0,5.8,2.9,3.7,2.2,3.5,3.6,1.9,3,4.8,4.7
"18",4.4,0,1,1,1,1,0,1,0,0,0,5.8,2.9,3.7,2.2,3.5,3.6,1.9,3,4.8,4.7
"19",3.6,0,0,0,0,1,0,0,1,0,0,5.8,2.9,3.7,2.2,3.5,3.6,1.9,3,4.8,4.7
"20",4.4,0,0,0,0,0,0,1,0,0,0,5.8,2.9,3.7,2.2,3.5,3.6,1.9,3,4.8,4.7
