"","agaaus","beitaw","corlae","cyadea","cyamed","daccup","dacdac","eladen","hedarb","hohpop","kniexc","kuneri","lepsco","metrob","neslan","rhosap","vitluc","altitude"
"1",0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,90
"2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,80
"3",0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,50
"4",0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,40
"5",0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,40
"6",0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,50
"7",0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,70
"8",1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,100
"9",1,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,120
"10",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,60
"11",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,70
"12",1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,90
"13",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,30
"14",1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,110
"15",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,40
"16",1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,80
"17",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,50
"18",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,60
"19",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,40
"20",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,80
"21",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,50
"22",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,50
"23",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,100
"24",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,60
"25",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,60
"26",0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,20
"27",0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,140
"28",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,60
