"","maxtemp","year"
"1",89,1901
"2",84,1902
"3",84,1903
"4",85,1904
"5",81,1905
"6",92,1906
"7",79,1907
"8",84,1908
"9",85,1909
"10",79,1910
"11",95,1911
"12",87,1912
"13",83,1913
"14",87,1914
"15",82,1915
"16",83,1916
"17",89,1917
"18",84,1918
"19",86,1919
"20",79,1920
"21",89,1921
"22",86,1922
"23",93,1923
"24",86,1924
"25",85,1925
"26",85,1926
"27",80,1927
"28",87,1928
"29",87,1929
"30",89,1930
"31",75,1931
"32",95,1932
"33",89,1933
"34",86,1934
"35",86,1935
"36",83,1936
"37",87,1937
"38",84,1938
"39",84,1939
"40",85,1940
"41",89,1941
"42",88,1942
"43",92,1943
"44",87,1944
"45",84,1945
"46",84,1946
"47",90,1947
"48",90,1948
"49",89,1949
"50",86,1950
"51",82,1951
"52",89,1952
"53",90,1953
"54",83,1954
"55",87,1955
"56",82,1956
"57",86,1957
"58",80,1958
"59",91,1959
"60",82,1960
"61",87,1961
"62",77,1962
"63",81,1963
"64",87,1964
"65",81,1965
"66",80,1966
"67",83,1967
"68",89,1968
"69",88,1969
"70",88,1970
"71",84,1971
"72",77,1972
"73",85,1973
"74",77,1974
"75",91,1975
"76",94,1976
"77",80,1977
"78",80,1978
"79",85,1979
"80",83,1980
