"","Mon","Tue","Wed","Thu","Fri","Sat","Sun"
"0",1,0,0,0,5,1,1
"1",0,1,0,1,1,3,1
"2",0,0,1,2,1,3,1
"3",2,0,0,0,0,0,1
"4",0,0,0,0,0,0,0
"5",1,0,1,0,2,1,2
"6",6,2,5,4,4,1,0
"7",8,16,10,7,8,1,0
"8",12,21,16,13,18,3,3
"9",9,6,8,6,5,7,8
"10",12,8,6,8,4,14,7
"11",7,9,5,9,8,21,23
"12",13,10,6,7,8,24,22
"13",5,4,12,9,10,22,16
"14",10,10,10,12,14,16,20
"15",12,15,13,18,18,24,23
"16",10,13,21,26,24,17,21
"17",21,18,18,26,24,18,14
"18",8,10,7,16,21,13,13
"19",3,6,11,10,10,10,6
"20",2,5,12,5,8,6,5
"21",3,4,6,3,7,5,3
"22",0,0,1,3,5,5,3
"23",1,1,2,1,7,7,1
