"","WaterCon","BareSand","FallTwig","CoveMoss","CoveHerb","ReflLux","Alopacce","Alopcune","Alopfabr","Arctlute","Arctperi","Auloalbi","Pardlugu","Pardmont","Pardnigr","Pardpull","Trocterr","Zoraspin"
"1",2.3321,0,0,3.0445,4.4543,3.912,25,10,0,0,0,4,0,60,12,45,57,4
"2",3.0493,0,1.7918,1.0986,4.5643,1.6094,0,2,0,0,0,30,1,1,15,37,65,9
"3",2.5572,0,0,2.3979,4.6052,3.6889,15,20,2,2,0,9,1,29,18,45,66,1
"4",2.6741,0,0,2.3979,4.6151,2.9957,2,6,0,1,0,24,1,7,29,94,86,25
"5",3.0155,0,0,0,4.6151,2.3026,1,20,0,2,0,9,1,2,135,76,91,17
"6",3.381,2.3979,3.434,2.3979,3.434,0.6931,0,6,0,6,0,6,0,11,27,24,63,34
"7",3.1781,0,0,0.6931,4.6151,2.3026,2,7,0,12,0,16,1,30,89,105,118,16
"8",2.6247,0,4.2627,1.0986,3.434,0.6931,0,11,0,0,0,7,55,2,2,1,30,3
"9",2.4849,0,0,4.3307,3.2581,3.4012,1,1,0,0,0,0,0,26,1,1,2,0
"10",2.1972,3.9318,0,3.434,3.0445,3.6889,3,0,1,0,0,0,0,22,0,0,1,0
"11",2.2192,0,0,4.1109,3.7136,3.6889,15,1,2,0,0,1,0,95,0,1,4,0
"12",2.2925,0,0,3.8286,4.0254,3.6889,16,13,0,0,0,0,0,96,1,8,13,0
"13",3.5175,1.7918,1.7918,0.6931,4.5109,3.4012,3,43,1,2,0,18,1,24,53,72,97,22
"14",3.0865,0,0,1.7918,4.5643,1.0986,0,2,0,1,0,4,3,14,15,72,94,32
"15",3.2696,0,4.3944,0.6931,3.0445,0.6931,0,0,0,0,0,0,6,0,0,0,25,3
"16",3.0301,0,4.6052,0.6931,0.6931,0,0,3,0,0,0,0,6,0,2,0,28,4
"17",3.3322,0,4.4543,0.6931,3.0445,1.0986,0,0,0,0,0,0,2,0,0,0,23,2
"18",3.1224,0,4.3944,0,3.0445,1.0986,0,1,0,0,0,0,5,0,0,0,25,0
"19",2.9232,0,4.5109,1.6094,1.6094,0,0,1,0,0,0,0,12,0,1,0,22,3
"20",3.1091,0,4.5951,0.6931,0.6931,0,0,2,0,0,0,0,13,0,0,0,22,2
"21",2.9755,0,4.5643,0.6931,1.7918,0,0,1,0,0,0,0,16,1,0,1,18,2
"22",1.2528,3.2581,0,4.3307,0.6931,3.912,7,0,16,0,4,0,0,2,0,0,1,0
"23",1.1939,3.0445,0,4.0254,3.2581,4.0943,17,0,15,0,7,0,2,6,0,0,1,0
"24",1.6487,3.2581,0,4.0254,3.0445,4.0073,11,0,20,0,5,0,0,3,0,0,0,0
"25",1.8245,3.5835,0,1.0986,4.1109,2.3026,9,1,9,0,0,2,1,11,6,0,16,6
"26",0.9933,4.5109,0,1.7918,1.7918,4.382,3,0,6,0,18,0,0,0,0,0,1,0
"27",0.9555,2.3979,0,3.8286,3.434,3.6889,29,0,11,0,4,0,0,1,0,0,0,0
"28",0.9555,3.434,0,3.7136,3.434,3.6889,15,0,14,0,1,0,0,6,0,0,2,0
