"","Mon","Tue","Wed","Thu","Fri","Sat","Sun"
"0",121,98,165,324,827,1379,1332
"1",97,92,157,278,619,1327,1356
"2",60,69,107,229,410,979,1011
"3",55,60,75,238,401,693,718
"4",25,38,48,145,223,346,410
"5",19,10,20,56,139,188,287
"6",13,9,9,55,70,155,213
"7",20,6,9,42,40,160,200
"8",5,8,12,29,40,79,96
"9",7,8,14,28,38,44,58
"10",7,13,20,36,38,52,69
"11",8,10,20,32,27,44,39
"12",10,13,8,39,37,73,59
"13",9,26,32,37,27,41,45
"14",22,41,31,46,42,58,53
"15",39,48,62,69,59,75,70
"16",28,48,71,85,55,96,95
"17",46,59,98,141,136,154,130
"18",53,100,117,185,223,236,121
"19",74,119,155,289,335,337,146
"20",74,135,283,508,591,490,166
"21",84,154,326,610,866,754,131
"22",90,143,345,765,976,1026,114
"23",110,169,363,899,1265,1179,159
