"","Mon","Tue","Wed","Thu","Fri","Sat","Sun"
"0",16,10,22,12,29,55,55
"1",13,11,15,23,23,42,64
"2",5,8,16,13,24,37,64
"3",6,4,8,12,19,31,45
"4",7,6,11,16,11,35,35
"5",12,14,14,18,19,27,35
"6",37,37,32,45,32,21,36
"7",66,79,92,75,73,40,33
"8",117,138,132,138,122,59,36
"9",67,81,68,75,72,59,45
"10",67,70,62,76,72,84,57
"11",80,80,50,80,74,114,86
"12",75,85,86,87,94,101,93
"13",77,69,84,90,90,105,80
"14",84,87,98,85,104,103,96
"15",112,136,134,156,158,120,103
"16",115,110,138,144,146,106,90
"17",127,130,140,149,155,104,97
"18",63,69,91,97,142,83,64
"19",47,63,53,57,67,69,52
"20",25,46,62,55,68,70,44
"21",34,42,49,53,85,62,33
"22",24,26,35,52,67,54,18
"23",28,23,20,49,61,69,29
