"","X","Y"
"1",1,1.8
"2",1.4,1
"3",1.6,1.5
"4",1.8,1.3
"5",1.9,1.7
"6",1.9,1.6
"7",1.9,1.1
"8",1.9,1.6
"9",2,1.6
"10",2,3.4
"11",2,1.4
"12",2.1,1.6
"13",2.1,1.6
"14",2.2,1.7
"15",2.4,2.1
"16",2.4,1.6
"17",2.4,2.2
"18",2.5,1.1
"19",2.6,3
"20",2.8,3.1
"21",2.9,3.4
"22",3,1.8
"23",3.2,3.2
"24",3.3,3.3
"25",3.4,1.8
"26",3.4,3.4
"27",3.6,3.5
"28",3.6,2.2
"29",3.6,2.8
"30",3.9,2.2
"31",4.4,4.4
"32",4.6,4.8
"33",4.6,3.3
"34",5.4,4.6
"35",5.6,4.3
"36",5.7,9
"37",5.8,3.7
"38",5.9,2.9
"39",6,9
"40",6.1,5.9
"41",6.1,6.1
"42",6.2,5.2
"43",6.2,10.6
"44",6.4,6
"45",6.4,4.1
"46",6.7,7.8
"47",6.7,6.9
"48",6.8,4.6
"49",7,7.5
"50",7.9,8
"51",8,7.8
"52",8.1,5.4
"53",8.2,6.4
"54",8.6,6.8
"55",8.6,9.2
"56",8.8,8.4
"57",9.9,9.3
"58",10.5,11.7
"59",10.6,8.2
"60",10.8,9.4
"61",12.4,12.2
"62",13,12.2
"63",13,8.9
"64",13.6,11.1
"65",13.8,15.2
"66",15.4,18.8
"67",16.8,15.8
"68",19.3,17.6
"69",20,15.8
"70",20.5,28.8
"71",21.8,18.1
"72",22,25.5
"73",23.5,16.4
"74",24.9,16.4
"75",24.9,20.4
"76",26,32.4
"77",30,33.4
"78",31,41.9
"79",33.5,32.9
"80",34.5,27
"81",36.5,37.4
"82",37,32.9
"83",38,48.6
"84",38,40.7
"85",67,50.9
