"","Mon","Tue","Wed","Thu","Fri","Sat","Sun"
"0",0,0,0,0,0,1,0
"1",0,0,0,0,0,0,0
"2",0,0,0,0,0,0,2
"3",0,0,0,0,0,0,1
"4",0,0,0,1,0,0,0
"5",0,3,2,1,1,0,0
"6",1,3,5,4,5,0,0
"7",12,5,17,17,7,4,1
"8",20,28,23,26,16,10,5
"9",5,4,6,3,7,6,8
"10",9,1,6,2,4,10,7
"11",3,8,1,5,2,6,14
"12",5,4,5,9,5,5,3
"13",8,9,6,4,5,7,3
"14",6,2,3,5,4,6,7
"15",11,13,13,16,14,7,5
"16",17,16,10,12,16,10,4
"17",10,23,14,25,12,5,3
"18",4,8,11,9,7,2,7
"19",6,3,4,9,4,2,1
"20",1,2,2,1,4,1,1
"21",0,0,1,3,2,0,0
"22",1,1,0,1,0,0,0
"23",1,0,0,2,1,1,0
