"","age","nolnor","nolr","lnor","lr"
"1",16,2,0,0,0
"2",17,16,0,0,1
"3",18,34,1,2,0
"4",19,65,1,4,3
"5",20,126,4,6,1
"6",21,117,6,4,0
"7",22,115,4,12,6
"8",23,160,6,13,10
"9",24,174,2,8,5
"10",25,153,3,10,2
"11",26,164,2,18,12
"12",27,178,4,21,4
"13",28,184,2,11,4
"14",29,216,4,17,6
"15",30,209,2,23,9
"16",31,198,5,19,9
"17",32,216,7,19,11
"18",33,217,6,14,6
"19",34,196,0,16,6
"20",35,239,3,16,12
"21",36,257,7,22,6
"22",37,233,3,20,5
"23",38,199,8,23,9
"24",39,231,4,20,11
"25",40,240,5,21,9
"26",41,250,1,16,12
"27",42,216,2,16,10
"28",43,258,2,14,7
"29",44,261,12,15,7
"30",45,255,5,10,5
"31",46,260,3,18,4
"32",47,194,2,18,7
"33",48,207,4,14,6
"34",49,177,7,13,5
"35",50,184,2,14,7
"36",51,232,7,9,3
"37",52,172,3,15,7
"38",53,157,4,12,6
"39",54,188,2,10,4
"40",55,138,2,4,2
"41",56,151,1,12,3
"42",57,122,1,6,6
"43",58,113,3,7,2
"44",59,106,3,4,2
"45",60,106,1,8,6
"46",61,69,1,3,3
"47",62,52,0,3,3
"48",63,50,1,5,0
"49",64,62,0,1,2
"50",65,49,0,2,1
"51",66,39,0,6,2
"52",67,44,0,2,0
"53",68,41,0,3,2
"54",69,40,1,1,1
"55",70,43,1,0,5
"56",71,38,0,2,2
"57",72,60,1,3,2
"58",73,63,1,9,1
"59",74,45,2,1,3
"60",75,43,0,3,2
"61",76,51,0,4,3
"62",77,49,3,1,1
"63",78,73,1,2,5
"64",79,43,0,7,3
"65",80,39,0,6,2
"66",81,51,1,2,2
"67",82,30,0,5,4
"68",83,28,1,2,4
"69",84,27,0,5,2
"70",85,20,0,3,2
"71",86,5,0,0,0
"72",87,3,0,0,0
"73",88,3,0,0,0
