"","p1","p2","p3"
"1",0.178,0.346,0.476
"2",0.162,0.307,0.531
"3",0.083,0.448,0.469
"4",0.087,0.474,0.439
"5",0.078,0.503,0.419
"6",0.04,0.456,0.504
"7",0.049,0.363,0.588
"8",0.1,0.317,0.583
"9",0.075,0.394,0.531
"10",0.084,0.445,0.471
"11",0.06,0.435,0.505
"12",0.089,0.418,0.493
"13",0.05,0.485,0.465
"14",0.073,0.378,0.549
"15",0.064,0.562,0.374
"16",0.085,0.465,0.45
"17",0.094,0.388,0.518
"18",0.014,0.449,0.537
"19",0.06,0.544,0.396
"20",0.031,0.569,0.4
"21",0.025,0.491,0.484
"22",0.045,0.613,0.342
"23",0.0195,0.526,0.4545
