"","age","ethnicity","mstatus"
"1",29,"European","Single"
"2",55,"European","Married/Partnered"
"3",44,"European","Married/Partnered"
"4",53,"European","Divorced/Separated"
"5",45,"European","Married/Partnered"
"7",30,"European","Single"
"10",31,"European","Married/Partnered"
"11",24,"European","Married/Partnered"
"12",47,"European","Married/Partnered"
"13",51,"European","Married/Partnered"
"16",35,"European","Married/Partnered"
"20",35,"European","Married/Partnered"
"22",39,"European","Married/Partnered"
"24",33,"European","Married/Partnered"
"26",30,"European","Married/Partnered"
"31",47,"European","Married/Partnered"
"32",29,"European","Single"
"33",43,"European","Married/Partnered"
"37",31,"European","Married/Partnered"
"40",56,"European","Married/Partnered"
"44",32,"European","Married/Partnered"
"46",46,"European","Single"
"47",33,"European","Married/Partnered"
"48",44,"European","Married/Partnered"
"49",33,"European","Married/Partnered"
"50",45,"European","Married/Partnered"
"52",47,"European","Married/Partnered"
"53",35,"European","Married/Partnered"
"54",34,"European","Married/Partnered"
"57",50,"European","Widowed"
"58",50,"European","Married/Partnered"
"59",38,"European","Married/Partnered"
"66",44,"European","Married/Partnered"
"68",34,"European","Single"
"77",27,"European","Married/Partnered"
"78",50,"European","Married/Partnered"
"80",48,"European","Married/Partnered"
"81",51,"European","Married/Partnered"
"85",28,"European","Married/Partnered"
"86",43,"European","Divorced/Separated"
"87",32,"European","Married/Partnered"
"88",51,"European","Married/Partnered"
"90",49,"European","Married/Partnered"
"94",53,"European","Married/Partnered"
"96",33,"European","Married/Partnered"
"97",52,"European","Married/Partnered"
"98",41,"European","Married/Partnered"
"100",24,"European","Single"
"103",51,"European","Married/Partnered"
"104",46,"European","Married/Partnered"
"105",26,"European","Single"
"107",35,"European","Married/Partnered"
"108",28,"European","Married/Partnered"
"109",34,"European","Single"
"110",36,"European","Married/Partnered"
"111",60,"European","Married/Partnered"
"115",54,"European","Married/Partnered"
"117",33,"European","Married/Partnered"
"120",40,"European","Married/Partnered"
"122",52,"European","Married/Partnered"
"124",41,"European","Married/Partnered"
"125",64,"European","Married/Partnered"
"126",27,"European","Single"
"127",44,"European","Married/Partnered"
"130",47,"European","Divorced/Separated"
"131",46,"European","Married/Partnered"
"133",35,"European","Married/Partnered"
"134",39,"European","Married/Partnered"
"135",48,"European","Married/Partnered"
"138",46,"European","Married/Partnered"
"140",40,"European","Married/Partnered"
"148",40,"European","Married/Partnered"
"149",37,"European","Married/Partnered"
"150",31,"European","Married/Partnered"
"153",49,"European","Married/Partnered"
"155",31,"European","Married/Partnered"
"157",33,"European","Married/Partnered"
"158",50,"European","Married/Partnered"
"159",48,"European","Married/Partnered"
"160",43,"European","Married/Partnered"
"162",40,"European","Married/Partnered"
"163",40,"European","Married/Partnered"
"164",33,"European","Divorced/Separated"
"168",45,"European","Married/Partnered"
"169",50,"European","Divorced/Separated"
"170",44,"European","Married/Partnered"
"171",40,"European","Married/Partnered"
"177",61,"European","Married/Partnered"
"178",45,"European","Divorced/Separated"
"179",39,"European","Single"
"186",44,"European","Married/Partnered"
"188",22,"European","Single"
"190",41,"European","Married/Partnered"
"195",27,"European","Single"
"199",36,"European","Married/Partnered"
"202",25,"European","Married/Partnered"
"203",30,"European","Married/Partnered"
"205",35,"European","Married/Partnered"
"206",22,"European","Single"
"207",50,"European","Married/Partnered"
"208",25,"European","Single"
"212",37,"European","Married/Partnered"
"214",46,"European","Married/Partnered"
"216",38,"European","Married/Partnered"
"217",39,"European","Married/Partnered"
"219",46,"European","Married/Partnered"
"220",23,"European","Single"
"221",54,"European","Married/Partnered"
"222",29,"European","Married/Partnered"
"223",43,"European","Married/Partnered"
"225",58,"European","Widowed"
"230",53,"European","Married/Partnered"
"233",29,"European","Divorced/Separated"
"234",57,"European","Married/Partnered"
"235",31,"European","Single"
"236",29,"European","Divorced/Separated"
"237",36,"European","Married/Partnered"
"238",46,"European","Married/Partnered"
"240",51,"European","Married/Partnered"
"242",56,"European","Married/Partnered"
"243",59,"European","Married/Partnered"
"244",41,"European","Married/Partnered"
"246",44,"European","Married/Partnered"
"248",50,"European","Married/Partnered"
"250",40,"European","Married/Partnered"
"253",34,"European","Married/Partnered"
"257",26,"European","Single"
"259",58,"European","Married/Partnered"
"260",36,"European","Married/Partnered"
"262",31,"European","Married/Partnered"
"263",52,"European","Married/Partnered"
"264",32,"European","Married/Partnered"
"265",40,"European","Married/Partnered"
"266",48,"European","Married/Partnered"
