"","Mon","Tue","Wed","Thu","Fri","Sat","Sun"
"0",0,0,1,0,0,3,8
"1",2,0,1,0,1,4,7
"2",0,0,0,1,1,2,3
"3",0,0,0,2,1,1,3
"4",2,0,0,0,1,0,1
"5",1,0,0,0,0,0,1
"6",2,2,5,0,1,0,3
"7",3,9,2,5,5,5,1
"8",8,11,22,14,14,3,1
"9",4,10,4,6,6,3,2
"10",3,7,6,5,6,9,4
"11",12,6,7,6,5,6,3
"12",7,13,9,11,7,10,4
"13",7,5,4,10,5,5,2
"14",7,4,6,5,6,8,3
"15",15,26,27,22,19,14,6
"16",9,11,16,11,15,11,3
"17",16,10,11,10,16,5,3
"18",1,8,8,7,19,11,7
"19",3,3,6,3,2,5,4
"20",1,4,6,7,7,6,4
"21",1,0,2,2,8,7,1
"22",0,2,1,7,5,5,0
"23",0,1,1,6,3,6,1
