"","N","R","hb","grp"
"1",10,1,4.1,1
"2",11,4,3.2,1
"3",12,9,4.7,1
"4",4,4,3.5,1
"5",10,10,3.2,1
"6",11,9,5.9,1
"7",9,9,4.7,1
"8",11,11,4.7,1
"9",10,10,3.5,1
"10",10,7,4.8,1
"11",12,12,4.3,1
"12",10,9,4.1,1
"13",8,8,3.2,1
"14",11,9,6.3,1
"15",6,4,4.3,1
"16",9,7,3.1,1
"17",14,14,3.6,1
"18",12,7,4.1,1
"19",11,9,4.8,1
"20",13,8,4.7,1
"21",14,5,4.8,1
"22",10,10,6.7,1
"23",12,10,5.2,1
"24",13,8,4.3,1
"25",10,10,3.9,1
"26",14,3,6.3,1
"27",13,13,4.4,1
"28",4,3,5.2,1
"29",8,8,3.9,1
"30",13,5,7.7,1
"31",12,12,5,1
"32",10,1,8.6,2
"33",3,1,11.1,2
"34",13,1,7.2,2
"35",12,0,8.8,2
"36",14,4,9.3,2
"37",9,2,9.3,2
"38",13,2,8.5,2
"39",16,1,9.4,2
"40",11,0,6.9,2
"41",4,0,8.9,2
"42",1,0,11.1,2
"43",12,0,9,2
"44",8,0,11.2,3
"45",11,1,11.5,3
"46",14,0,12.6,3
"47",14,1,9.5,3
"48",11,0,9.8,3
"49",3,0,16.6,4
"50",13,0,14.5,4
"51",9,2,15.4,4
"52",17,2,14.5,4
"53",15,0,14.6,4
"54",2,0,16.5,4
"55",14,1,14.8,4
"56",8,0,13.6,4
"57",6,0,14.5,4
"58",17,0,12.4,4
