"","agaaus","beitaw","corlae","cyadea","cyamed","daccup","dacdac","eladen","hedarb","hohpop","kniexc","kuneri","lepsco","metrob","neslan","rhosap","vitluc","altitude"
"1",0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,1,1,260
"2",0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,200
"3",1,0,0,1,0,1,0,1,1,1,1,0,0,1,0,0,0,320
"4",0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,320
"5",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,260
"6",0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,1,1,200
"7",0,1,1,1,1,0,0,0,1,0,1,0,0,0,1,1,1,160
"8",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,80
"9",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,200
"10",0,0,1,1,1,0,0,0,0,1,0,1,1,0,0,1,0,60
"11",0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,1,100
"12",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,320
"13",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,220
"14",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,100
"15",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,100
"16",0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,40
"17",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,20
"18",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,200
"19",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,200
"20",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,430
"21",0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,410
"22",0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,400
"23",0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,410
"24",0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,459
"25",1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,420
"26",0,1,0,1,1,0,0,1,1,0,1,0,0,0,0,1,0,410
"27",0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,400
"28",0,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,428
"29",0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,400
"30",1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,290
"31",0,0,0,1,1,1,0,1,1,0,1,0,0,1,0,1,0,300
"32",0,1,0,0,1,1,0,1,1,0,1,1,0,0,0,0,0,310
"33",0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,280
"34",0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,260
"35",0,0,0,1,0,1,0,1,1,0,1,0,0,1,1,1,0,290
"36",0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,1,0,340
"37",1,1,0,1,1,0,0,1,1,0,1,1,1,0,0,1,0,310
"38",1,1,0,1,1,1,0,1,0,1,1,1,0,0,0,0,0,280
"39",0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,300
"40",0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,310
"41",0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,390
"42",0,1,0,1,1,1,0,0,0,0,1,0,0,1,0,1,0,370
"43",1,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,360
"44",0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,310
"45",0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,1,0,270
"46",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,160
"47",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,170
"48",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,300
"49",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,360
"50",0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,360
"51",1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,280
"52",0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,280
"53",0,0,0,0,1,0,0,0,1,1,1,0,1,0,1,1,0,180
