"","ranking","country","gold","silver","bronze","totalmedal"
"1",1,"China",51,21,28,100
"2",2,"UnitedStates",36,38,36,110
"3",3,"Russia",23,21,28,72
"4",4,"GreatBritain",19,13,15,47
"5",5,"Germany",16,10,15,41
"6",6,"Australia",14,15,17,46
"7",7,"SouthKorea",13,10,8,31
"8",8,"Japan",9,6,10,25
"9",9,"Italy",8,10,10,28
"10",10,"France",7,16,17,40
"11",11,"Ukraine",7,5,15,27
"12",12,"Netherlands",7,5,4,16
"13",13,"Jamaica",6,3,2,11
"14",14,"Spain",5,10,3,18
"15",15,"Kenya",5,5,4,14
"16",16,"Belarus",4,5,10,19
"17",17,"Romania",4,1,3,8
"18",18,"Ethiopia",4,1,2,7
"19",19,"Canada",3,9,6,18
"20",20,"Poland",3,6,1,10
"21",21,"Hungary",3,5,2,10
"22",21,"Norway",3,5,2,10
"23",23,"Brazil",3,4,8,15
"24",24,"CzechRepublic",3,3,0,6
"25",25,"Slovakia",3,2,1,6
"26",26,"NewZealand",3,1,5,9
"27",27,"Georgia",3,0,3,6
"28",28,"Cuba",2,11,11,24
"29",29,"Kazakhstan",2,4,7,13
"30",30,"Denmark",2,2,3,7
"31",31,"Mongolia",2,2,0,4
"32",31,"Thailand",2,2,0,4
"33",33,"NorthKorea",2,1,3,6
"34",34,"Argentina",2,0,4,6
"35",34,"Switzerland",2,0,4,6
"36",36,"Mexico",2,0,1,3
"37",37,"Turkey",1,4,3,8
"38",38,"Zimbabwe",1,3,0,4
"39",39,"Azerbaijan",1,2,4,7
"40",40,"Uzbekistan",1,2,3,6
"41",41,"Slovenia",1,2,2,5
"42",42,"Bulgaria",1,1,3,5
"43",42,"Indonesia",1,1,3,5
"44",44,"Finland",1,1,2,4
"45",45,"Latvia",1,1,1,3
"46",46,"Belgium",1,1,0,2
"47",46,"DominicanRepublic",1,1,0,2
"48",46,"Estonia",1,1,0,2
"49",46,"Portugal",1,1,0,2
"50",50,"India",1,0,2,3
"51",51,"Iran",1,0,1,2
"52",52,"Bahrain",1,0,0,1
"53",52,"Cameroon",1,0,0,1
"54",52,"Panama",1,0,0,1
"55",52,"Tunisia",1,0,0,1
"56",56,"Sweden",0,4,1,5
"57",57,"Croatia",0,2,3,5
"58",57,"Lithuania",0,2,3,5
"59",59,"Greece",0,2,2,4
"60",60,"TrinidadandTobago",0,2,0,2
"61",61,"Nigeria",0,1,3,4
"62",62,"Austria",0,1,2,3
"63",62,"Ireland",0,1,2,3
"64",62,"Serbia",0,1,2,3
"65",65,"Algeria",0,1,1,2
"66",65,"Bahamas",0,1,1,2
"67",65,"Colombia",0,1,1,2
"68",65,"Kyrgyzstan",0,1,1,2
"69",65,"Morocco",0,1,1,2
"70",65,"Tajikistan",0,1,1,2
"71",71,"Chile",0,1,0,1
"72",71,"Ecuador",0,1,0,1
"73",71,"Iceland",0,1,0,1
"74",71,"Malaysia",0,1,0,1
"75",71,"Singapore",0,1,0,1
"76",71,"SouthAfrica",0,1,0,1
"77",71,"Sudan",0,1,0,1
"78",71,"Vietnam",0,1,0,1
"79",79,"Armenia",0,0,6,6
"80",80,"Taiwan",0,0,4,4
"81",81,"Afghanistan",0,0,1,1
"82",81,"Egypt",0,0,1,1
"83",81,"Israel",0,0,1,1
"84",81,"Mauritius",0,0,1,1
"85",81,"Moldova",0,0,1,1
"86",81,"Togo",0,0,1,1
"87",81,"Venezuela",0,0,1,1
