"","Length","Wheel.base","Width","Height","Front.Hd.","Rear.Hd","Frt.Leg.Room","Rear.Seating","Frt.Shld","RearShld","Luggage","Weight","Tires","Steering","Turning","Disp.","HP","Trans1","Gear.Ratio","Eng.Rev","Tank","Model2","Dist.n","Tires2","Pwr.Steer",".empty.","Disp2","HP.revs","Trans2","Gear2","Eng.Rev2","Price","Country","Reliability","Mileage","Type"
"Acura Integra",177,102,67,47.5,3.5,1.5,41.5,26.5,53,52,16,2700,"195/60","",37,112,130,"man.5","3.26","2935",13.2,"","[63]/37","R14","0.86 pwr.","",1.8,6000,"auto.4","3.21","2890",11950,"Japan","5",NA,"Small"
"Acura Legend",191,109,69,50,2,2,41.5,28.5,55.5,55.5,14,3265,"205/60","",42,163,160,"man.5","2.95","2505",18,"","[63]/37","R15","0.96 pwr.","",2.7,5900,"auto.4","3.02","2565",24760,"Japan","5",20,"Medium"
"Audi 100",193,106,71,51.5,2.5,3,41.5,31,56.5,55,17,2935,"205/60","",39,141,130,"man.5","3.27","2775",21.1,"","[61]/39","R15","0.97 pwr.","",2.3,5500,"auto.3","3.25","2760",26900,"Germany",NA,NA,"Medium"
"Audi 80",176,100,67,50.5,4,1,42,28,52.5,52,10,2670,"175/70","",35,121,108,"man.5","3.25","2835",15.9,"","[62]/38","R14","0.71 pwr.","",2,5300,"auto.3","3.25","2835",18900,"Germany",NA,27,"Compact"
"BMW 325i",175,101,65,49.5,2,1,42,25.5,52,51.5,12,2895,"195/65","",35,152,168,"man.5","3.02","2625",16.4,"","53/[47]","R14","0.88 pwr.","",2.5,5800,"auto.4","2.99","2600",24650,"Germany","4",NA,"Compact"
"BMW 535i",186,109,69,51,3,2.5,42,27,54.5,55.5,12,3640,"225/60","",39,209,208,"man.5","2.80","2285",21.1,"","50/[50]","R15","0.78 pwr.","",3.5,5700,"auto.4","2.85","2325",33200,"Germany",NA,NA,"Medium"
"Buick Century",189,105,69,49.5,4,2.5,42,28,56.5,56,16,2880,"185/75","",41,151,110,"","","",15.7,"","[63]/37","R14","0.76 pwr.","",2.5,5200,"auto.3","2.84","2380",13150,"USA","3",21,"Medium"
"Buick Electra",197,111,72,50.5,6,4.5,42,30.5,58.5,58.5,16,3350,"205/75","",43,231,165,"","","",18,"Oldsmobile 98 Regency V6","[63]/37","R14","0.83 pwr.","",3.8,4800,"auto.4","1.99","1585",20225,"USA","3",NA,"Large"
"Buick Le Sabre",197,111,72,51,5,3.5,41,28.5,59,58.5,16,3325,"205/75","",42,231,165,"","","",18,"Oldsmobile 88 Royale V6","[64]/36","R14","0.87 pwr.","",3.8,4800,"auto.4","1.99","1585",16145,"USA","3",23,"Large"
"Buick Regal",192,108,71,50.5,5.5,3.5,41,27.5,58,56.5,15,3320,"205/70","",41,189,101,"","","",16.5,"","[64]/36","R14","0.88 pwr.","",3.1,4400,"auto.4","2.33","1925",NA,NA,NA,NA,NA
"Buick Riviera",198,108,73,48.5,3.5,2,41.5,26.5,58,56.5,14,3465,"205/70","",41,231,165,"","","",18.8,"","[64]/36","R15","0.76 pwr.","",3.8,4800,"auto.4","1.99","1570",23040,"USA","3",NA,"Medium"
"Cadillac Brougham",221,122,77,52.5,5,3.5,43,32,60.5,60,19,4285,"225/75","",44,307,140,"","","",25,"","55/[45]","R15","0.93 pwr.","",5,3200,"auto.4","1.96","1445",27400,"USA","1",NA,"Large"
"Cadillac De Ville",206,114,73,51,6,4,42,30,59.5,58.5,16,3545,"205/70","",43,273,180,"","","",18,"Cadillac Fleetwood V8","[63]/37","R15","0.83 pwr.","",4.5,4300,"auto.4","2.08","1645",26960,"USA","3",NA,"Large"
"Cadillac Eldorado",191,108,72,49,3,2,42,28,58,57,14,3480,"205/70","",42,273,180,"","","",18.8,"Cadillac Seville V8","[64]/36","R15","0.77 pwr.","",4.5,4300,"auto.4","2.08","1645",28855,"USA","3",NA,"Medium"
"Cadillac Seville",191,108,72,49,3,2,42,29,57.5,56.5,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chevrolet Astro",177,111,77,68.5,5,4.5,42,28,61.5,50.5,-2,4025,"205/75","",42,262,150,"man.5","2.07","1630",27,"GMC Safari V6","56/[44]","R15","0.75 pwr.","",4.3,4000,"auto.4","2.26","1740",13790,"USA","1",NA,"Van"
"Chevrolet Beretta",187,103,68,49,3.5,0.5,42,27.5,55.5,55,14,2655,"195/70","",38,133,95,"man.5","2.83","2375",15.6,"Chevrolet Corsica 4","[64]/36","R14","0.72 pwr.","",2.2,5200,"auto.3","3.18","2670",10320,"USA","1",26,"Compact"
"Chevrolet Camaro",192,101,73,46.5,3.5,0.5,41.5,24,58,55.5,12,3110,"215/65","",41,191,140,"man.5","2.60","2085",15.5,"Pontiac Firebird V6","55/[45]","R15","0.67 pwr.","",3.1,4400,"auto.4","2.26","1810",10995,"USA","1",NA,"Sporty"
"Chevrolet Caprice",212,116,75,52.5,5,2.5,41,28,61,61,20,3855,"205/75","",42,305,170,"","","",25,"","56/[44]","R15","0.80 pwr.","",5,4400,"auto.4","1.83","1410",14525,"USA","1",18,"Large"
"Chevrolet Cavalier",179,101,66,50,4,3,41,26.5,53.5,53.5,14,2485,"185/80","0.95 man.",38,133,95,"man.5","2.55","2160",13.6,"","[65]/35","R13","0.70 pwr.","",2.2,5200,"auto.3","2.84","2400",8620,"USA","1",NA,"Compact"
"Chevrolet Corsica",183,103,68,51,4,3,41.5,26.5,54.5,55,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chevrolet Corvette",177,96,71,43.5,2,-2,42,-2,54,-2,-2,3280,"275/40","",42,350,250,"man.6","1.67","1335",20,"","51/[49]","R17","0.66 pwr.","",5.7,4400,"auto.4","1.81","1450",31979,"USA","1",NA,"Sporty"
"Chevrolet Lumina",198,108,71,51,4.5,3.5,42,30,58.5,56.5,15,3195,"195/75","",42,151,110,"","","",17.1,"","[63]/37","R14","0.88 pwr.","",2.5,5200,"auto.3","3.18","2595",12140,"USA",NA,NA,"Medium"
"Chevrolet Lumina APV",194,110,74,60,4.5,4,41,32.5,60.5,62,-2,3630,"205/70","",42,191,120,"","","",20,"Silhouette V6/ Pontiac Trans Sport V6","[58]/42","R14","0.76 pwr.","",3.1,4200,"auto.3","3.18","2400",13995,"USA",NA,18,"Van"
"Chrysler Imperial",203,109,69,51,4,1.5,42,31.5,56,55.5,17,3570,"195/75","",43,202,150,"","","",16,"","[62]/38","R14","0.84 pwr.","",3.3,5000,"auto.4","2.36","1925",25495,"USA","3",NA,"Medium"
"Chrysler Le Baron",183,103,68,51,4,2.5,41,30.5,54,53.5,14,2975,"195/70","",39,153,150,"","","",14,"      Turbo 4 (3)","[63]/37","R14","0.68 pwr.","",2.5,4800,"auto.3","3.02","2535",10945,"USA","4",25,"Compact"
"Chrysler Le Baron Coupe",185,100,69,49,3.5,0.5,41.5,26,56,55,14,2975,"195/70","",39,153,150,"","","",14,"      Turbo 4 (3)","[63]/37","R14","0.68 pwr.","",2.5,4800,"auto.3","3.02","2535",12495,"USA","2",22,"Medium"
"Dodge Caravan",176,112,72,60.5,4.5,4.5,41.5,27,58.5,41.5,-2,3385,"195/75","",42,153,100,"man.5","2.76","2250",20,"Plymouth Voyager 4","[59]/41","R14","0.82 pwr.","",2.5,4800,"auto.3","3.22","2630",11995,"USA","3",NA,"Van"
"Dodge Colt",159,94,66,50,3,2,40.5,24.5,54,52.5,12,2270,"155/80","0.90 man.",32,90,81,"man.5","3.12","2825",13.2,"Mitsubishi Mirage 4","[62]/38","R13","0.66 pwr.","",1.5,5500,"auto.3","3.60","3260",6851,"Japan",NA,NA,"Small"
"Dodge Daytona",179,97,69,47,3,0,41,22.5,56,54,17,2935,"205/60","",38,135,150,"man.5","2.51","2130",14,"","[62]/38","R15","0.60 pwr.","",2.2,4800,"auto.3","3.02","2565",9745,"USA","1",27,"Sporty"
"Dodge Dynasty",192,104,69,51,4,1.5,41,31,56,55.5,16,3080,"195/75","",42,153,100,"","","",16,"","[62]/38","R14","0.80 pwr.","",2.5,4800,"auto.3","3.02","2465",12995,"USA","3",NA,"Medium"
"Dodge Grand Caravan",191,119,72,61,4,4,40.5,31,58,60.5,-2,3735,"205/70","",47,202,150,"","","",20,"Voyager V6/Chrysler Town & Country V6","[58]/42","R14","0.91 pwr.","",3.3,4800,"auto.4","2.36","1880",15395,"USA","3",18,"Van"
"Dodge Omni",163,99,67,51,3,0.5,41,26,51.5,51,15,2300,"165/80","1.06 man.",40,135,93,"man.5","2.55","2280",13,"Plymouth Horizon 4","[63]/37","R13","0.77 pwr.","",2.2,4800,"auto.3","2.78","2485",6995,"USA","1",NA,"Small"
"Dodge Shadow",172,97,67,51,4,2.5,41.5,25,54.5,53.5,13,2670,"185/70","",38,153,150,"man.5","2.51","2160",14,"Plymouth Sundance Turbo 4","[62]/38","R14","0.58 pwr.","",2.5,4800,"auto.3","3.02","2595",8845,"USA","3",NA,"Compact"
"Dodge Spirit",181,103,67,51,3.5,3,41,30.5,54,54.5,14,2940,"195/70","",41,181,141,"","","",16,"Plymouth Acclaim V6","[62]/38","R14","0.60 pwr.","",3,5000,"auto.4","2.36","1980",NA,NA,NA,NA,NA
"Eagle Premier",193,106,70,51,3.5,2,42,30,57.5,56.5,17,3145,"205/60","",39,180,150,"","","",17,"Dodge Monaco V6","[63]/37","R14","0.77 pwr.","",3,5000,"auto.4","2.66","2260",15350,"USA","2",22,"Medium"
"Eagle Summit",170,97,66,49.5,4.5,2,41,27.5,53.5,52.5,10,2560,"195/60","0.90 man.",36,97,113,"man.5","3.47","3125",13.2,"","[62]/38","R14","0.67 pwr.","",1.6,6500,"auto.4","2.78","2500",8895,"USA","4",33,"Small"
"Ford Aerostar",175,119,72,66.5,5,3.5,42,30,60,62.5,-2,3665,"215/70","",42,182,145,"man.5","2.58","2075",21,"","57/[43]","R14","0.97 pwr.","",3,4800,"auto.4","2.45","1970",12267,"USA","3",18,"Van"
"Ford Escort",169,94,66,51.5,3.5,1,41,26.5,51.5,51.5,18,2345,"175/70","0.85 man.",37,114,90,"man.5","2.66","2320",13,"","[60]/40","R14","0.74 pwr.","",1.9,4600,"auto.3","3.26","2845",7402,"USA","2",33,"Small"
"Ford Festiva",141,90,63,52,4,3,40.5,26,52,51,12,1845,"145","0.78 man.",33,81,63,"man.5","2.61","2545",10,"","[64]/36","R12","0.62 pwr.","",1.3,5000,"auto.3","3.23","3150",6319,"Korea","4",37,"Small"
"Ford LTD Crown Victoria",211,114,78,52,3.5,2,41.5,29,61.5,61.5,22,3850,"215/70","",45,302,150,"","","",18,"Mercury Grand Marquis V8","57/[43]","R15","0.83 pwr.","",5,3200,"auto.4","1.83","1415",17257,"USA","3",20,"Large"
