"","time","initconc","animal","ChamberConc"
"1",0.083,1000,"A",828.4376
"2",0.167,1000,"A",779.6795
"3",0.333,1000,"A",713.8045
"4",0.5,1000,"A",672.0502
"5",0.667,1000,"A",631.9522
"6",0.833,1000,"A",600.6975
"7",1,1000,"A",573.7892
"8",1.167,1000,"A",552.7451
"9",1.333,1000,"A",530.643
"10",1.5,1000,"A",513.1599
"11",1.667,1000,"A",495.9169
"12",1.833,1000,"A",481.4535
"13",2,1000,"A",469.794
"14",2.167,1000,"A",458.2811
"15",2.333,1000,"A",449.7674
"16",2.5,1000,"A",441.6526
"17",2.667,1000,"A",433.9895
"18",2.833,1000,"A",425.7119
"19",3,1000,"A",414.2559
"20",3.13,1000,"A",410.0316
"21",3.3,1000,"A",402.3807
"22",3.47,1000,"A",395.8368
"23",3.63,1000,"A",391.3154
"24",3.8,1000,"A",388.9184
"25",3.97,1000,"A",382.6471
"26",4.13,1000,"A",379.8228
"27",4.3,1000,"A",374.6463
"28",4.47,1000,"A",371.0976
"29",4.63,1000,"A",366.7593
"30",4.8,1000,"A",362.763
"31",4.97,1000,"A",360.7119
"32",5.13,1000,"A",357.0167
"33",5.3,1000,"A",354.4732
"34",5.47,1000,"A",351.2907
"35",5.63,1000,"A",348.9303
"36",5.8,1000,"A",346.4601
"37",0.083,1000,"B",820.2414
"38",0.167,1000,"B",776.1999
"39",0.333,1000,"B",710.0849
"40",0.5,1000,"B",663.5813
"41",0.667,1000,"B",622.0996
"42",0.833,1000,"B",593.364
"43",1,1000,"B",566.0976
"44",1.167,1000,"B",545.1797
"45",1.333,1000,"B",523.3828
"46",1.5,1000,"B",504.7846
"47",1.667,1000,"B",489.7799
"48",1.833,1000,"B",478.9141
"49",2,1000,"B",468.4511
"50",2.167,1000,"B",457.8293
"51",2.333,1000,"B",449.5762
"52",2.5,1000,"B",441.152
"53",2.667,1000,"B",434.4168
"54",2.833,1000,"B",425.4555
"55",3,1000,"B",416.9581
"56",3.13,1000,"B",412.6647
"57",3.3,1000,"B",404.7859
"58",3.47,1000,"B",398.7262
"59",3.63,1000,"B",392.7968
"60",3.8,1000,"B",390.6195
"61",3.97,1000,"B",386.4767
"62",4.13,1000,"B",381.8536
"63",4.3,1000,"B",378.1299
"64",4.47,1000,"B",374.2352
"65",4.63,1000,"B",372.0499
"66",4.8,1000,"B",368.6802
"67",4.97,1000,"B",365.2414
"68",5.13,1000,"B",361.1555
"69",5.3,1000,"B",358.3352
"70",5.47,1000,"B",354.8964
"71",5.63,1000,"B",352.2064
"72",5.8,1000,"B",349.5245
"73",0.083,1000,"C",866.3461
"74",0.167,1000,"C",811.5812
"75",0.333,1000,"C",737.9496
"76",0.5,1000,"C",683.8643
"77",0.667,1000,"C",643.1355
"78",0.833,1000,"C",611.9419
"79",1,1000,"C",587.6828
"80",1.167,1000,"C",564.2622
"81",1.333,1000,"C",545.6436
"82",1.5,1000,"C",529.296
"83",1.667,1000,"C",514.8895
"84",1.833,1000,"C",502.2493
"85",2,1000,"C",490.6061
"86",2.167,1000,"C",482.3203
"87",2.333,1000,"C",473.1108
"88",2.5,1000,"C",464.5117
"89",2.667,1000,"C",458.6229
"90",2.833,1000,"C",451.6598
"91",3,1000,"C",442.438
"92",3.13,1000,"C",439.7236
"93",3.3,1000,"C",432.8052
"94",3.47,1000,"C",426.4566
"95",3.63,1000,"C",421.3411
"96",3.8,1000,"C",420.2179
"97",3.97,1000,"C",416.3395
"98",4.13,1000,"C",411.6961
"99",4.3,1000,"C",407.9317
"100",4.47,1000,"C",404.0574
"101",4.63,1000,"C",401.9656
"102",4.8,1000,"C",399.2186
"103",4.97,1000,"C",397.196
"104",5.13,1000,"C",394.8031
"105",5.3,1000,"C",391.7346
"106",5.47,1000,"C",388.8981
"107",5.63,1000,"C",387.4208
"108",5.8,1000,"C",385.7645
"109",0.083,250,"D",224.3347
"110",0.167,250,"D",209.4114
"111",0.333,250,"D",193.0271
"112",0.5,250,"D",180.4235
"113",0.667,250,"D",171.2547
"114",0.833,250,"D",163.4491
"115",1,250,"D",157.0069
"116",1.167,250,"D",150.6217
"117",1.333,250,"D",144.9283
"118",1.5,250,"D",140.236
"119",1.667,250,"D",136.6669
"120",1.833,250,"D",133.513
"121",2,250,"D",130.4526
"122",2.167,250,"D",127.5144
"123",2.333,250,"D",124.3685
"124",2.5,250,"D",122.3378
"125",2.667,250,"D",120.4007
"126",2.833,250,"D",117.8775
"127",3,250,"D",116.2618
"128",3.13,250,"D",114.9189
"129",3.3,250,"D",112.7823
"130",3.47,250,"D",111.7486
"131",3.63,250,"D",110.6987
"132",3.8,250,"D",109.254
"133",3.97,250,"D",107.5529
"134",4.13,250,"D",105.9494
