"","ita","nor","swe","ukg","usa"
"1870",10.2495,2.5382,3.0781,3.4137,6.6172
"1871",10.242,2.5529,3.1131,3.4661,6.6788
"1872",10.2325,2.6141,3.1737,3.4682,6.7522
"1873",10.2716,2.6344,3.2281,3.4913,6.7672
"1874",10.2716,2.6674,3.2392,3.5078,6.7622
"1875",10.2987,2.6973,3.2197,3.532,6.7966
"1876",10.288,2.7263,3.2797,3.5419,6.8392
"1877",10.2862,2.7303,3.2797,3.5517,6.902
"1878",10.2898,2.6994,3.277,3.5556,6.9611
"1879",10.3005,2.7119,3.3362,3.5517,7.0168
"1880",10.3163,2.7425,3.3437,3.5975,7.0879
"1881",10.2661,2.7505,3.3585,3.6323,7.1303
"1882",10.3163,2.7465,3.3609,3.6608,7.171
"1883",10.3111,2.7425,3.4132,3.6677,7.1972
"1884",10.3233,2.7505,3.4132,3.6695,7.2165
"1885",10.3337,2.7465,3.427,3.6642,7.2353
"1886",10.3524,2.7425,3.4383,3.6798,7.3016
"1887",10.3591,2.7623,3.4247,3.7186,7.3416
"1888",10.3473,2.7741,3.4651,3.7622,7.3665
"1889",10.3163,2.7799,3.476,3.8146,7.4223
"1890",10.3839,2.7914,3.506,3.8191,7.4922
"1891",10.3937,2.8345,3.5453,3.8191,7.5346
"1892",10.3541,2.8687,3.5594,3.7949,7.6272
"1893",10.3872,2.8949,3.587,3.7949,7.5776
"1894",10.3757,2.9035,3.6139,3.8601,7.5484
"1895",10.3969,2.9255,3.6709,3.8912,7.6624
"1896",10.4129,2.9518,3.7043,3.9321,7.6418
"1897",10.3724,2.9551,3.745,3.9454,7.733
"1898",10.4349,2.9648,3.7713,3.993,7.7536
"1899",10.4488,2.9949,3.7905,4.0336,7.8406
"1900",10.5154,3.0436,3.8156,4.0263,7.8674
"1901",10.5657,3.0466,3.8047,4.0263,7.9741
"1902",10.5711,3.0743,3.8415,4.0515,7.9845
"1903",10.5846,3.0915,3.8916,4.0408,8.032
"1904",10.5859,3.118,3.9226,4.0468,8.0192
"1905",10.6201,3.1385,3.9419,4.0761,8.0906
"1906",10.6405,3.1344,4.0269,4.1091,8.1997
"1907",10.7368,3.1331,4.0674,4.1279,8.215
"1908",10.7357,3.1452,4.071,4.0864,8.1296
"1909",10.7959,3.1808,4.0734,4.1091,8.2449
"1910",10.7437,3.2177,4.1337,4.1399,8.2551
"1911",10.8035,3.2497,4.1757,4.1688,8.2872
"1912",10.8268,3.2759,4.2127,4.1834,8.3329
"1913",10.8749,3.3106,4.2525,4.2211,8.3716
"1914",10.8649,3.3409,4.2545,4.2311,8.2915
"1915",10.9775,3.3851,4.2374,4.3082,8.3193
"1916",11.0779,3.4396,4.2918,4.33,8.4486
"1917",11.11,3.4614,4.1746,4.3389,8.4233
"1918",11.1179,3.5035,4.1692,4.3451,8.5097
"1919",10.9501,3.5349,4.2169,4.2301,8.5183
"1920",10.8749,3.4396,4.2801,4.1677,8.5088
"1921",10.8547,3.4019,4.3098,4.083,8.4859
"1922",10.9132,3.5583,4.3641,4.1334,8.5397
"1923",10.9684,3.6194,4.4087,4.1645,8.6636
"1924",10.9865,3.5331,4.429,4.205,8.6937
"1925",11.0539,3.6434,4.518,4.2526,8.7166
"1926",11.0623,3.6652,4.5797,4.2151,8.7798
"1927",11.0371,3.6604,4.6234,4.2925,8.7897
"1928",11.11,3.7203,4.6262,4.3045,8.8008
"1929",11.1404,3.7419,4.7004,4.3335,8.8602
"1930",11.086,3.7797,4.7563,4.3264,8.7611
"1931",11.0779,3.8119,4.6837,4.2737,8.6733
"1932",11.1021,3.9008,4.6593,4.2813,8.5297
"1933",11.1021,3.972,4.6824,4.31,8.5094
"1934",11.1021,3.8913,4.743,4.3738,8.5841
"1935",11.1919,3.956,4.7989,4.4117,8.6616
"1936",11.1919,3.9796,4.8607,4.4562,8.7951
"1937",11.2541,4.0112,4.8763,4.4904,8.8429
"1938",11.267,4.0532,4.9085,4.5025,8.7968
"1939",11.3374,4.1126,4.9427,4.5123,8.8728
"1940",11.3437,4.1476,4.8981,4.6077,8.9494
"1941",11.3311,4.1725,4.8975,4.6949,9.1116
"1942",11.319,4.2189,4.9285,4.7195,9.2845
"1943",11.22,4.1257,4.9452,4.7411,9.4517
"1944",11.0121,4.1496,4.981,4.7011,9.531
"1945",10.7674,4.11,5.0437,4.6561,9.5127
"1946",11.0371,4.0899,5.0945,4.6118,9.2993
"1947",11.1985,4.0362,5.1346,4.5968,9.2705
"1948",11.2541,4.1501,5.1748,4.6279,9.3084
"1949",11.3254,4.2519,5.2267,4.6578,9.3084
"1950",11.4032,4.3603,5.2796,4.6932,9.3902
"1951",11.4774,4.3813,5.3058,4.7158,9.488
"1952",11.5209,4.4364,5.3216,4.7265,9.5266
"1953",11.5927,4.5028,5.3552,4.7698,9.5659
"1954",11.6289,4.5375,5.4125,4.8089,9.5525
"1955",11.6936,4.5629,5.4411,4.8426,9.6064
"1956",11.7393,4.5922,5.4756,4.859,9.6258
"1957",11.7906,4.6308,5.4976,4.8783,9.6421
"1958",11.8379,4.6434,5.5263,4.8813,9.6356
"1959",11.9016,4.6775,5.5763,4.9214,9.6921
"1960",12.0119,4.7283,5.6087,4.967,9.7135
"1961",12.0907,4.8355,5.6605,4.9992,9.7392
"1962",12.1511,4.8683,5.6984,5.0093,9.7903
"1963",12.2056,4.9053,5.7564,5.0505,9.8304
"1964",12.2332,4.9544,5.8222,5.1017,9.8818
"1965",12.2458,5.006,5.8597,5.1251,9.9384
"1966",12.3234,5.0428,5.8805,5.144,9.9956
"1967",12.3926,5.1035,5.9135,5.1716,10.0235
"1968",12.4561,5.1258,5.9493,5.2133,10.0639
"1969",12.5154,5.1699,6.0088,5.2268,10.0883
"1970",12.5672,5.1896,6.07,5.2486,10.0854
"1971",12.5831,5.2343,6.0793,5.2745,10.1121
"1972",12.6149,5.2847,6.1019,5.2963,10.1601
"1973",12.6829,5.325,6.141,5.373,10.208
"1974",12.7234,5.3757,6.1723,5.3613,10.2014
"1975",12.6863,5.4165,6.1977,5.3542,10.1909
"1976",12.7434,5.4823,6.2082,5.3918,10.2378
"1977",12.7623,5.5175,6.192,5.4018,10.2823
"1978",12.7888,5.5622,6.2094,5.4407,10.333
"1979",12.8365,5.6113,6.2471,5.4617,10.3536
"1980",12.8749,5.6528,6.2636,5.4407,10.352
"1981",12.8864,5.6616,6.2605,5.4311,10.3716
