"","period","gdp.defl","gdp.nom","m3","rl"
"1","Q3-1997",95.9,1441.5,4169.6,5.66
"2","Q4-1997",96.5,1464.4,4223.7,5.46
"3","Q1-1998",96.9,1475,4268.1,5.01
"4","Q2-1998",97.4,1488.8,4338.1,4.91
"5","Q3-1998",97.8,1506.6,4373.5,4.27
"6","Q4-1998",98,1522,4429.5,3.95
"7","Q1-1999",98.1,1539.7,4455.2,4.18
"8","Q2-1999",98.6,1554.9,4534.8,4.53
"9","Q3-1999",98.7,1576.9,4600.7,5.24
"10","Q4-1999",98.9,1596.7,4669.1,5.3
"11","Q1-2000",99.3,1617.9,4766.1,5.49
"12","Q2-2000",99.8,1638.9,4784.2,5.35
"13","Q3-2000",100.3,1651.7,4833.4,5.47
"14","Q4-2000",100.6,1667.7,4864.8,5.07
"15","Q1-2001",101.6,1694.6,5077.3,4.94
"16","Q2-2001",102.2,1706,5186.4,5.21
"17","Q3-2001",102.5,1714.2,5296.9,5.04
"18","Q4-2001",103.5,1727.8,5408,4.96
"19","Q1-2002",104.3,1748.2,5445.8,5.32
"20","Q2-2002",104.6,1762.4,5531.5,5.16
"21","Q3-2002",105.3,1777.3,5660.5,4.52
"22","Q4-2002",105.7,1785.3,5768.1,4.41
"23","Q1-2003",106.3,1794.3,5861,4.13
"24","Q2-2003",106.8,1802.2,5976,3.72
"25","Q3-2003",107.6,1822.3,6058,4.23
"26","Q4-2003",108.1,1835.3,6136.9,4.36
